Borehole,Model,Date,Sim,Obs
Allington No 2,AquiMod,01/01/1962,73.2303,
Allington No 2,AquiMod,02/01/1962,73.2351,
Allington No 2,AquiMod,03/01/1962,73.2391,
Allington No 2,AquiMod,04/01/1962,73.2422,
Allington No 2,AquiMod,05/01/1962,73.254,
Allington No 2,AquiMod,06/01/1962,73.2765,
Allington No 2,AquiMod,07/01/1962,73.3034,
Allington No 2,AquiMod,08/01/1962,73.3348,
Allington No 2,AquiMod,09/01/1962,73.3751,
Allington No 2,AquiMod,10/01/1962,73.4255,
Allington No 2,AquiMod,11/01/1962,73.486,
Allington No 2,AquiMod,12/01/1962,73.5511,
Allington No 2,AquiMod,13/01/1962,73.6196,
Allington No 2,AquiMod,14/01/1962,73.6904,
Allington No 2,AquiMod,15/01/1962,73.7675,
Allington No 2,AquiMod,16/01/1962,73.8479,
Allington No 2,AquiMod,17/01/1962,73.9301,
Allington No 2,AquiMod,18/01/1962,74.0182,
Allington No 2,AquiMod,19/01/1962,74.1085,
Allington No 2,AquiMod,20/01/1962,74.204,
Allington No 2,AquiMod,21/01/1962,74.3098,
Allington No 2,AquiMod,22/01/1962,74.4195,
Allington No 2,AquiMod,23/01/1962,74.5341,
Allington No 2,AquiMod,24/01/1962,74.6541,
Allington No 2,AquiMod,25/01/1962,74.7764,
Allington No 2,AquiMod,26/01/1962,74.9014,
Allington No 2,AquiMod,27/01/1962,75.0297,
Allington No 2,AquiMod,28/01/1962,75.1591,
Allington No 2,AquiMod,29/01/1962,75.2889,
Allington No 2,AquiMod,30/01/1962,75.4221,
Allington No 2,AquiMod,31/01/1962,75.5569,
Allington No 2,AquiMod,01/02/1962,75.6919,
Allington No 2,AquiMod,02/02/1962,75.8266,
Allington No 2,AquiMod,03/02/1962,75.9486,
Allington No 2,AquiMod,04/02/1962,76.0271,
Allington No 2,AquiMod,05/02/1962,76.1053,
Allington No 2,AquiMod,06/02/1962,76.1835,
Allington No 2,AquiMod,07/02/1962,76.2614,
Allington No 2,AquiMod,08/02/1962,76.3385,
Allington No 2,AquiMod,09/02/1962,76.4147,
Allington No 2,AquiMod,10/02/1962,76.4895,
Allington No 2,AquiMod,11/02/1962,76.563,
Allington No 2,AquiMod,12/02/1962,76.6354,
Allington No 2,AquiMod,13/02/1962,76.7063,
Allington No 2,AquiMod,14/02/1962,76.7753,
Allington No 2,AquiMod,15/02/1962,76.8425,
Allington No 2,AquiMod,16/02/1962,76.9076,
Allington No 2,AquiMod,17/02/1962,76.9706,
Allington No 2,AquiMod,18/02/1962,77.0308,
Allington No 2,AquiMod,19/02/1962,77.0887,
Allington No 2,AquiMod,20/02/1962,77.1442,
Allington No 2,AquiMod,21/02/1962,77.1974,
Allington No 2,AquiMod,22/02/1962,77.2481,
Allington No 2,AquiMod,23/02/1962,77.2964,
Allington No 2,AquiMod,24/02/1962,77.3422,
Allington No 2,AquiMod,25/02/1962,77.3855,
Allington No 2,AquiMod,26/02/1962,77.4263,
Allington No 2,AquiMod,27/02/1962,77.4647,
Allington No 2,AquiMod,28/02/1962,77.5005,
Allington No 2,AquiMod,01/03/1962,77.5339,
Allington No 2,AquiMod,02/03/1962,77.5649,
Allington No 2,AquiMod,03/03/1962,77.5934,
Allington No 2,AquiMod,04/03/1962,77.6196,
