Borehole,Model,Date,Sim,Obs
Alstonfield,AquiMod,01/01/1962,187.269,
Alstonfield,AquiMod,02/01/1962,186.942,
Alstonfield,AquiMod,03/01/1962,186.628,
Alstonfield,AquiMod,04/01/1962,186.325,
Alstonfield,AquiMod,05/01/1962,186.08,
Alstonfield,AquiMod,06/01/1962,186.256,
Alstonfield,AquiMod,07/01/1962,187.386,
Alstonfield,AquiMod,08/01/1962,188.916,
Alstonfield,AquiMod,09/01/1962,189.611,
Alstonfield,AquiMod,10/01/1962,190.143,
Alstonfield,AquiMod,11/01/1962,191.187,
Alstonfield,AquiMod,12/01/1962,192.533,
Alstonfield,AquiMod,13/01/1962,193.73,
Alstonfield,AquiMod,14/01/1962,194.604,
Alstonfield,AquiMod,15/01/1962,194.761,
Alstonfield,AquiMod,16/01/1962,194.683,
Alstonfield,AquiMod,17/01/1962,194.938,
Alstonfield,AquiMod,18/01/1962,195.486,
Alstonfield,AquiMod,19/01/1962,195.773,
Alstonfield,AquiMod,20/01/1962,195.841,
Alstonfield,AquiMod,21/01/1962,196.017,
Alstonfield,AquiMod,22/01/1962,196.547,
Alstonfield,AquiMod,23/01/1962,197.625,
Alstonfield,AquiMod,24/01/1962,198.572,
Alstonfield,AquiMod,25/01/1962,199.039,
Alstonfield,AquiMod,26/01/1962,199.437,
Alstonfield,AquiMod,27/01/1962,199.491,
Alstonfield,AquiMod,28/01/1962,199.129,
Alstonfield,AquiMod,29/01/1962,198.629,
Alstonfield,AquiMod,30/01/1962,198.128,
Alstonfield,AquiMod,31/01/1962,197.687,
Alstonfield,AquiMod,01/02/1962,197.46,
Alstonfield,AquiMod,02/02/1962,197.564,
Alstonfield,AquiMod,03/02/1962,197.741,
Alstonfield,AquiMod,04/02/1962,197.633,
Alstonfield,AquiMod,05/02/1962,197.574,
Alstonfield,AquiMod,06/02/1962,198.067,
Alstonfield,AquiMod,07/02/1962,198.734,
Alstonfield,AquiMod,08/02/1962,198.723,
Alstonfield,AquiMod,09/02/1962,198.442,
Alstonfield,AquiMod,10/02/1962,198.136,
Alstonfield,AquiMod,11/02/1962,197.717,
Alstonfield,AquiMod,12/02/1962,197.392,
Alstonfield,AquiMod,13/02/1962,197.653,
Alstonfield,AquiMod,14/02/1962,198.769,
Alstonfield,AquiMod,15/02/1962,199.839,
Alstonfield,AquiMod,16/02/1962,199.873,
Alstonfield,AquiMod,17/02/1962,199.561,
Alstonfield,AquiMod,18/02/1962,199.326,
Alstonfield,AquiMod,19/02/1962,198.992,
Alstonfield,AquiMod,20/02/1962,198.523,
Alstonfield,AquiMod,21/02/1962,198.022,
Alstonfield,AquiMod,22/02/1962,197.532,
Alstonfield,AquiMod,23/02/1962,197.054,
Alstonfield,AquiMod,24/02/1962,196.587,
Alstonfield,AquiMod,25/02/1962,196.13,
Alstonfield,AquiMod,26/02/1962,195.684,
Alstonfield,AquiMod,27/02/1962,195.248,
Alstonfield,AquiMod,28/02/1962,194.821,
Alstonfield,AquiMod,01/03/1962,194.403,
Alstonfield,AquiMod,02/03/1962,193.993,
Alstonfield,AquiMod,03/03/1962,193.591,
Alstonfield,AquiMod,04/03/1962,193.196,
Alstonfield,AquiMod,05/03/1962,192.809,
Alstonfield,AquiMod,06/03/1962,192.428,
Alstonfield,AquiMod,07/03/1962,191.915,
Alstonfield,AquiMod,08/03/1962,191.391,
Alstonfield,AquiMod,09/03/1962,190.899,
Alstonfield,AquiMod,10/03/1962,190.515,
Alstonfield,AquiMod,11/03/1962,190.441,
Alstonfield,AquiMod,12/03/1962,190.735,
Alstonfield,AquiMod,13/03/1962,190.938,
