Borehole,Model,Date,Sim,Obs
Ampney Crucis,AquiMod,01/01/1962,101.315,
Ampney Crucis,AquiMod,02/01/1962,101.288,
Ampney Crucis,AquiMod,03/01/1962,101.262,
Ampney Crucis,AquiMod,04/01/1962,101.236,
Ampney Crucis,AquiMod,05/01/1962,101.269,102.02
Ampney Crucis,AquiMod,06/01/1962,101.386,
Ampney Crucis,AquiMod,07/01/1962,101.53,
Ampney Crucis,AquiMod,08/01/1962,101.696,
Ampney Crucis,AquiMod,09/01/1962,101.894,
Ampney Crucis,AquiMod,10/01/1962,102.144,
Ampney Crucis,AquiMod,11/01/1962,102.403,
Ampney Crucis,AquiMod,12/01/1962,102.639,103.04
Ampney Crucis,AquiMod,13/01/1962,102.831,
Ampney Crucis,AquiMod,14/01/1962,102.946,
Ampney Crucis,AquiMod,15/01/1962,103.021,
Ampney Crucis,AquiMod,16/01/1962,103.048,
Ampney Crucis,AquiMod,17/01/1962,103.036,
Ampney Crucis,AquiMod,18/01/1962,103.027,
Ampney Crucis,AquiMod,19/01/1962,103.003,102.95
Ampney Crucis,AquiMod,20/01/1962,102.987,
Ampney Crucis,AquiMod,21/01/1962,103.007,
Ampney Crucis,AquiMod,22/01/1962,103.012,
Ampney Crucis,AquiMod,23/01/1962,103.013,
Ampney Crucis,AquiMod,24/01/1962,103.003,
Ampney Crucis,AquiMod,25/01/1962,102.979,
Ampney Crucis,AquiMod,26/01/1962,102.95,102.96
Ampney Crucis,AquiMod,27/01/1962,102.918,
Ampney Crucis,AquiMod,28/01/1962,102.881,
Ampney Crucis,AquiMod,29/01/1962,102.841,
Ampney Crucis,AquiMod,30/01/1962,102.815,
Ampney Crucis,AquiMod,31/01/1962,102.8,
Ampney Crucis,AquiMod,01/02/1962,102.782,
Ampney Crucis,AquiMod,02/02/1962,102.761,102.72
Ampney Crucis,AquiMod,03/02/1962,102.736,
Ampney Crucis,AquiMod,04/02/1962,102.706,
Ampney Crucis,AquiMod,05/02/1962,102.673,
Ampney Crucis,AquiMod,06/02/1962,102.646,
Ampney Crucis,AquiMod,07/02/1962,102.623,
Ampney Crucis,AquiMod,08/02/1962,102.599,
Ampney Crucis,AquiMod,09/02/1962,102.572,102.57
Ampney Crucis,AquiMod,10/02/1962,102.544,
Ampney Crucis,AquiMod,11/02/1962,102.513,
Ampney Crucis,AquiMod,12/02/1962,102.49,
Ampney Crucis,AquiMod,13/02/1962,102.468,
Ampney Crucis,AquiMod,14/02/1962,102.444,
Ampney Crucis,AquiMod,15/02/1962,102.419,
Ampney Crucis,AquiMod,16/02/1962,102.39,102.37
Ampney Crucis,AquiMod,17/02/1962,102.359,
Ampney Crucis,AquiMod,18/02/1962,102.326,
Ampney Crucis,AquiMod,19/02/1962,102.291,
Ampney Crucis,AquiMod,20/02/1962,102.254,
Ampney Crucis,AquiMod,21/02/1962,102.217,
