Borehole,Model,Date,Sim,Obs
Baydon Hole,AquiMod,01/01/1962,139.843,
Baydon Hole,AquiMod,02/01/1962,139.788,
Baydon Hole,AquiMod,03/01/1962,139.734,
Baydon Hole,AquiMod,04/01/1962,139.68,
Baydon Hole,AquiMod,05/01/1962,139.653,
Baydon Hole,AquiMod,06/01/1962,139.742,
Baydon Hole,AquiMod,07/01/1962,139.915,
Baydon Hole,AquiMod,08/01/1962,140.16,
Baydon Hole,AquiMod,09/01/1962,140.481,
Baydon Hole,AquiMod,10/01/1962,140.892,
Baydon Hole,AquiMod,11/01/1962,141.39,
Baydon Hole,AquiMod,12/01/1962,141.933,
Baydon Hole,AquiMod,13/01/1962,142.491,
Baydon Hole,AquiMod,14/01/1962,143.043,
Baydon Hole,AquiMod,15/01/1962,143.599,
Baydon Hole,AquiMod,16/01/1962,144.143,
Baydon Hole,AquiMod,17/01/1962,144.666,
Baydon Hole,AquiMod,18/01/1962,145.165,
Baydon Hole,AquiMod,19/01/1962,145.629,
Baydon Hole,AquiMod,20/01/1962,146.069,
Baydon Hole,AquiMod,21/01/1962,146.536,
Baydon Hole,AquiMod,22/01/1962,146.995,
Baydon Hole,AquiMod,23/01/1962,147.447,
Baydon Hole,AquiMod,24/01/1962,147.88,
Baydon Hole,AquiMod,25/01/1962,148.279,
Baydon Hole,AquiMod,26/01/1962,148.644,
Baydon Hole,AquiMod,27/01/1962,148.972,
Baydon Hole,AquiMod,28/01/1962,149.256,
Baydon Hole,AquiMod,29/01/1962,149.492,
Baydon Hole,AquiMod,30/01/1962,149.678,
Baydon Hole,AquiMod,31/01/1962,149.844,
Baydon Hole,AquiMod,01/02/1962,149.978,
Baydon Hole,AquiMod,02/02/1962,150.077,
Baydon Hole,AquiMod,03/02/1962,150.14,
Baydon Hole,AquiMod,04/02/1962,150.172,
Baydon Hole,AquiMod,05/02/1962,150.168,
Baydon Hole,AquiMod,06/02/1962,150.143,
Baydon Hole,AquiMod,07/02/1962,150.094,
Baydon Hole,AquiMod,08/02/1962,150.023,
Baydon Hole,AquiMod,09/02/1962,149.929,
Baydon Hole,AquiMod,10/02/1962,149.816,
Baydon Hole,AquiMod,11/02/1962,149.687,
Baydon Hole,AquiMod,12/02/1962,149.551,
Baydon Hole,AquiMod,13/02/1962,149.407,
Baydon Hole,AquiMod,14/02/1962,149.254,
Baydon Hole,AquiMod,15/02/1962,149.093,
Baydon Hole,AquiMod,16/02/1962,148.926,
Baydon Hole,AquiMod,17/02/1962,148.753,
Baydon Hole,AquiMod,18/02/1962,148.575,
Baydon Hole,AquiMod,19/02/1962,148.393,
Baydon Hole,AquiMod,20/02/1962,148.206,
Baydon Hole,AquiMod,21/02/1962,148.017,
Baydon Hole,AquiMod,22/02/1962,147.827,
Baydon Hole,AquiMod,23/02/1962,147.637,
Baydon Hole,AquiMod,24/02/1962,147.448,
Baydon Hole,AquiMod,25/02/1962,147.259,
Baydon Hole,AquiMod,26/02/1962,147.072,
Baydon Hole,AquiMod,27/02/1962,146.886,
Baydon Hole,AquiMod,28/02/1962,146.703,
Baydon Hole,AquiMod,01/03/1962,146.522,
Baydon Hole,AquiMod,02/03/1962,146.343,
Baydon Hole,AquiMod,03/03/1962,146.168,
Baydon Hole,AquiMod,04/03/1962,145.995,
Baydon Hole,AquiMod,05/03/1962,145.826,
Baydon Hole,AquiMod,06/03/1962,145.66,
Baydon Hole,AquiMod,07/03/1962,145.497,
Baydon Hole,AquiMod,08/03/1962,145.338,
Baydon Hole,AquiMod,09/03/1962,145.182,
Baydon Hole,AquiMod,10/03/1962,145.029,
Baydon Hole,AquiMod,11/03/1962,144.88,
Baydon Hole,AquiMod,12/03/1962,144.734,
Baydon Hole,AquiMod,13/03/1962,144.591,
Baydon Hole,AquiMod,14/03/1962,144.45,
Baydon Hole,AquiMod,15/03/1962,144.313,
Baydon Hole,AquiMod,16/03/1962,144.179,
Baydon Hole,AquiMod,17/03/1962,144.048,
Baydon Hole,AquiMod,18/03/1962,143.919,
Baydon Hole,AquiMod,19/03/1962,143.794,
Baydon Hole,AquiMod,20/03/1962,143.67,
Baydon Hole,AquiMod,21/03/1962,143.55,
Baydon Hole,AquiMod,22/03/1962,143.432,
Baydon Hole,AquiMod,23/03/1962,143.316,
Baydon Hole,AquiMod,24/03/1962,143.202,
Baydon Hole,AquiMod,25/03/1962,143.091,
Baydon Hole,AquiMod,26/03/1962,142.982,
Baydon Hole,AquiMod,27/03/1962,142.875,
Baydon Hole,AquiMod,28/03/1962,142.77,
Baydon Hole,AquiMod,29/03/1962,142.668,
Baydon Hole,AquiMod,30/03/1962,142.567,
Baydon Hole,AquiMod,31/03/1962,142.468,
Baydon Hole,AquiMod,01/04/1962,142.37,
Baydon Hole,AquiMod,02/04/1962,142.29,
Baydon Hole,AquiMod,03/04/1962,142.226,
Baydon Hole,AquiMod,04/04/1962,142.192,
Baydon Hole,AquiMod,05/04/1962,142.18,
Baydon Hole,AquiMod,06/04/1962,142.183,
Baydon Hole,AquiMod,07/04/1962,142.204,
Baydon Hole,AquiMod,08/04/1962,142.257,
Baydon Hole,AquiMod,09/04/1962,142.325,
Baydon Hole,AquiMod,10/04/1962,142.401,
Baydon Hole,AquiMod,11/04/1962,142.478,
Baydon Hole,AquiMod,12/04/1962,142.552,
Baydon Hole,AquiMod,13/04/1962,142.619,
Baydon Hole,AquiMod,14/04/1962,142.675,
Baydon Hole,AquiMod,15/04/1962,142.72,
Baydon Hole,AquiMod,16/04/1962,142.752,
Baydon Hole,AquiMod,17/04/1962,142.77,
Baydon Hole,AquiMod,18/04/1962,142.775,
Baydon Hole,AquiMod,19/04/1962,142.767,
Baydon Hole,AquiMod,20/04/1962,142.747,
Baydon Hole,AquiMod,21/04/1962,142.715,
Baydon Hole,AquiMod,22/04/1962,142.674,
Baydon Hole,AquiMod,23/04/1962,142.624,
Baydon Hole,AquiMod,24/04/1962,142.566,
Baydon Hole,AquiMod,25/04/1962,142.502,
Baydon Hole,AquiMod,26/04/1962,142.433,
Baydon Hole,AquiMod,27/04/1962,142.36,
Baydon Hole,AquiMod,28/04/1962,142.283,
Baydon Hole,AquiMod,29/04/1962,142.204,
Baydon Hole,AquiMod,30/04/1962,142.124,
Baydon Hole,AquiMod,01/05/1962,142.042,
Baydon Hole,AquiMod,02/05/1962,141.959,
Baydon Hole,AquiMod,03/05/1962,141.876,
Baydon Hole,AquiMod,04/05/1962,141.792,
Baydon Hole,AquiMod,05/05/1962,141.709,
Baydon Hole,AquiMod,06/05/1962,141.627,
Baydon Hole,AquiMod,07/05/1962,141.546,
Baydon Hole,AquiMod,08/05/1962,141.465,
Baydon Hole,AquiMod,09/05/1962,141.385,
Baydon Hole,AquiMod,10/05/1962,141.307,
Baydon Hole,AquiMod,11/05/1962,141.23,
Baydon Hole,AquiMod,12/05/1962,141.154,
Baydon Hole,AquiMod,13/05/1962,141.08,
Baydon Hole,AquiMod,14/05/1962,141.006,
Baydon Hole,AquiMod,15/05/1962,140.934,
Baydon Hole,AquiMod,16/05/1962,140.863,
Baydon Hole,AquiMod,17/05/1962,140.793,
Baydon Hole,AquiMod,18/05/1962,140.724,
Baydon Hole,AquiMod,19/05/1962,140.656,
Baydon Hole,AquiMod,20/05/1962,140.59,
Baydon Hole,AquiMod,21/05/1962,140.524,
Baydon Hole,AquiMod,22/05/1962,140.459,
Baydon Hole,AquiMod,23/05/1962,140.395,
Baydon Hole,AquiMod,24/05/1962,140.332,
Baydon Hole,AquiMod,25/05/1962,140.271,
Baydon Hole,AquiMod,26/05/1962,140.21,
Baydon Hole,AquiMod,27/05/1962,140.149,
Baydon Hole,AquiMod,28/05/1962,140.09,
Baydon Hole,AquiMod,29/05/1962,140.032,
Baydon Hole,AquiMod,30/05/1962,139.974,
Baydon Hole,AquiMod,31/05/1962,139.917,
Baydon Hole,AquiMod,01/06/1962,139.861,
Baydon Hole,AquiMod,02/06/1962,139.806,
Baydon Hole,AquiMod,03/06/1962,139.752,
Baydon Hole,AquiMod,04/06/1962,139.698,
Baydon Hole,AquiMod,05/06/1962,139.645,
Baydon Hole,AquiMod,06/06/1962,139.593,
Baydon Hole,AquiMod,07/06/1962,139.541,
Baydon Hole,AquiMod,08/06/1962,139.491,
Baydon Hole,AquiMod,09/06/1962,139.44,
Baydon Hole,AquiMod,10/06/1962,139.391,
Baydon Hole,AquiMod,11/06/1962,139.342,
Baydon Hole,AquiMod,12/06/1962,139.294,
Baydon Hole,AquiMod,13/06/1962,139.246,
Baydon Hole,AquiMod,14/06/1962,139.199,
Baydon Hole,AquiMod,15/06/1962,139.153,
Baydon Hole,AquiMod,16/06/1962,139.107,
Baydon Hole,AquiMod,17/06/1962,139.062,
Baydon Hole,AquiMod,18/06/1962,139.017,
Baydon Hole,AquiMod,19/06/1962,138.973,
Baydon Hole,AquiMod,20/06/1962,138.929,
Baydon Hole,AquiMod,21/06/1962,138.886,
Baydon Hole,AquiMod,22/06/1962,138.844,
Baydon Hole,AquiMod,23/06/1962,138.802,
Baydon Hole,AquiMod,24/06/1962,138.76,
Baydon Hole,AquiMod,25/06/1962,138.719,
Baydon Hole,AquiMod,26/06/1962,138.679,
Baydon Hole,AquiMod,27/06/1962,138.639,
Baydon Hole,AquiMod,28/06/1962,138.599,
Baydon Hole,AquiMod,29/06/1962,138.56,
Baydon Hole,AquiMod,30/06/1962,138.522,
Baydon Hole,AquiMod,01/07/1962,138.483,
Baydon Hole,AquiMod,02/07/1962,138.446,
Baydon Hole,AquiMod,03/07/1962,138.408,
Baydon Hole,AquiMod,04/07/1962,138.371,
Baydon Hole,AquiMod,05/07/1962,138.335,
Baydon Hole,AquiMod,06/07/1962,138.299,
Baydon Hole,AquiMod,07/07/1962,138.263,
Baydon Hole,AquiMod,08/07/1962,138.228,
Baydon Hole,AquiMod,09/07/1962,138.193,
Baydon Hole,AquiMod,10/07/1962,138.159,
Baydon Hole,AquiMod,11/07/1962,138.125,
Baydon Hole,AquiMod,12/07/1962,138.091,
Baydon Hole,AquiMod,13/07/1962,138.057,
Baydon Hole,AquiMod,14/07/1962,138.024,
Baydon Hole,AquiMod,15/07/1962,137.992,
Baydon Hole,AquiMod,16/07/1962,137.959,
Baydon Hole,AquiMod,17/07/1962,137.927,
Baydon Hole,AquiMod,18/07/1962,137.896,
Baydon Hole,AquiMod,19/07/1962,137.864,
Baydon Hole,AquiMod,20/07/1962,137.833,
Baydon Hole,AquiMod,21/07/1962,137.803,
Baydon Hole,AquiMod,22/07/1962,137.772,
Baydon Hole,AquiMod,23/07/1962,137.742,
Baydon Hole,AquiMod,24/07/1962,137.713,
Baydon Hole,AquiMod,25/07/1962,137.683,
Baydon Hole,AquiMod,26/07/1962,137.654,
Baydon Hole,AquiMod,27/07/1962,137.625,
Baydon Hole,AquiMod,28/07/1962,137.597,
Baydon Hole,AquiMod,29/07/1962,137.568,
Baydon Hole,AquiMod,30/07/1962,137.54,
Baydon Hole,AquiMod,31/07/1962,137.513,
Baydon Hole,AquiMod,01/08/1962,137.485,
Baydon Hole,AquiMod,02/08/1962,137.458,
Baydon Hole,AquiMod,03/08/1962,137.431,
Baydon Hole,AquiMod,04/08/1962,137.405,
Baydon Hole,AquiMod,05/08/1962,137.378,
Baydon Hole,AquiMod,06/08/1962,137.352,
Baydon Hole,AquiMod,07/08/1962,137.326,
Baydon Hole,AquiMod,08/08/1962,137.301,
Baydon Hole,AquiMod,09/08/1962,137.275,
Baydon Hole,AquiMod,10/08/1962,137.25,
Baydon Hole,AquiMod,11/08/1962,137.225,
Baydon Hole,AquiMod,12/08/1962,137.2,
Baydon Hole,AquiMod,13/08/1962,137.176,
Baydon Hole,AquiMod,14/08/1962,137.152,
Baydon Hole,AquiMod,15/08/1962,137.128,
Baydon Hole,AquiMod,16/08/1962,137.104,
Baydon Hole,AquiMod,17/08/1962,137.08,
Baydon Hole,AquiMod,18/08/1962,137.057,
Baydon Hole,AquiMod,19/08/1962,137.034,
Baydon Hole,AquiMod,20/08/1962,137.011,
Baydon Hole,AquiMod,21/08/1962,136.988,
Baydon Hole,AquiMod,22/08/1962,136.965,
Baydon Hole,AquiMod,23/08/1962,136.943,
Baydon Hole,AquiMod,24/08/1962,136.921,
Baydon Hole,AquiMod,25/08/1962,136.899,
Baydon Hole,AquiMod,26/08/1962,136.877,
Baydon Hole,AquiMod,27/08/1962,136.856,
Baydon Hole,AquiMod,28/08/1962,136.834,
Baydon Hole,AquiMod,29/08/1962,136.813,
Baydon Hole,AquiMod,30/08/1962,136.792,
Baydon Hole,AquiMod,31/08/1962,136.771,
Baydon Hole,AquiMod,01/09/1962,136.75,
Baydon Hole,AquiMod,02/09/1962,136.73,
Baydon Hole,AquiMod,03/09/1962,136.71,
Baydon Hole,AquiMod,04/09/1962,136.689,
Baydon Hole,AquiMod,05/09/1962,136.669,
Baydon Hole,AquiMod,06/09/1962,136.65,
Baydon Hole,AquiMod,07/09/1962,136.63,
Baydon Hole,AquiMod,08/09/1962,136.61,
Baydon Hole,AquiMod,09/09/1962,136.591,
Baydon Hole,AquiMod,10/09/1962,136.572,
Baydon Hole,AquiMod,11/09/1962,136.553,
Baydon Hole,AquiMod,12/09/1962,136.534,
Baydon Hole,AquiMod,13/09/1962,136.515,
Baydon Hole,AquiMod,14/09/1962,136.497,
Baydon Hole,AquiMod,15/09/1962,136.478,
Baydon Hole,AquiMod,16/09/1962,136.46,
Baydon Hole,AquiMod,17/09/1962,136.442,
Baydon Hole,AquiMod,18/09/1962,136.424,
Baydon Hole,AquiMod,19/09/1962,136.406,
Baydon Hole,AquiMod,20/09/1962,136.389,
Baydon Hole,AquiMod,21/09/1962,136.371,
Baydon Hole,AquiMod,22/09/1962,136.354,
Baydon Hole,AquiMod,23/09/1962,136.336,
Baydon Hole,AquiMod,24/09/1962,136.319,
Baydon Hole,AquiMod,25/09/1962,136.302,
Baydon Hole,AquiMod,26/09/1962,136.285,
Baydon Hole,AquiMod,27/09/1962,136.268,
Baydon Hole,AquiMod,28/09/1962,136.252,
Baydon Hole,AquiMod,29/09/1962,136.235,
Baydon Hole,AquiMod,30/09/1962,136.219,
Baydon Hole,AquiMod,01/10/1962,136.203,
Baydon Hole,AquiMod,02/10/1962,136.187,
Baydon Hole,AquiMod,03/10/1962,136.171,
Baydon Hole,AquiMod,04/10/1962,136.155,
Baydon Hole,AquiMod,05/10/1962,136.139,
Baydon Hole,AquiMod,06/10/1962,136.123,
Baydon Hole,AquiMod,07/10/1962,136.108,
Baydon Hole,AquiMod,08/10/1962,136.092,
Baydon Hole,AquiMod,09/10/1962,136.077,
Baydon Hole,AquiMod,10/10/1962,136.062,
Baydon Hole,AquiMod,11/10/1962,136.047,
Baydon Hole,AquiMod,12/10/1962,136.032,
Baydon Hole,AquiMod,13/10/1962,136.017,
Baydon Hole,AquiMod,14/10/1962,136.002,
Baydon Hole,AquiMod,15/10/1962,135.987,
Baydon Hole,AquiMod,16/10/1962,135.973,
Baydon Hole,AquiMod,17/10/1962,135.958,
Baydon Hole,AquiMod,18/10/1962,135.944,
Baydon Hole,AquiMod,19/10/1962,135.93,
Baydon Hole,AquiMod,20/10/1962,135.916,
Baydon Hole,AquiMod,21/10/1962,135.902,
Baydon Hole,AquiMod,22/10/1962,135.888,
Baydon Hole,AquiMod,23/10/1962,135.874,
Baydon Hole,AquiMod,24/10/1962,135.86,
Baydon Hole,AquiMod,25/10/1962,135.846,
Baydon Hole,AquiMod,26/10/1962,135.833,
Baydon Hole,AquiMod,27/10/1962,135.819,
Baydon Hole,AquiMod,28/10/1962,135.806,
Baydon Hole,AquiMod,29/10/1962,135.793,
Baydon Hole,AquiMod,30/10/1962,135.779,
Baydon Hole,AquiMod,31/10/1962,135.766,
Baydon Hole,AquiMod,01/11/1962,135.753,
Baydon Hole,AquiMod,02/11/1962,135.74,
Baydon Hole,AquiMod,03/11/1962,135.727,
Baydon Hole,AquiMod,04/11/1962,135.715,
Baydon Hole,AquiMod,05/11/1962,135.702,
Baydon Hole,AquiMod,06/11/1962,135.689,
Baydon Hole,AquiMod,07/11/1962,135.677,
Baydon Hole,AquiMod,08/11/1962,135.664,
Baydon Hole,AquiMod,09/11/1962,135.652,
Baydon Hole,AquiMod,10/11/1962,135.64,
Baydon Hole,AquiMod,11/11/1962,135.628,
Baydon Hole,AquiMod,12/11/1962,135.616,
Baydon Hole,AquiMod,13/11/1962,135.604,
Baydon Hole,AquiMod,14/11/1962,135.592,
Baydon Hole,AquiMod,15/11/1962,135.58,
Baydon Hole,AquiMod,16/11/1962,135.568,
Baydon Hole,AquiMod,17/11/1962,135.556,
Baydon Hole,AquiMod,18/11/1962,135.545,
Baydon Hole,AquiMod,19/11/1962,135.533,
Baydon Hole,AquiMod,20/11/1962,135.521,
Baydon Hole,AquiMod,21/11/1962,135.51,
Baydon Hole,AquiMod,22/11/1962,135.499,
Baydon Hole,AquiMod,23/11/1962,135.487,
Baydon Hole,AquiMod,24/11/1962,135.476,
Baydon Hole,AquiMod,25/11/1962,135.465,
Baydon Hole,AquiMod,26/11/1962,135.454,
Baydon Hole,AquiMod,27/11/1962,135.443,
Baydon Hole,AquiMod,28/11/1962,135.432,
Baydon Hole,AquiMod,29/11/1962,135.421,
Baydon Hole,AquiMod,30/11/1962,135.41,
Baydon Hole,AquiMod,01/12/1962,135.4,
Baydon Hole,AquiMod,02/12/1962,135.389,
Baydon Hole,AquiMod,03/12/1962,135.378,
Baydon Hole,AquiMod,04/12/1962,135.368,
Baydon Hole,AquiMod,05/12/1962,135.357,
Baydon Hole,AquiMod,06/12/1962,135.347,
Baydon Hole,AquiMod,07/12/1962,135.336,
Baydon Hole,AquiMod,08/12/1962,135.354,
Baydon Hole,AquiMod,09/12/1962,135.387,
Baydon Hole,AquiMod,10/12/1962,135.431,
Baydon Hole,AquiMod,11/12/1962,135.487,
Baydon Hole,AquiMod,12/12/1962,135.557,
Baydon Hole,AquiMod,13/12/1962,135.632,
Baydon Hole,AquiMod,14/12/1962,135.718,
Baydon Hole,AquiMod,15/12/1962,135.808,
Baydon Hole,AquiMod,16/12/1962,135.899,
Baydon Hole,AquiMod,17/12/1962,135.987,
Baydon Hole,AquiMod,18/12/1962,136.073,
Baydon Hole,AquiMod,19/12/1962,136.17,
Baydon Hole,AquiMod,20/12/1962,136.3,
Baydon Hole,AquiMod,21/12/1962,136.443,
Baydon Hole,AquiMod,22/12/1962,136.594,
