Borehole,Model,Date,Sim,Obs
Catherington,AquiMod,01/01/1962,37.1008,
Catherington,AquiMod,02/01/1962,37.2213,
Catherington,AquiMod,03/01/1962,37.3415,
Catherington,AquiMod,04/01/1962,37.464,
Catherington,AquiMod,05/01/1962,37.5853,
Catherington,AquiMod,06/01/1962,37.704,
Catherington,AquiMod,07/01/1962,37.8193,
Catherington,AquiMod,08/01/1962,37.9334,
Catherington,AquiMod,09/01/1962,38.0586,
Catherington,AquiMod,10/01/1962,38.2137,
Catherington,AquiMod,11/01/1962,38.3926,
Catherington,AquiMod,12/01/1962,38.5845,
Catherington,AquiMod,13/01/1962,38.7829,
Catherington,AquiMod,14/01/1962,38.984,
Catherington,AquiMod,15/01/1962,39.1914,
Catherington,AquiMod,16/01/1962,39.4003,
Catherington,AquiMod,17/01/1962,39.6102,
Catherington,AquiMod,18/01/1962,39.8249,
Catherington,AquiMod,19/01/1962,40.0386,
Catherington,AquiMod,20/01/1962,40.2619,
Catherington,AquiMod,21/01/1962,40.5122,
Catherington,AquiMod,22/01/1962,40.7696,
Catherington,AquiMod,23/01/1962,41.0426,
Catherington,AquiMod,24/01/1962,41.3218,
Catherington,AquiMod,25/01/1962,41.6009,
Catherington,AquiMod,26/01/1962,41.8785,
Catherington,AquiMod,27/01/1962,42.1573,
Catherington,AquiMod,28/01/1962,42.4308,
Catherington,AquiMod,29/01/1962,42.6966,
Catherington,AquiMod,30/01/1962,42.9554,
Catherington,AquiMod,31/01/1962,43.2101,
Catherington,AquiMod,01/02/1962,43.4554,
Catherington,AquiMod,02/02/1962,43.6894,
Catherington,AquiMod,03/02/1962,43.9107,
Catherington,AquiMod,04/02/1962,44.1192,
Catherington,AquiMod,05/02/1962,44.3132,
Catherington,AquiMod,06/02/1962,44.4953,
Catherington,AquiMod,07/02/1962,44.6673,
Catherington,AquiMod,08/02/1962,44.8262,
Catherington,AquiMod,09/02/1962,44.9702,
Catherington,AquiMod,10/02/1962,45.0993,
Catherington,AquiMod,11/02/1962,45.2142,
Catherington,AquiMod,12/02/1962,45.3187,
Catherington,AquiMod,13/02/1962,45.4103,
Catherington,AquiMod,14/02/1962,45.4884,
Catherington,AquiMod,15/02/1962,45.5542,
Catherington,AquiMod,16/02/1962,45.6077,
Catherington,AquiMod,17/02/1962,45.6491,
Catherington,AquiMod,18/02/1962,45.6788,
Catherington,AquiMod,19/02/1962,45.6971,
Catherington,AquiMod,20/02/1962,45.7043,
Catherington,AquiMod,21/02/1962,45.7008,
Catherington,AquiMod,22/02/1962,45.6872,
Catherington,AquiMod,23/02/1962,45.6638,
Catherington,AquiMod,24/02/1962,45.6312,
Catherington,AquiMod,25/02/1962,45.5898,
Catherington,AquiMod,26/02/1962,45.5402,
Catherington,AquiMod,27/02/1962,45.4827,
Catherington,AquiMod,28/02/1962,45.418,
Catherington,AquiMod,01/03/1962,45.3465,
Catherington,AquiMod,02/03/1962,45.2669,
Catherington,AquiMod,03/03/1962,45.1802,
Catherington,AquiMod,04/03/1962,45.0885,
Catherington,AquiMod,05/03/1962,44.992,
Catherington,AquiMod,06/03/1962,44.8913,
Catherington,AquiMod,07/03/1962,44.7867,
Catherington,AquiMod,08/03/1962,44.6782,
Catherington,AquiMod,09/03/1962,44.5665,
Catherington,AquiMod,10/03/1962,44.4539,
Catherington,AquiMod,11/03/1962,44.3395,
Catherington,AquiMod,12/03/1962,44.2232,
Catherington,AquiMod,13/03/1962,44.1041,
Catherington,AquiMod,14/03/1962,43.9816,
Catherington,AquiMod,15/03/1962,43.8572,
Catherington,AquiMod,16/03/1962,43.732,
Catherington,AquiMod,17/03/1962,43.6063,
Catherington,AquiMod,18/03/1962,43.4802,
Catherington,AquiMod,19/03/1962,43.3534,
Catherington,AquiMod,20/03/1962,43.2264,
Catherington,AquiMod,21/03/1962,43.0992,
Catherington,AquiMod,22/03/1962,42.9716,
Catherington,AquiMod,23/03/1962,42.8441,
Catherington,AquiMod,24/03/1962,42.716,
Catherington,AquiMod,25/03/1962,42.5863,
