Borehole,Model,Date,Sim,Obs
Clanville Lodge,AquiMod,01/01/1962,81.9139,
Clanville Lodge,AquiMod,02/01/1962,81.9426,
Clanville Lodge,AquiMod,03/01/1962,81.9698,
Clanville Lodge,AquiMod,04/01/1962,81.9963,
Clanville Lodge,AquiMod,05/01/1962,82.0215,
Clanville Lodge,AquiMod,06/01/1962,82.0452,
Clanville Lodge,AquiMod,07/01/1962,82.0677,
Clanville Lodge,AquiMod,08/01/1962,82.0919,
Clanville Lodge,AquiMod,09/01/1962,82.1229,
Clanville Lodge,AquiMod,10/01/1962,82.1658,
Clanville Lodge,AquiMod,11/01/1962,82.2177,
Clanville Lodge,AquiMod,12/01/1962,82.2683,
Clanville Lodge,AquiMod,13/01/1962,82.3169,
Clanville Lodge,AquiMod,14/01/1962,82.3636,
Clanville Lodge,AquiMod,15/01/1962,82.4144,
Clanville Lodge,AquiMod,16/01/1962,82.4663,
Clanville Lodge,AquiMod,17/01/1962,82.5184,
Clanville Lodge,AquiMod,18/01/1962,82.5726,
Clanville Lodge,AquiMod,19/01/1962,82.6249,
Clanville Lodge,AquiMod,20/01/1962,82.6815,
Clanville Lodge,AquiMod,21/01/1962,82.7551,
Clanville Lodge,AquiMod,22/01/1962,82.8262,
Clanville Lodge,AquiMod,23/01/1962,82.9,
Clanville Lodge,AquiMod,24/01/1962,82.9726,
Clanville Lodge,AquiMod,25/01/1962,83.0428,
Clanville Lodge,AquiMod,26/01/1962,83.1117,
Clanville Lodge,AquiMod,27/01/1962,83.1832,
Clanville Lodge,AquiMod,28/01/1962,83.2522,
Clanville Lodge,AquiMod,29/01/1962,83.3188,
Clanville Lodge,AquiMod,30/01/1962,83.3851,
Clanville Lodge,AquiMod,31/01/1962,83.4554,
Clanville Lodge,AquiMod,01/02/1962,83.5232,
Clanville Lodge,AquiMod,02/02/1962,83.5886,
Clanville Lodge,AquiMod,03/02/1962,83.6514,
Clanville Lodge,AquiMod,04/02/1962,83.7123,
Clanville Lodge,AquiMod,05/02/1962,83.7709,
Clanville Lodge,AquiMod,06/02/1962,83.8283,
Clanville Lodge,AquiMod,07/02/1962,83.8856,
Clanville Lodge,AquiMod,08/02/1962,83.9405,
Clanville Lodge,AquiMod,09/02/1962,83.9932,
Clanville Lodge,AquiMod,10/02/1962,84.0437,
Clanville Lodge,AquiMod,11/02/1962,84.0905,
Clanville Lodge,AquiMod,12/02/1962,84.1353,
Clanville Lodge,AquiMod,13/02/1962,84.1778,
Clanville Lodge,AquiMod,14/02/1962,84.2178,
Clanville Lodge,AquiMod,15/02/1962,84.2558,
Clanville Lodge,AquiMod,16/02/1962,84.2919,
