Borehole,Model,Date,Sim,Obs
Compton House,AquiMod,01/01/1962,40.2768,
Compton House,AquiMod,02/01/1962,40.5059,
Compton House,AquiMod,03/01/1962,40.7075,
Compton House,AquiMod,04/01/1962,40.9261,
Compton House,AquiMod,05/01/1962,41.1226,
Compton House,AquiMod,06/01/1962,41.2935,
Compton House,AquiMod,07/01/1962,41.4442,
Compton House,AquiMod,08/01/1962,41.5792,
Compton House,AquiMod,09/01/1962,41.8136,
Compton House,AquiMod,10/01/1962,42.228,
Compton House,AquiMod,11/01/1962,42.701,
Compton House,AquiMod,12/01/1962,43.1521,
Compton House,AquiMod,13/01/1962,43.5603,
Compton House,AquiMod,14/01/1962,43.9257,
Compton House,AquiMod,15/01/1962,44.2882,
Compton House,AquiMod,16/01/1962,44.6176,
Compton House,AquiMod,17/01/1962,44.933,
Compton House,AquiMod,18/01/1962,45.2651,
Compton House,AquiMod,19/01/1962,45.635,
Compton House,AquiMod,20/01/1962,46.1997,
Compton House,AquiMod,21/01/1962,46.9635,
Compton House,AquiMod,22/01/1962,47.655,
Compton House,AquiMod,23/01/1962,48.4439,
Compton House,AquiMod,24/01/1962,49.1694,45.23
Compton House,AquiMod,25/01/1962,49.8057,
Compton House,AquiMod,26/01/1962,50.372,
Compton House,AquiMod,27/01/1962,50.9046,
Compton House,AquiMod,28/01/1962,51.3578,
Compton House,AquiMod,29/01/1962,51.7331,
Compton House,AquiMod,30/01/1962,52.0536,
Compton House,AquiMod,31/01/1962,52.382,
Compton House,AquiMod,01/02/1962,52.6447,
Compton House,AquiMod,02/02/1962,52.8447,
Compton House,AquiMod,03/02/1962,52.986,
Compton House,AquiMod,04/02/1962,53.0809,
Compton House,AquiMod,05/02/1962,53.1288,
Compton House,AquiMod,06/02/1962,53.1839,
Compton House,AquiMod,07/02/1962,53.2191,
Compton House,AquiMod,08/02/1962,53.2151,
Compton House,AquiMod,09/02/1962,53.1749,
Compton House,AquiMod,10/02/1962,53.1021,
Compton House,AquiMod,11/02/1962,52.9999,
Compton House,AquiMod,12/02/1962,52.9709,
Compton House,AquiMod,13/02/1962,52.9133,
Compton House,AquiMod,14/02/1962,52.8278,
Compton House,AquiMod,15/02/1962,52.7166,
Compton House,AquiMod,16/02/1962,52.582,
Compton House,AquiMod,17/02/1962,52.4265,
Compton House,AquiMod,18/02/1962,52.2524,
Compton House,AquiMod,19/02/1962,52.0585,
Compton House,AquiMod,20/02/1962,51.848,
Compton House,AquiMod,21/02/1962,51.6256,47.21
Compton House,AquiMod,22/02/1962,51.3928,
Compton House,AquiMod,23/02/1962,51.1512,
Compton House,AquiMod,24/02/1962,50.902,
Compton House,AquiMod,25/02/1962,50.6455,
Compton House,AquiMod,26/02/1962,50.3836,
Compton House,AquiMod,27/02/1962,50.1174,
Compton House,AquiMod,28/02/1962,49.8476,
Compton House,AquiMod,01/03/1962,49.5748,
Compton House,AquiMod,02/03/1962,49.2973,
Compton House,AquiMod,03/03/1962,49.0142,
Compton House,AquiMod,04/03/1962,48.7287,
Compton House,AquiMod,05/03/1962,48.4429,
Compton House,AquiMod,06/03/1962,48.1574,
Compton House,AquiMod,07/03/1962,47.8725,
Compton House,AquiMod,08/03/1962,47.5875,
Compton House,AquiMod,09/03/1962,47.3031,
Compton House,AquiMod,10/03/1962,47.0262,
Compton House,AquiMod,11/03/1962,46.749,
Compton House,AquiMod,12/03/1962,46.4724,
Compton House,AquiMod,13/03/1962,46.1945,
Compton House,AquiMod,14/03/1962,45.9142,
Compton House,AquiMod,15/03/1962,45.6351,
Compton House,AquiMod,16/03/1962,45.3844,
Compton House,AquiMod,17/03/1962,45.2025,
Compton House,AquiMod,18/03/1962,45.0221,
Compton House,AquiMod,19/03/1962,44.8432,
Compton House,AquiMod,20/03/1962,44.6655,
Compton House,AquiMod,21/03/1962,44.4895,43.25
Compton House,AquiMod,22/03/1962,44.3153,
Compton House,AquiMod,23/03/1962,44.1426,
Compton House,AquiMod,24/03/1962,43.971,
Compton House,AquiMod,25/03/1962,43.8012,
Compton House,AquiMod,26/03/1962,43.6333,
Compton House,AquiMod,27/03/1962,43.4673,
Compton House,AquiMod,28/03/1962,43.3526,
Compton House,AquiMod,29/03/1962,43.2382,
Compton House,AquiMod,30/03/1962,43.1269,
Compton House,AquiMod,31/03/1962,43.0141,
Compton House,AquiMod,01/04/1962,42.8997,
Compton House,AquiMod,02/04/1962,42.8451,
Compton House,AquiMod,03/04/1962,42.8116,
Compton House,AquiMod,04/04/1962,42.868,
Compton House,AquiMod,05/04/1962,42.9231,
Compton House,AquiMod,06/04/1962,42.9661,
Compton House,AquiMod,07/04/1962,43.031,
Compton House,AquiMod,08/04/1962,43.1159,
Compton House,AquiMod,09/04/1962,43.1854,
Compton House,AquiMod,10/04/1962,43.2391,
Compton House,AquiMod,11/04/1962,43.2774,
Compton House,AquiMod,12/04/1962,43.301,
Compton House,AquiMod,13/04/1962,43.3108,
Compton House,AquiMod,14/04/1962,43.3075,
Compton House,AquiMod,15/04/1962,43.2922,
Compton House,AquiMod,16/04/1962,43.2657,
Compton House,AquiMod,17/04/1962,43.2288,
Compton House,AquiMod,18/04/1962,43.1825,39.59
Compton House,AquiMod,19/04/1962,43.1276,
Compton House,AquiMod,20/04/1962,43.0647,
Compton House,AquiMod,21/04/1962,42.9946,
Compton House,AquiMod,22/04/1962,42.918,
Compton House,AquiMod,23/04/1962,42.8356,
Compton House,AquiMod,24/04/1962,42.7478,
Compton House,AquiMod,25/04/1962,42.6553,
Compton House,AquiMod,26/04/1962,42.5585,
Compton House,AquiMod,27/04/1962,42.458,
Compton House,AquiMod,28/04/1962,42.3541,
Compton House,AquiMod,29/04/1962,42.2473,
Compton House,AquiMod,30/04/1962,42.1379,
Compton House,AquiMod,01/05/1962,42.0262,
Compton House,AquiMod,02/05/1962,41.9126,
Compton House,AquiMod,03/05/1962,41.7973,
Compton House,AquiMod,04/05/1962,41.6807,
Compton House,AquiMod,05/05/1962,41.5629,
Compton House,AquiMod,06/05/1962,41.4443,
Compton House,AquiMod,07/05/1962,41.3249,
Compton House,AquiMod,08/05/1962,41.205,
Compton House,AquiMod,09/05/1962,41.0847,
Compton House,AquiMod,10/05/1962,40.9641,
Compton House,AquiMod,11/05/1962,40.8435,
Compton House,AquiMod,12/05/1962,40.7229,
Compton House,AquiMod,13/05/1962,40.6025,
Compton House,AquiMod,14/05/1962,40.4823,
Compton House,AquiMod,15/05/1962,40.3624,
Compton House,AquiMod,16/05/1962,40.2429,38.47
Compton House,AquiMod,17/05/1962,40.1239,
Compton House,AquiMod,18/05/1962,40.0055,
Compton House,AquiMod,19/05/1962,39.887,
Compton House,AquiMod,20/05/1962,39.7692,
Compton House,AquiMod,21/05/1962,39.6521,
Compton House,AquiMod,22/05/1962,39.5358,
Compton House,AquiMod,23/05/1962,39.4203,
Compton House,AquiMod,24/05/1962,39.3049,
Compton House,AquiMod,25/05/1962,39.19,
Compton House,AquiMod,26/05/1962,39.0749,
Compton House,AquiMod,27/05/1962,38.9608,
Compton House,AquiMod,28/05/1962,38.8479,
Compton House,AquiMod,29/05/1962,38.7356,
Compton House,AquiMod,30/05/1962,38.624,
Compton House,AquiMod,31/05/1962,38.5136,
Compton House,AquiMod,01/06/1962,38.4044,
Compton House,AquiMod,02/06/1962,38.2964,
Compton House,AquiMod,03/06/1962,38.1894,
Compton House,AquiMod,04/06/1962,38.0836,
Compton House,AquiMod,05/06/1962,37.9789,
Compton House,AquiMod,06/06/1962,37.8753,
Compton House,AquiMod,07/06/1962,37.7728,
Compton House,AquiMod,08/06/1962,37.6713,
Compton House,AquiMod,09/06/1962,37.5708,
Compton House,AquiMod,10/06/1962,37.4714,
Compton House,AquiMod,11/06/1962,37.373,
