Borehole,Model,Date,Sim,Obs
Frying Pan Lodge,AquiMod,01/01/1962,8.85242,
Frying Pan Lodge,AquiMod,02/01/1962,8.88954,
Frying Pan Lodge,AquiMod,03/01/1962,8.92597,
Frying Pan Lodge,AquiMod,04/01/1962,8.96614,
Frying Pan Lodge,AquiMod,05/01/1962,9.00922,
Frying Pan Lodge,AquiMod,06/01/1962,9.05242,
Frying Pan Lodge,AquiMod,07/01/1962,9.09515,
Frying Pan Lodge,AquiMod,08/01/1962,9.13884,
Frying Pan Lodge,AquiMod,09/01/1962,9.18545,
Frying Pan Lodge,AquiMod,10/01/1962,9.23399,
Frying Pan Lodge,AquiMod,11/01/1962,9.2843,
Frying Pan Lodge,AquiMod,12/01/1962,9.33423,
Frying Pan Lodge,AquiMod,13/01/1962,9.38355,
Frying Pan Lodge,AquiMod,14/01/1962,9.43211,
Frying Pan Lodge,AquiMod,15/01/1962,9.48025,
Frying Pan Lodge,AquiMod,16/01/1962,9.52753,
Frying Pan Lodge,AquiMod,17/01/1962,9.57385,
Frying Pan Lodge,AquiMod,18/01/1962,9.6202,
Frying Pan Lodge,AquiMod,19/01/1962,9.66565,
Frying Pan Lodge,AquiMod,20/01/1962,9.71126,
Frying Pan Lodge,AquiMod,21/01/1962,9.75967,
Frying Pan Lodge,AquiMod,22/01/1962,9.80746,
Frying Pan Lodge,AquiMod,23/01/1962,9.85514,
Frying Pan Lodge,AquiMod,24/01/1962,9.90241,
Frying Pan Lodge,AquiMod,25/01/1962,9.94875,
Frying Pan Lodge,AquiMod,26/01/1962,9.99406,
Frying Pan Lodge,AquiMod,27/01/1962,10.0383,
Frying Pan Lodge,AquiMod,28/01/1962,10.0814,
Frying Pan Lodge,AquiMod,29/01/1962,10.1234,
Frying Pan Lodge,AquiMod,30/01/1962,10.1644,
Frying Pan Lodge,AquiMod,31/01/1962,10.2096,
Frying Pan Lodge,AquiMod,01/02/1962,10.2542,
Frying Pan Lodge,AquiMod,02/02/1962,10.2982,
Frying Pan Lodge,AquiMod,03/02/1962,10.3412,
Frying Pan Lodge,AquiMod,04/02/1962,10.3841,
Frying Pan Lodge,AquiMod,05/02/1962,10.4259,
Frying Pan Lodge,AquiMod,06/02/1962,10.4667,
Frying Pan Lodge,AquiMod,07/02/1962,10.5068,
Frying Pan Lodge,AquiMod,08/02/1962,10.5457,
Frying Pan Lodge,AquiMod,09/02/1962,10.5835,
Frying Pan Lodge,AquiMod,10/02/1962,10.6202,
Frying Pan Lodge,AquiMod,11/02/1962,10.6556,
Frying Pan Lodge,AquiMod,12/02/1962,10.6903,
Frying Pan Lodge,AquiMod,13/02/1962,10.7239,
Frying Pan Lodge,AquiMod,14/02/1962,10.7563,
Frying Pan Lodge,AquiMod,15/02/1962,10.7894,
Frying Pan Lodge,AquiMod,16/02/1962,10.8215,
Frying Pan Lodge,AquiMod,17/02/1962,10.8525,
Frying Pan Lodge,AquiMod,18/02/1962,10.8824,
Frying Pan Lodge,AquiMod,19/02/1962,10.9111,
Frying Pan Lodge,AquiMod,20/02/1962,10.9387,
Frying Pan Lodge,AquiMod,21/02/1962,10.9651,
Frying Pan Lodge,AquiMod,22/02/1962,10.9903,
Frying Pan Lodge,AquiMod,23/02/1962,11.0144,
Frying Pan Lodge,AquiMod,24/02/1962,11.0373,
Frying Pan Lodge,AquiMod,25/02/1962,11.0591,
Frying Pan Lodge,AquiMod,26/02/1962,11.0798,
Frying Pan Lodge,AquiMod,27/02/1962,11.0993,
Frying Pan Lodge,AquiMod,28/02/1962,11.1178,
Frying Pan Lodge,AquiMod,01/03/1962,11.1351,
Frying Pan Lodge,AquiMod,02/03/1962,11.1513,
Frying Pan Lodge,AquiMod,03/03/1962,11.1665,
Frying Pan Lodge,AquiMod,04/03/1962,11.1806,
Frying Pan Lodge,AquiMod,05/03/1962,11.1936,
Frying Pan Lodge,AquiMod,06/03/1962,11.2057,
Frying Pan Lodge,AquiMod,07/03/1962,11.2167,
Frying Pan Lodge,AquiMod,08/03/1962,11.2267,
Frying Pan Lodge,AquiMod,09/03/1962,11.2357,
Frying Pan Lodge,AquiMod,10/03/1962,11.2438,
Frying Pan Lodge,AquiMod,11/03/1962,11.2509,
Frying Pan Lodge,AquiMod,12/03/1962,11.257,
Frying Pan Lodge,AquiMod,13/03/1962,11.2622,
Frying Pan Lodge,AquiMod,14/03/1962,11.2666,
Frying Pan Lodge,AquiMod,15/03/1962,11.27,
Frying Pan Lodge,AquiMod,16/03/1962,11.2726,
Frying Pan Lodge,AquiMod,17/03/1962,11.2743,
Frying Pan Lodge,AquiMod,18/03/1962,11.2751,
Frying Pan Lodge,AquiMod,19/03/1962,11.2751,
Frying Pan Lodge,AquiMod,20/03/1962,11.2744,
Frying Pan Lodge,AquiMod,21/03/1962,11.2728,
Frying Pan Lodge,AquiMod,22/03/1962,11.2702,
Frying Pan Lodge,AquiMod,23/03/1962,11.2668,
Frying Pan Lodge,AquiMod,24/03/1962,11.2627,
Frying Pan Lodge,AquiMod,25/03/1962,11.2579,
Frying Pan Lodge,AquiMod,26/03/1962,11.2524,
Frying Pan Lodge,AquiMod,27/03/1962,11.2462,
Frying Pan Lodge,AquiMod,28/03/1962,11.2393,
Frying Pan Lodge,AquiMod,29/03/1962,11.2317,
Frying Pan Lodge,AquiMod,30/03/1962,11.2235,
Frying Pan Lodge,AquiMod,31/03/1962,11.2146,
Frying Pan Lodge,AquiMod,01/04/1962,11.2051,
Frying Pan Lodge,AquiMod,02/04/1962,11.195,
Frying Pan Lodge,AquiMod,03/04/1962,11.1843,
Frying Pan Lodge,AquiMod,04/04/1962,11.1737,
Frying Pan Lodge,AquiMod,05/04/1962,11.1628,
Frying Pan Lodge,AquiMod,06/04/1962,11.1524,
Frying Pan Lodge,AquiMod,07/04/1962,11.143,
Frying Pan Lodge,AquiMod,08/04/1962,11.1332,
Frying Pan Lodge,AquiMod,09/04/1962,11.123,
Frying Pan Lodge,AquiMod,10/04/1962,11.1124,
Frying Pan Lodge,AquiMod,11/04/1962,11.1014,
Frying Pan Lodge,AquiMod,12/04/1962,11.0899,
Frying Pan Lodge,AquiMod,13/04/1962,11.0779,
Frying Pan Lodge,AquiMod,14/04/1962,11.0655,
Frying Pan Lodge,AquiMod,15/04/1962,11.0526,
Frying Pan Lodge,AquiMod,16/04/1962,11.0393,
Frying Pan Lodge,AquiMod,17/04/1962,11.0255,
Frying Pan Lodge,AquiMod,18/04/1962,11.0113,
Frying Pan Lodge,AquiMod,19/04/1962,10.9967,
Frying Pan Lodge,AquiMod,20/04/1962,10.9816,
Frying Pan Lodge,AquiMod,21/04/1962,10.9661,
Frying Pan Lodge,AquiMod,22/04/1962,10.9502,
Frying Pan Lodge,AquiMod,23/04/1962,10.9339,
Frying Pan Lodge,AquiMod,24/04/1962,10.9172,
Frying Pan Lodge,AquiMod,25/04/1962,10.9001,
Frying Pan Lodge,AquiMod,26/04/1962,10.8811,
Frying Pan Lodge,AquiMod,27/04/1962,10.8608,
Frying Pan Lodge,AquiMod,28/04/1962,10.8399,
Frying Pan Lodge,AquiMod,29/04/1962,10.8188,
Frying Pan Lodge,AquiMod,30/04/1962,10.7972,
Frying Pan Lodge,AquiMod,01/05/1962,10.7753,
Frying Pan Lodge,AquiMod,02/05/1962,10.7526,
Frying Pan Lodge,AquiMod,03/05/1962,10.7297,
Frying Pan Lodge,AquiMod,04/05/1962,10.7065,
Frying Pan Lodge,AquiMod,05/05/1962,10.6829,
Frying Pan Lodge,AquiMod,06/05/1962,10.6592,
Frying Pan Lodge,AquiMod,07/05/1962,10.6353,
Frying Pan Lodge,AquiMod,08/05/1962,10.6112,
Frying Pan Lodge,AquiMod,09/05/1962,10.5869,
Frying Pan Lodge,AquiMod,10/05/1962,10.5624,
Frying Pan Lodge,AquiMod,11/05/1962,10.5378,
Frying Pan Lodge,AquiMod,12/05/1962,10.513,
Frying Pan Lodge,AquiMod,13/05/1962,10.488,
Frying Pan Lodge,AquiMod,14/05/1962,10.4628,
Frying Pan Lodge,AquiMod,15/05/1962,10.4371,
Frying Pan Lodge,AquiMod,16/05/1962,10.4113,
Frying Pan Lodge,AquiMod,17/05/1962,10.3852,
Frying Pan Lodge,AquiMod,18/05/1962,10.3591,
Frying Pan Lodge,AquiMod,19/05/1962,10.3317,
Frying Pan Lodge,AquiMod,20/05/1962,10.3042,
Frying Pan Lodge,AquiMod,21/05/1962,10.2765,
Frying Pan Lodge,AquiMod,22/05/1962,10.2486,
Frying Pan Lodge,AquiMod,23/05/1962,10.2206,
Frying Pan Lodge,AquiMod,24/05/1962,10.1925,
Frying Pan Lodge,AquiMod,25/05/1962,10.1644,
Frying Pan Lodge,AquiMod,26/05/1962,10.1363,
Frying Pan Lodge,AquiMod,27/05/1962,10.1081,
Frying Pan Lodge,AquiMod,28/05/1962,10.0798,
Frying Pan Lodge,AquiMod,29/05/1962,10.0515,
Frying Pan Lodge,AquiMod,30/05/1962,10.0231,
Frying Pan Lodge,AquiMod,31/05/1962,9.99472,
Frying Pan Lodge,AquiMod,01/06/1962,9.96629,
Frying Pan Lodge,AquiMod,02/06/1962,9.93783,
Frying Pan Lodge,AquiMod,03/06/1962,9.90934,
Frying Pan Lodge,AquiMod,04/06/1962,9.88082,
Frying Pan Lodge,AquiMod,05/06/1962,9.85228,
Frying Pan Lodge,AquiMod,06/06/1962,9.82372,
Frying Pan Lodge,AquiMod,07/06/1962,9.79514,
Frying Pan Lodge,AquiMod,08/06/1962,9.76654,
Frying Pan Lodge,AquiMod,09/06/1962,9.73675,
Frying Pan Lodge,AquiMod,10/06/1962,9.70699,
Frying Pan Lodge,AquiMod,11/06/1962,9.67693,
Frying Pan Lodge,AquiMod,12/06/1962,9.64668,
Frying Pan Lodge,AquiMod,13/06/1962,9.61642,
Frying Pan Lodge,AquiMod,14/06/1962,9.5862,
Frying Pan Lodge,AquiMod,15/06/1962,9.55603,
Frying Pan Lodge,AquiMod,16/06/1962,9.52579,
Frying Pan Lodge,AquiMod,17/06/1962,9.49551,
Frying Pan Lodge,AquiMod,18/06/1962,9.46514,
Frying Pan Lodge,AquiMod,19/06/1962,9.43421,
Frying Pan Lodge,AquiMod,20/06/1962,9.40329,
Frying Pan Lodge,AquiMod,21/06/1962,9.37225,
Frying Pan Lodge,AquiMod,22/06/1962,9.3413,
Frying Pan Lodge,AquiMod,23/06/1962,9.31044,
Frying Pan Lodge,AquiMod,24/06/1962,9.27966,
Frying Pan Lodge,AquiMod,25/06/1962,9.24896,
Frying Pan Lodge,AquiMod,26/06/1962,9.21836,
Frying Pan Lodge,AquiMod,27/06/1962,9.18784,
Frying Pan Lodge,AquiMod,28/06/1962,9.15741,
Frying Pan Lodge,AquiMod,29/06/1962,9.12707,
Frying Pan Lodge,AquiMod,30/06/1962,9.09682,
Frying Pan Lodge,AquiMod,01/07/1962,9.06665,
Frying Pan Lodge,AquiMod,02/07/1962,9.03658,
Frying Pan Lodge,AquiMod,03/07/1962,9.00659,
Frying Pan Lodge,AquiMod,04/07/1962,8.9767,
Frying Pan Lodge,AquiMod,05/07/1962,8.9469,
Frying Pan Lodge,AquiMod,06/07/1962,8.91718,
Frying Pan Lodge,AquiMod,07/07/1962,8.88687,
Frying Pan Lodge,AquiMod,08/07/1962,8.8562,
Frying Pan Lodge,AquiMod,09/07/1962,8.82565,
Frying Pan Lodge,AquiMod,10/07/1962,8.79522,
Frying Pan Lodge,AquiMod,11/07/1962,8.7649,
Frying Pan Lodge,AquiMod,12/07/1962,8.73471,
Frying Pan Lodge,AquiMod,13/07/1962,8.70404,
Frying Pan Lodge,AquiMod,14/07/1962,8.67306,
Frying Pan Lodge,AquiMod,15/07/1962,8.64218,
Frying Pan Lodge,AquiMod,16/07/1962,8.61145,
Frying Pan Lodge,AquiMod,17/07/1962,8.58064,
Frying Pan Lodge,AquiMod,18/07/1962,8.54952,
Frying Pan Lodge,AquiMod,19/07/1962,8.51825,
Frying Pan Lodge,AquiMod,20/07/1962,8.48686,
Frying Pan Lodge,AquiMod,21/07/1962,8.45564,
Frying Pan Lodge,AquiMod,22/07/1962,8.42458,
Frying Pan Lodge,AquiMod,23/07/1962,8.39369,
Frying Pan Lodge,AquiMod,24/07/1962,8.36291,
Frying Pan Lodge,AquiMod,25/07/1962,8.33229,
Frying Pan Lodge,AquiMod,26/07/1962,8.30183,
Frying Pan Lodge,AquiMod,27/07/1962,8.27137,
Frying Pan Lodge,AquiMod,28/07/1962,8.24108,
Frying Pan Lodge,AquiMod,29/07/1962,8.21079,
Frying Pan Lodge,AquiMod,30/07/1962,8.18018,
Frying Pan Lodge,AquiMod,31/07/1962,8.14973,
Frying Pan Lodge,AquiMod,01/08/1962,8.11937,
Frying Pan Lodge,AquiMod,02/08/1962,8.08911,
Frying Pan Lodge,AquiMod,03/08/1962,8.05902,
Frying Pan Lodge,AquiMod,04/08/1962,8.0291,
Frying Pan Lodge,AquiMod,05/08/1962,7.99935,
Frying Pan Lodge,AquiMod,06/08/1962,7.96977,
Frying Pan Lodge,AquiMod,07/08/1962,7.94036,
Frying Pan Lodge,AquiMod,08/08/1962,7.91108,
Frying Pan Lodge,AquiMod,09/08/1962,7.88125,
Frying Pan Lodge,AquiMod,10/08/1962,7.8516,
Frying Pan Lodge,AquiMod,11/08/1962,7.82209,
Frying Pan Lodge,AquiMod,12/08/1962,7.79274,
Frying Pan Lodge,AquiMod,13/08/1962,7.76346,
Frying Pan Lodge,AquiMod,14/08/1962,7.73434,
Frying Pan Lodge,AquiMod,15/08/1962,7.7054,
Frying Pan Lodge,AquiMod,16/08/1962,7.67656,
Frying Pan Lodge,AquiMod,17/08/1962,7.64788,
Frying Pan Lodge,AquiMod,18/08/1962,7.61938,
