Borehole,Model,Date,Sim,Obs
Greenfield Garage,AquiMod,01/01/1962,10.6869,
Greenfield Garage,AquiMod,02/01/1962,10.6138,
Greenfield Garage,AquiMod,03/01/1962,10.5425,
Greenfield Garage,AquiMod,04/01/1962,10.4729,
Greenfield Garage,AquiMod,05/01/1962,10.424,
Greenfield Garage,AquiMod,06/01/1962,10.4482,
Greenfield Garage,AquiMod,07/01/1962,10.544,
Greenfield Garage,AquiMod,08/01/1962,10.6542,
Greenfield Garage,AquiMod,09/01/1962,10.8666,
Greenfield Garage,AquiMod,10/01/1962,11.3218,
Greenfield Garage,AquiMod,11/01/1962,11.9359,
Greenfield Garage,AquiMod,12/01/1962,12.3895,
Greenfield Garage,AquiMod,13/01/1962,12.4734,
Greenfield Garage,AquiMod,14/01/1962,12.4463,
Greenfield Garage,AquiMod,15/01/1962,12.4321,
Greenfield Garage,AquiMod,16/01/1962,12.5528,
Greenfield Garage,AquiMod,17/01/1962,12.7575,
Greenfield Garage,AquiMod,18/01/1962,12.8923,
Greenfield Garage,AquiMod,19/01/1962,12.9966,
Greenfield Garage,AquiMod,20/01/1962,13.1076,
Greenfield Garage,AquiMod,21/01/1962,13.1742,
Greenfield Garage,AquiMod,22/01/1962,13.2125,
Greenfield Garage,AquiMod,23/01/1962,13.238,
Greenfield Garage,AquiMod,24/01/1962,13.2865,
Greenfield Garage,AquiMod,25/01/1962,13.3397,
Greenfield Garage,AquiMod,26/01/1962,13.3248,
Greenfield Garage,AquiMod,27/01/1962,13.3079,
Greenfield Garage,AquiMod,28/01/1962,13.3381,
Greenfield Garage,AquiMod,29/01/1962,13.3378,
Greenfield Garage,AquiMod,30/01/1962,13.265,
Greenfield Garage,AquiMod,31/01/1962,13.1711,
Greenfield Garage,AquiMod,01/02/1962,13.1014,
Greenfield Garage,AquiMod,02/02/1962,13.0544,
Greenfield Garage,AquiMod,03/02/1962,13.018,
Greenfield Garage,AquiMod,04/02/1962,12.9847,
Greenfield Garage,AquiMod,05/02/1962,12.9421,
Greenfield Garage,AquiMod,06/02/1962,12.8982,
Greenfield Garage,AquiMod,07/02/1962,12.8658,
Greenfield Garage,AquiMod,08/02/1962,12.8409,
Greenfield Garage,AquiMod,09/02/1962,12.7974,
Greenfield Garage,AquiMod,10/02/1962,12.7331,
Greenfield Garage,AquiMod,11/02/1962,12.6638,
Greenfield Garage,AquiMod,12/02/1962,12.6151,
Greenfield Garage,AquiMod,13/02/1962,12.6234,
Greenfield Garage,AquiMod,14/02/1962,12.6598,
Greenfield Garage,AquiMod,15/02/1962,12.6542,
Greenfield Garage,AquiMod,16/02/1962,12.6103,
Greenfield Garage,AquiMod,17/02/1962,12.5537,
Greenfield Garage,AquiMod,18/02/1962,12.4922,
Greenfield Garage,AquiMod,19/02/1962,12.4299,
Greenfield Garage,AquiMod,20/02/1962,12.3686,
Greenfield Garage,AquiMod,21/02/1962,12.2628,
Greenfield Garage,AquiMod,22/02/1962,12.1432,
Greenfield Garage,AquiMod,23/02/1962,12.0275,
Greenfield Garage,AquiMod,24/02/1962,11.9156,
Greenfield Garage,AquiMod,25/02/1962,11.8072,
Greenfield Garage,AquiMod,26/02/1962,11.7023,
Greenfield Garage,AquiMod,27/02/1962,11.6006,
Greenfield Garage,AquiMod,28/02/1962,11.5021,
Greenfield Garage,AquiMod,01/03/1962,11.4064,
Greenfield Garage,AquiMod,02/03/1962,11.3136,
Greenfield Garage,AquiMod,03/03/1962,11.2235,
Greenfield Garage,AquiMod,04/03/1962,11.1359,
Greenfield Garage,AquiMod,05/03/1962,11.0508,
Greenfield Garage,AquiMod,06/03/1962,10.968,
Greenfield Garage,AquiMod,07/03/1962,10.8875,
Greenfield Garage,AquiMod,08/03/1962,10.8091,
Greenfield Garage,AquiMod,09/03/1962,10.7328,
Greenfield Garage,AquiMod,10/03/1962,10.6708,
Greenfield Garage,AquiMod,11/03/1962,10.6454,
Greenfield Garage,AquiMod,12/03/1962,10.6338,
Greenfield Garage,AquiMod,13/03/1962,10.5902,
Greenfield Garage,AquiMod,14/03/1962,10.5234,
Greenfield Garage,AquiMod,15/03/1962,10.5647,
Greenfield Garage,AquiMod,16/03/1962,10.9178,
Greenfield Garage,AquiMod,17/03/1962,11.3801,
Greenfield Garage,AquiMod,18/03/1962,11.5405,
Greenfield Garage,AquiMod,19/03/1962,11.4788,
Greenfield Garage,AquiMod,20/03/1962,11.3838,
Greenfield Garage,AquiMod,21/03/1962,11.2917,
Greenfield Garage,AquiMod,22/03/1962,11.2022,
Greenfield Garage,AquiMod,23/03/1962,11.1152,
Greenfield Garage,AquiMod,24/03/1962,11.0307,
Greenfield Garage,AquiMod,25/03/1962,10.9485,
Greenfield Garage,AquiMod,26/03/1962,10.8685,
Greenfield Garage,AquiMod,27/03/1962,10.7906,
Greenfield Garage,AquiMod,28/03/1962,10.8042,
Greenfield Garage,AquiMod,29/03/1962,11.0708,
Greenfield Garage,AquiMod,30/03/1962,11.4261,
Greenfield Garage,AquiMod,31/03/1962,11.5372,
Greenfield Garage,AquiMod,01/04/1962,11.469,
Greenfield Garage,AquiMod,02/04/1962,11.4469,
Greenfield Garage,AquiMod,03/04/1962,11.6565,
Greenfield Garage,AquiMod,04/04/1962,12.0163,
Greenfield Garage,AquiMod,05/04/1962,12.2223,
Greenfield Garage,AquiMod,06/04/1962,12.2201,
Greenfield Garage,AquiMod,07/04/1962,12.1661,
Greenfield Garage,AquiMod,08/04/1962,12.2043,
Greenfield Garage,AquiMod,09/04/1962,12.2814,
Greenfield Garage,AquiMod,10/04/1962,12.2652,
Greenfield Garage,AquiMod,11/04/1962,12.2092,
Greenfield Garage,AquiMod,12/04/1962,12.1566,
Greenfield Garage,AquiMod,13/04/1962,12.071,
Greenfield Garage,AquiMod,14/04/1962,11.9619,
Greenfield Garage,AquiMod,15/04/1962,11.8521,
Greenfield Garage,AquiMod,16/04/1962,11.7457,
Greenfield Garage,AquiMod,17/04/1962,11.6427,
Greenfield Garage,AquiMod,18/04/1962,11.5429,
Greenfield Garage,AquiMod,19/04/1962,11.446,
Greenfield Garage,AquiMod,20/04/1962,11.352,
Greenfield Garage,AquiMod,21/04/1962,11.2608,
Greenfield Garage,AquiMod,22/04/1962,11.1722,
Greenfield Garage,AquiMod,23/04/1962,11.0861,
Greenfield Garage,AquiMod,24/04/1962,11.0023,
Greenfield Garage,AquiMod,25/04/1962,10.9209,
Greenfield Garage,AquiMod,26/04/1962,10.8416,
Greenfield Garage,AquiMod,27/04/1962,10.7645,
Greenfield Garage,AquiMod,28/04/1962,10.6893,
Greenfield Garage,AquiMod,29/04/1962,10.6161,
Greenfield Garage,AquiMod,30/04/1962,10.5448,
Greenfield Garage,AquiMod,01/05/1962,10.4752,
Greenfield Garage,AquiMod,02/05/1962,10.4073,
Greenfield Garage,AquiMod,03/05/1962,10.3411,
Greenfield Garage,AquiMod,04/05/1962,10.2765,
Greenfield Garage,AquiMod,05/05/1962,10.2133,
Greenfield Garage,AquiMod,06/05/1962,10.1517,
Greenfield Garage,AquiMod,07/05/1962,10.0915,
Greenfield Garage,AquiMod,08/05/1962,10.0326,
Greenfield Garage,AquiMod,09/05/1962,9.97505,
Greenfield Garage,AquiMod,10/05/1962,9.91876,
Greenfield Garage,AquiMod,11/05/1962,9.8637,
Greenfield Garage,AquiMod,12/05/1962,9.80982,
Greenfield Garage,AquiMod,13/05/1962,9.75707,
Greenfield Garage,AquiMod,14/05/1962,9.70543,
Greenfield Garage,AquiMod,15/05/1962,9.65486,
Greenfield Garage,AquiMod,16/05/1962,9.60531,
Greenfield Garage,AquiMod,17/05/1962,9.55677,
Greenfield Garage,AquiMod,18/05/1962,9.50918,
Greenfield Garage,AquiMod,19/05/1962,9.46253,
Greenfield Garage,AquiMod,20/05/1962,9.41679,
Greenfield Garage,AquiMod,21/05/1962,9.37192,
Greenfield Garage,AquiMod,22/05/1962,9.3279,
Greenfield Garage,AquiMod,23/05/1962,9.2847,
Greenfield Garage,AquiMod,24/05/1962,9.2423,
Greenfield Garage,AquiMod,25/05/1962,9.20067,
Greenfield Garage,AquiMod,26/05/1962,9.1598,
Greenfield Garage,AquiMod,27/05/1962,9.11965,
Greenfield Garage,AquiMod,28/05/1962,9.08021,
Greenfield Garage,AquiMod,29/05/1962,9.04146,
Greenfield Garage,AquiMod,30/05/1962,9.00337,
Greenfield Garage,AquiMod,31/05/1962,8.96593,
Greenfield Garage,AquiMod,01/06/1962,8.92912,
Greenfield Garage,AquiMod,02/06/1962,8.89293,
Greenfield Garage,AquiMod,03/06/1962,8.85733,
Greenfield Garage,AquiMod,04/06/1962,8.82231,
Greenfield Garage,AquiMod,05/06/1962,8.78785,
Greenfield Garage,AquiMod,06/06/1962,8.75394,
Greenfield Garage,AquiMod,07/06/1962,8.72056,
Greenfield Garage,AquiMod,08/06/1962,8.68771,
Greenfield Garage,AquiMod,09/06/1962,8.65536,
Greenfield Garage,AquiMod,10/06/1962,8.6235,
Greenfield Garage,AquiMod,11/06/1962,8.59212,
Greenfield Garage,AquiMod,12/06/1962,8.56121,
Greenfield Garage,AquiMod,13/06/1962,8.53076,
Greenfield Garage,AquiMod,14/06/1962,8.50075,
Greenfield Garage,AquiMod,15/06/1962,8.47117,
Greenfield Garage,AquiMod,16/06/1962,8.44202,
Greenfield Garage,AquiMod,17/06/1962,8.41327,
Greenfield Garage,AquiMod,18/06/1962,8.38493,
Greenfield Garage,AquiMod,19/06/1962,8.35699,
Greenfield Garage,AquiMod,20/06/1962,8.32942,
Greenfield Garage,AquiMod,21/06/1962,8.30223,
Greenfield Garage,AquiMod,22/06/1962,8.2754,
Greenfield Garage,AquiMod,23/06/1962,8.24893,
Greenfield Garage,AquiMod,24/06/1962,8.22281,
Greenfield Garage,AquiMod,25/06/1962,8.19703,
Greenfield Garage,AquiMod,26/06/1962,8.17158,
Greenfield Garage,AquiMod,27/06/1962,8.14645,
Greenfield Garage,AquiMod,28/06/1962,8.12164,
Greenfield Garage,AquiMod,29/06/1962,8.09715,
Greenfield Garage,AquiMod,30/06/1962,8.07295,
Greenfield Garage,AquiMod,01/07/1962,8.04905,
Greenfield Garage,AquiMod,02/07/1962,8.02544,
Greenfield Garage,AquiMod,03/07/1962,8.00211,
Greenfield Garage,AquiMod,04/07/1962,7.97906,
Greenfield Garage,AquiMod,05/07/1962,7.95628,
Greenfield Garage,AquiMod,06/07/1962,7.93377,
Greenfield Garage,AquiMod,07/07/1962,7.91152,
Greenfield Garage,AquiMod,08/07/1962,7.88952,
Greenfield Garage,AquiMod,09/07/1962,7.86776,
Greenfield Garage,AquiMod,10/07/1962,7.84626,
Greenfield Garage,AquiMod,11/07/1962,7.82499,
Greenfield Garage,AquiMod,12/07/1962,7.80395,
Greenfield Garage,AquiMod,13/07/1962,7.78314,
Greenfield Garage,AquiMod,14/07/1962,7.76256,
Greenfield Garage,AquiMod,15/07/1962,7.74219,
Greenfield Garage,AquiMod,16/07/1962,7.72204,
Greenfield Garage,AquiMod,17/07/1962,7.7021,
Greenfield Garage,AquiMod,18/07/1962,7.68237,
Greenfield Garage,AquiMod,19/07/1962,7.66284,
Greenfield Garage,AquiMod,20/07/1962,7.64351,
Greenfield Garage,AquiMod,21/07/1962,7.62437,
Greenfield Garage,AquiMod,22/07/1962,7.60542,
Greenfield Garage,AquiMod,23/07/1962,7.58665,
Greenfield Garage,AquiMod,24/07/1962,7.56807,
Greenfield Garage,AquiMod,25/07/1962,7.54967,
Greenfield Garage,AquiMod,26/07/1962,7.53145,
Greenfield Garage,AquiMod,27/07/1962,7.5134,
Greenfield Garage,AquiMod,28/07/1962,7.49552,
Greenfield Garage,AquiMod,29/07/1962,7.4778,
Greenfield Garage,AquiMod,30/07/1962,7.46025,
Greenfield Garage,AquiMod,31/07/1962,7.44285,
Greenfield Garage,AquiMod,01/08/1962,7.42561,
Greenfield Garage,AquiMod,02/08/1962,7.40853,
Greenfield Garage,AquiMod,03/08/1962,7.3916,
Greenfield Garage,AquiMod,04/08/1962,7.37481,
Greenfield Garage,AquiMod,05/08/1962,7.35818,
Greenfield Garage,AquiMod,06/08/1962,7.34168,
Greenfield Garage,AquiMod,07/08/1962,7.32532,
Greenfield Garage,AquiMod,08/08/1962,7.3091,
Greenfield Garage,AquiMod,09/08/1962,7.29302,
Greenfield Garage,AquiMod,10/08/1962,7.27707,
Greenfield Garage,AquiMod,11/08/1962,7.26125,
Greenfield Garage,AquiMod,12/08/1962,7.24556,
Greenfield Garage,AquiMod,13/08/1962,7.22999,
Greenfield Garage,AquiMod,14/08/1962,7.21455,
Greenfield Garage,AquiMod,15/08/1962,7.19922,
Greenfield Garage,AquiMod,16/08/1962,7.23551,
Greenfield Garage,AquiMod,17/08/1962,7.41745,
Greenfield Garage,AquiMod,18/08/1962,7.65302,
Greenfield Garage,AquiMod,19/08/1962,7.78089,
Greenfield Garage,AquiMod,20/08/1962,7.88915,
Greenfield Garage,AquiMod,21/08/1962,8.01129,
Greenfield Garage,AquiMod,22/08/1962,8.05522,
Greenfield Garage,AquiMod,23/08/1962,8.07768,
Greenfield Garage,AquiMod,24/08/1962,8.1949,
Greenfield Garage,AquiMod,25/08/1962,8.3501,
Greenfield Garage,AquiMod,26/08/1962,8.42312,
Greenfield Garage,AquiMod,27/08/1962,8.48329,
Greenfield Garage,AquiMod,28/08/1962,8.58954,
Greenfield Garage,AquiMod,29/08/1962,8.66717,
Greenfield Garage,AquiMod,30/08/1962,8.67354,
Greenfield Garage,AquiMod,31/08/1962,8.64602,
Greenfield Garage,AquiMod,01/09/1962,8.6143,
Greenfield Garage,AquiMod,02/09/1962,8.58306,
Greenfield Garage,AquiMod,03/09/1962,8.55229,
Greenfield Garage,AquiMod,04/09/1962,8.52892,
Greenfield Garage,AquiMod,05/09/1962,8.57919,
Greenfield Garage,AquiMod,06/09/1962,8.78802,
Greenfield Garage,AquiMod,07/09/1962,9.03284,
Greenfield Garage,AquiMod,08/09/1962,9.11965,
Greenfield Garage,AquiMod,09/09/1962,9.09722,
Greenfield Garage,AquiMod,10/09/1962,9.07273,
Greenfield Garage,AquiMod,11/09/1962,9.30196,
Greenfield Garage,AquiMod,12/09/1962,10.1448,
Greenfield Garage,AquiMod,13/09/1962,11.1624,
Greenfield Garage,AquiMod,14/09/1962,11.5716,
Greenfield Garage,AquiMod,15/09/1962,11.5438,
Greenfield Garage,AquiMod,16/09/1962,11.4472,
Greenfield Garage,AquiMod,17/09/1962,11.3532,
Greenfield Garage,AquiMod,18/09/1962,11.2619,
Greenfield Garage,AquiMod,19/09/1962,11.1733,
Greenfield Garage,AquiMod,20/09/1962,11.0871,
Greenfield Garage,AquiMod,21/09/1962,11.0034,
Greenfield Garage,AquiMod,22/09/1962,10.9219,
Greenfield Garage,AquiMod,23/09/1962,10.8426,
Greenfield Garage,AquiMod,24/09/1962,10.7654,
Greenfield Garage,AquiMod,25/09/1962,10.6903,
Greenfield Garage,AquiMod,26/09/1962,10.617,
Greenfield Garage,AquiMod,27/09/1962,10.5456,
Greenfield Garage,AquiMod,28/09/1962,10.476,
Greenfield Garage,AquiMod,29/09/1962,10.5675,
Greenfield Garage,AquiMod,30/09/1962,11.1759,
Greenfield Garage,AquiMod,01/10/1962,12.136,
Greenfield Garage,AquiMod,02/10/1962,12.5419,
Greenfield Garage,AquiMod,03/10/1962,12.5927,
Greenfield Garage,AquiMod,04/10/1962,12.5451,
Greenfield Garage,AquiMod,05/10/1962,12.485,
Greenfield Garage,AquiMod,06/10/1962,12.4262,
Greenfield Garage,AquiMod,07/10/1962,12.3666,
Greenfield Garage,AquiMod,08/10/1962,12.2592,
Greenfield Garage,AquiMod,09/10/1962,12.1397,
Greenfield Garage,AquiMod,10/10/1962,12.0241,
Greenfield Garage,AquiMod,11/10/1962,11.9123,
Greenfield Garage,AquiMod,12/10/1962,11.8041,
Greenfield Garage,AquiMod,13/10/1962,11.6993,
Greenfield Garage,AquiMod,14/10/1962,11.5977,
Greenfield Garage,AquiMod,15/10/1962,11.4992,
Greenfield Garage,AquiMod,16/10/1962,11.4036,
Greenfield Garage,AquiMod,17/10/1962,11.3109,
Greenfield Garage,AquiMod,18/10/1962,11.2208,
Greenfield Garage,AquiMod,19/10/1962,11.1334,
Greenfield Garage,AquiMod,20/10/1962,11.0483,
Greenfield Garage,AquiMod,21/10/1962,10.9656,
Greenfield Garage,AquiMod,22/10/1962,10.8852,
Greenfield Garage,AquiMod,23/10/1962,10.8068,
Greenfield Garage,AquiMod,24/10/1962,10.7306,
Greenfield Garage,AquiMod,25/10/1962,10.6563,
Greenfield Garage,AquiMod,26/10/1962,10.584,
Greenfield Garage,AquiMod,27/10/1962,10.5134,
Greenfield Garage,AquiMod,28/10/1962,10.4446,
Greenfield Garage,AquiMod,29/10/1962,10.3775,
Greenfield Garage,AquiMod,30/10/1962,10.312,
Greenfield Garage,AquiMod,31/10/1962,10.2542,
Greenfield Garage,AquiMod,01/11/1962,10.2514,
Greenfield Garage,AquiMod,02/11/1962,10.4099,
Greenfield Garage,AquiMod,03/11/1962,10.7555,
Greenfield Garage,AquiMod,04/11/1962,11.1796,
Greenfield Garage,AquiMod,05/11/1962,11.6279,
Greenfield Garage,AquiMod,06/11/1962,12.029,
Greenfield Garage,AquiMod,07/11/1962,12.3018,
Greenfield Garage,AquiMod,08/11/1962,12.4055,
Greenfield Garage,AquiMod,09/11/1962,12.403,
Greenfield Garage,AquiMod,10/11/1962,12.3485,
Greenfield Garage,AquiMod,11/11/1962,12.226,
Greenfield Garage,AquiMod,12/11/1962,12.1075,
Greenfield Garage,AquiMod,13/11/1962,11.993,
Greenfield Garage,AquiMod,14/11/1962,11.8822,
Greenfield Garage,AquiMod,15/11/1962,11.7749,
Greenfield Garage,AquiMod,16/11/1962,11.7204,
Greenfield Garage,AquiMod,17/11/1962,11.8787,
Greenfield Garage,AquiMod,18/11/1962,12.3125,
Greenfield Garage,AquiMod,19/11/1962,12.5552,
Greenfield Garage,AquiMod,20/11/1962,12.7082,
Greenfield Garage,AquiMod,21/11/1962,12.8759,
Greenfield Garage,AquiMod,22/11/1962,13.0476,
Greenfield Garage,AquiMod,23/11/1962,13.1271,
Greenfield Garage,AquiMod,24/11/1962,13.1355,
Greenfield Garage,AquiMod,25/11/1962,13.0937,
Greenfield Garage,AquiMod,26/11/1962,13.0233,
Greenfield Garage,AquiMod,27/11/1962,12.9436,
Greenfield Garage,AquiMod,28/11/1962,12.8632,
Greenfield Garage,AquiMod,29/11/1962,12.7866,
Greenfield Garage,AquiMod,30/11/1962,12.7139,
Greenfield Garage,AquiMod,01/12/1962,12.6445,
Greenfield Garage,AquiMod,02/12/1962,12.5777,
Greenfield Garage,AquiMod,03/12/1962,12.5131,
Greenfield Garage,AquiMod,04/12/1962,12.4502,
Greenfield Garage,AquiMod,05/12/1962,12.3885,
Greenfield Garage,AquiMod,06/12/1962,12.3028,
Greenfield Garage,AquiMod,07/12/1962,12.1818,
Greenfield Garage,AquiMod,08/12/1962,12.0764,
Greenfield Garage,AquiMod,09/12/1962,12.0285,
Greenfield Garage,AquiMod,10/12/1962,12.0824,
Greenfield Garage,AquiMod,11/12/1962,12.2484,
Greenfield Garage,AquiMod,12/12/1962,12.4517,
Greenfield Garage,AquiMod,13/12/1962,12.6774,
Greenfield Garage,AquiMod,14/12/1962,12.8756,
Greenfield Garage,AquiMod,15/12/1962,12.9295,
Greenfield Garage,AquiMod,16/12/1962,12.8788,
Greenfield Garage,AquiMod,17/12/1962,12.8038,
Greenfield Garage,AquiMod,18/12/1962,12.7303,
Greenfield Garage,AquiMod,19/12/1962,12.7069,
Greenfield Garage,AquiMod,20/12/1962,12.8193,
Greenfield Garage,AquiMod,21/12/1962,12.9823,
Greenfield Garage,AquiMod,22/12/1962,13.0154,
Greenfield Garage,AquiMod,23/12/1962,12.9489,
Greenfield Garage,AquiMod,24/12/1962,12.8678,
Greenfield Garage,AquiMod,25/12/1962,12.7909,
Greenfield Garage,AquiMod,26/12/1962,12.718,
Greenfield Garage,AquiMod,27/12/1962,12.6484,
Greenfield Garage,AquiMod,28/12/1962,12.5815,
Greenfield Garage,AquiMod,29/12/1962,12.5168,
Greenfield Garage,AquiMod,30/12/1962,12.4538,
Greenfield Garage,AquiMod,31/12/1962,12.3921,
