Borehole,Model,Date,Sim,Obs
Gretna,AquiMod,01/01/1962,39.9319,
Gretna,AquiMod,02/01/1962,39.9281,
Gretna,AquiMod,03/01/1962,39.9243,
Gretna,AquiMod,04/01/1962,39.9205,
Gretna,AquiMod,05/01/1962,39.9335,
Gretna,AquiMod,06/01/1962,39.9558,
Gretna,AquiMod,07/01/1962,39.9593,
Gretna,AquiMod,08/01/1962,39.977,
Gretna,AquiMod,09/01/1962,39.9852,
Gretna,AquiMod,10/01/1962,40.0093,
Gretna,AquiMod,11/01/1962,40.028,
Gretna,AquiMod,12/01/1962,40.04,
Gretna,AquiMod,13/01/1962,40.0484,
Gretna,AquiMod,14/01/1962,40.0476,
Gretna,AquiMod,15/01/1962,40.0717,
Gretna,AquiMod,16/01/1962,40.0832,
Gretna,AquiMod,17/01/1962,40.0807,
Gretna,AquiMod,18/01/1962,40.0872,
Gretna,AquiMod,19/01/1962,40.0871,
Gretna,AquiMod,20/01/1962,40.0861,
Gretna,AquiMod,21/01/1962,40.0863,
Gretna,AquiMod,22/01/1962,40.0989,
Gretna,AquiMod,23/01/1962,40.12,
Gretna,AquiMod,24/01/1962,40.1381,
Gretna,AquiMod,25/01/1962,40.1436,
Gretna,AquiMod,26/01/1962,40.1404,
Gretna,AquiMod,27/01/1962,40.1356,
Gretna,AquiMod,28/01/1962,40.1307,
Gretna,AquiMod,29/01/1962,40.1259,
Gretna,AquiMod,30/01/1962,40.1483,
Gretna,AquiMod,31/01/1962,40.1689,
Gretna,AquiMod,01/02/1962,40.1696,
Gretna,AquiMod,02/02/1962,40.1646,
Gretna,AquiMod,03/02/1962,40.1623,
Gretna,AquiMod,04/02/1962,40.1735,
Gretna,AquiMod,05/02/1962,40.1803,
Gretna,AquiMod,06/02/1962,40.1843,
Gretna,AquiMod,07/02/1962,40.1843,
Gretna,AquiMod,08/02/1962,40.1802,
Gretna,AquiMod,09/02/1962,40.1751,
Gretna,AquiMod,10/02/1962,40.1701,
Gretna,AquiMod,11/02/1962,40.2035,
Gretna,AquiMod,12/02/1962,40.2145,
Gretna,AquiMod,13/02/1962,40.2098,
Gretna,AquiMod,14/02/1962,40.2046,
Gretna,AquiMod,15/02/1962,40.2053,
Gretna,AquiMod,16/02/1962,40.2023,
Gretna,AquiMod,17/02/1962,40.1971,
Gretna,AquiMod,18/02/1962,40.1919,
Gretna,AquiMod,19/02/1962,40.1868,
Gretna,AquiMod,20/02/1962,40.1817,
Gretna,AquiMod,21/02/1962,40.1766,
Gretna,AquiMod,22/02/1962,40.1715,
Gretna,AquiMod,23/02/1962,40.1665,
Gretna,AquiMod,24/02/1962,40.1615,
Gretna,AquiMod,25/02/1962,40.1565,
Gretna,AquiMod,26/02/1962,40.1516,
Gretna,AquiMod,27/02/1962,40.1467,
Gretna,AquiMod,28/02/1962,40.1418,
Gretna,AquiMod,01/03/1962,40.1369,
Gretna,AquiMod,02/03/1962,40.132,
Gretna,AquiMod,03/03/1962,40.1272,
Gretna,AquiMod,04/03/1962,40.1224,
Gretna,AquiMod,05/03/1962,40.1177,
Gretna,AquiMod,06/03/1962,40.1129,
Gretna,AquiMod,07/03/1962,40.1082,
Gretna,AquiMod,08/03/1962,40.1035,
Gretna,AquiMod,09/03/1962,40.0988,
Gretna,AquiMod,10/03/1962,40.0942,
Gretna,AquiMod,11/03/1962,40.0896,
Gretna,AquiMod,12/03/1962,40.085,
Gretna,AquiMod,13/03/1962,40.0804,
Gretna,AquiMod,14/03/1962,40.0758,
Gretna,AquiMod,15/03/1962,40.0713,
Gretna,AquiMod,16/03/1962,40.0668,
Gretna,AquiMod,17/03/1962,40.0623,
Gretna,AquiMod,18/03/1962,40.0579,
Gretna,AquiMod,19/03/1962,40.0534,
Gretna,AquiMod,20/03/1962,40.049,
Gretna,AquiMod,21/03/1962,40.0446,
Gretna,AquiMod,22/03/1962,40.0402,
Gretna,AquiMod,23/03/1962,40.0359,
Gretna,AquiMod,24/03/1962,40.0316,
Gretna,AquiMod,25/03/1962,40.0314,
Gretna,AquiMod,26/03/1962,40.029,
Gretna,AquiMod,27/03/1962,40.0248,
