Borehole,Model,Date,Sim,Obs
Horkstow Road Barton,AquiMod,01/01/1962,3.41041,
Horkstow Road Barton,AquiMod,02/01/1962,3.40367,
Horkstow Road Barton,AquiMod,03/01/1962,3.40917,
Horkstow Road Barton,AquiMod,04/01/1962,3.4555,
Horkstow Road Barton,AquiMod,05/01/1962,3.5082,
Horkstow Road Barton,AquiMod,06/01/1962,3.55596,
Horkstow Road Barton,AquiMod,07/01/1962,3.59872,
Horkstow Road Barton,AquiMod,08/01/1962,3.6406,
Horkstow Road Barton,AquiMod,09/01/1962,3.68174,
Horkstow Road Barton,AquiMod,10/01/1962,3.72511,
Horkstow Road Barton,AquiMod,11/01/1962,3.77367,
Horkstow Road Barton,AquiMod,12/01/1962,3.81691,
Horkstow Road Barton,AquiMod,13/01/1962,3.86635,
Horkstow Road Barton,AquiMod,14/01/1962,3.91016,
Horkstow Road Barton,AquiMod,15/01/1962,3.95393,
Horkstow Road Barton,AquiMod,16/01/1962,3.99249,
Horkstow Road Barton,AquiMod,17/01/1962,4.02618,
Horkstow Road Barton,AquiMod,18/01/1962,4.06534,
Horkstow Road Barton,AquiMod,19/01/1962,4.09949,
Horkstow Road Barton,AquiMod,20/01/1962,4.13784,
Horkstow Road Barton,AquiMod,21/01/1962,4.18847,
Horkstow Road Barton,AquiMod,22/01/1962,4.23351,
Horkstow Road Barton,AquiMod,23/01/1962,4.27924,
Horkstow Road Barton,AquiMod,24/01/1962,4.31912,
Horkstow Road Barton,AquiMod,25/01/1962,4.35542,
Horkstow Road Barton,AquiMod,26/01/1962,4.38648,
Horkstow Road Barton,AquiMod,27/01/1962,4.41266,
Horkstow Road Barton,AquiMod,28/01/1962,4.43432,
Horkstow Road Barton,AquiMod,29/01/1962,4.45179,
Horkstow Road Barton,AquiMod,30/01/1962,4.48256,
Horkstow Road Barton,AquiMod,31/01/1962,4.50872,
Horkstow Road Barton,AquiMod,01/02/1962,4.5302,
Horkstow Road Barton,AquiMod,02/02/1962,4.54734,
Horkstow Road Barton,AquiMod,03/02/1962,4.5604,
Horkstow Road Barton,AquiMod,04/02/1962,4.56976,
Horkstow Road Barton,AquiMod,05/02/1962,4.57567,
Horkstow Road Barton,AquiMod,06/02/1962,4.57842,
Horkstow Road Barton,AquiMod,07/02/1962,4.57832,
Horkstow Road Barton,AquiMod,08/02/1962,4.5756,
Horkstow Road Barton,AquiMod,09/02/1962,4.57049,
Horkstow Road Barton,AquiMod,10/02/1962,4.56302,
Horkstow Road Barton,AquiMod,11/02/1962,4.55337,
Horkstow Road Barton,AquiMod,12/02/1962,4.54158,
Horkstow Road Barton,AquiMod,13/02/1962,4.52814,
Horkstow Road Barton,AquiMod,14/02/1962,4.51319,
Horkstow Road Barton,AquiMod,15/02/1962,4.49665,
Horkstow Road Barton,AquiMod,16/02/1962,4.47894,
Horkstow Road Barton,AquiMod,17/02/1962,4.4602,
Horkstow Road Barton,AquiMod,18/02/1962,4.44052,
Horkstow Road Barton,AquiMod,19/02/1962,4.42,
Horkstow Road Barton,AquiMod,20/02/1962,4.39872,
Horkstow Road Barton,AquiMod,21/02/1962,4.37678,
Horkstow Road Barton,AquiMod,22/02/1962,4.35424,
Horkstow Road Barton,AquiMod,23/02/1962,4.33117,
Horkstow Road Barton,AquiMod,24/02/1962,4.30764,
Horkstow Road Barton,AquiMod,25/02/1962,4.28369,
Horkstow Road Barton,AquiMod,26/02/1962,4.25939,
Horkstow Road Barton,AquiMod,27/02/1962,4.23478,
Horkstow Road Barton,AquiMod,28/02/1962,4.20991,
Horkstow Road Barton,AquiMod,01/03/1962,4.1848,
Horkstow Road Barton,AquiMod,02/03/1962,4.16541,
Horkstow Road Barton,AquiMod,03/03/1962,4.14539,
Horkstow Road Barton,AquiMod,04/03/1962,4.12481,
Horkstow Road Barton,AquiMod,05/03/1962,4.10373,
Horkstow Road Barton,AquiMod,06/03/1962,4.0822,
Horkstow Road Barton,AquiMod,07/03/1962,4.06028,
Horkstow Road Barton,AquiMod,08/03/1962,4.03778,
Horkstow Road Barton,AquiMod,09/03/1962,4.0143,
Horkstow Road Barton,AquiMod,10/03/1962,3.99043,
Horkstow Road Barton,AquiMod,11/03/1962,3.96639,
Horkstow Road Barton,AquiMod,12/03/1962,3.94221,
Horkstow Road Barton,AquiMod,13/03/1962,3.91786,
Horkstow Road Barton,AquiMod,14/03/1962,3.89334,
Horkstow Road Barton,AquiMod,15/03/1962,3.86865,
Horkstow Road Barton,AquiMod,16/03/1962,3.84375,
Horkstow Road Barton,AquiMod,17/03/1962,3.81883,
Horkstow Road Barton,AquiMod,18/03/1962,3.79372,
Horkstow Road Barton,AquiMod,19/03/1962,3.76862,
Horkstow Road Barton,AquiMod,20/03/1962,3.74346,
Horkstow Road Barton,AquiMod,21/03/1962,3.71834,
Horkstow Road Barton,AquiMod,22/03/1962,3.69325,
Horkstow Road Barton,AquiMod,23/03/1962,3.66805,
Horkstow Road Barton,AquiMod,24/03/1962,3.6429,
Horkstow Road Barton,AquiMod,25/03/1962,3.61768,
Horkstow Road Barton,AquiMod,26/03/1962,3.59224,
Horkstow Road Barton,AquiMod,27/03/1962,3.56689,
Horkstow Road Barton,AquiMod,28/03/1962,3.54152,
Horkstow Road Barton,AquiMod,29/03/1962,3.51625,
