Borehole,Model,Date,Sim,Obs
Houndean Bottom,AquiMod,01/01/1962,10.0626,
Houndean Bottom,AquiMod,02/01/1962,10.3138,
Houndean Bottom,AquiMod,03/01/1962,10.5402,
Houndean Bottom,AquiMod,04/01/1962,10.7728,
Houndean Bottom,AquiMod,05/01/1962,10.9868,
Houndean Bottom,AquiMod,06/01/1962,11.1805,
Houndean Bottom,AquiMod,07/01/1962,11.3528,
Houndean Bottom,AquiMod,08/01/1962,11.5097,
Houndean Bottom,AquiMod,09/01/1962,11.7633,
Houndean Bottom,AquiMod,10/01/1962,12.1325,
Houndean Bottom,AquiMod,11/01/1962,12.5026,
Houndean Bottom,AquiMod,12/01/1962,12.8425,
Houndean Bottom,AquiMod,13/01/1962,13.1476,
Houndean Bottom,AquiMod,14/01/1962,13.4201,
Houndean Bottom,AquiMod,15/01/1962,13.6921,
Houndean Bottom,AquiMod,16/01/1962,13.9338,
Houndean Bottom,AquiMod,17/01/1962,14.188,
Houndean Bottom,AquiMod,18/01/1962,14.4816,
Houndean Bottom,AquiMod,19/01/1962,14.76,
Houndean Bottom,AquiMod,20/01/1962,15.0749,
Houndean Bottom,AquiMod,21/01/1962,15.457,
Houndean Bottom,AquiMod,22/01/1962,15.7969,
Houndean Bottom,AquiMod,23/01/1962,16.1736,
Houndean Bottom,AquiMod,24/01/1962,16.524,
Houndean Bottom,AquiMod,25/01/1962,16.833,
Houndean Bottom,AquiMod,26/01/1962,17.1263,
Houndean Bottom,AquiMod,27/01/1962,17.3819,
Houndean Bottom,AquiMod,28/01/1962,17.6022,
Houndean Bottom,AquiMod,29/01/1962,17.7899,
Houndean Bottom,AquiMod,30/01/1962,17.9473,
Houndean Bottom,AquiMod,31/01/1962,18.1009,
Houndean Bottom,AquiMod,01/02/1962,18.2265,
Houndean Bottom,AquiMod,02/02/1962,18.3253,
Houndean Bottom,AquiMod,03/02/1962,18.4004,
Houndean Bottom,AquiMod,04/02/1962,18.4535,
Houndean Bottom,AquiMod,05/02/1962,18.4862,
Houndean Bottom,AquiMod,06/02/1962,18.4999,
Houndean Bottom,AquiMod,07/02/1962,18.5006,
Houndean Bottom,AquiMod,08/02/1962,18.4843,
Houndean Bottom,AquiMod,09/02/1962,18.4508,
Houndean Bottom,AquiMod,10/02/1962,18.4043,
Houndean Bottom,AquiMod,11/02/1962,18.3458,
Houndean Bottom,AquiMod,12/02/1962,18.3128,
Houndean Bottom,AquiMod,13/02/1962,18.2657,
Houndean Bottom,AquiMod,14/02/1962,18.2062,
Houndean Bottom,AquiMod,15/02/1962,18.1356,
Houndean Bottom,AquiMod,16/02/1962,18.0549,
Houndean Bottom,AquiMod,17/02/1962,17.9645,
Houndean Bottom,AquiMod,18/02/1962,17.8647,
Houndean Bottom,AquiMod,19/02/1962,17.7581,
Houndean Bottom,AquiMod,20/02/1962,17.6455,
Houndean Bottom,AquiMod,21/02/1962,17.5275,
