Borehole,Model,Date,Sim,Obs
Kings Somborne,AquiMod,01/01/1962,31.4259,
Kings Somborne,AquiMod,02/01/1962,31.4357,
Kings Somborne,AquiMod,03/01/1962,31.4447,
Kings Somborne,AquiMod,04/01/1962,31.4538,
Kings Somborne,AquiMod,05/01/1962,31.4622,
Kings Somborne,AquiMod,06/01/1962,31.4697,
Kings Somborne,AquiMod,07/01/1962,31.4766,
Kings Somborne,AquiMod,08/01/1962,31.4841,
Kings Somborne,AquiMod,09/01/1962,31.4952,
Kings Somborne,AquiMod,10/01/1962,31.5118,
Kings Somborne,AquiMod,11/01/1962,31.5315,
Kings Somborne,AquiMod,12/01/1962,31.5505,
Kings Somborne,AquiMod,13/01/1962,31.568,
Kings Somborne,AquiMod,14/01/1962,31.5841,
Kings Somborne,AquiMod,15/01/1962,31.6008,
Kings Somborne,AquiMod,16/01/1962,31.6173,
Kings Somborne,AquiMod,17/01/1962,31.6344,
Kings Somborne,AquiMod,18/01/1962,31.6526,
Kings Somborne,AquiMod,19/01/1962,31.6699,
Kings Somborne,AquiMod,20/01/1962,31.6894,
Kings Somborne,AquiMod,21/01/1962,31.7199,
Kings Somborne,AquiMod,22/01/1962,31.7485,
Kings Somborne,AquiMod,23/01/1962,31.7773,
Kings Somborne,AquiMod,24/01/1962,31.8048,
Kings Somborne,AquiMod,25/01/1962,31.8304,
Kings Somborne,AquiMod,26/01/1962,31.8547,
Kings Somborne,AquiMod,27/01/1962,31.8801,
Kings Somborne,AquiMod,28/01/1962,31.9034,
Kings Somborne,AquiMod,29/01/1962,31.925,
Kings Somborne,AquiMod,30/01/1962,31.9468,
Kings Somborne,AquiMod,31/01/1962,31.9686,
Kings Somborne,AquiMod,01/02/1962,31.9886,
Kings Somborne,AquiMod,02/02/1962,32.0069,
Kings Somborne,AquiMod,03/02/1962,32.0235,
Kings Somborne,AquiMod,04/02/1962,32.0388,
Kings Somborne,AquiMod,05/02/1962,32.0526,
Kings Somborne,AquiMod,06/02/1962,32.0658,
Kings Somborne,AquiMod,07/02/1962,32.0787,
Kings Somborne,AquiMod,08/02/1962,32.0902,
Kings Somborne,AquiMod,09/02/1962,32.1005,
Kings Somborne,AquiMod,10/02/1962,32.1096,
Kings Somborne,AquiMod,11/02/1962,32.1176,
