Borehole,Model,Date,Sim,Obs
Leasingham,AquiMod,01/01/1962,15.2853,
Leasingham,AquiMod,02/01/1962,15.2758,
Leasingham,AquiMod,03/01/1962,15.2649,
Leasingham,AquiMod,04/01/1962,15.2902,
Leasingham,AquiMod,05/01/1962,15.3879,
Leasingham,AquiMod,06/01/1962,15.4859,
Leasingham,AquiMod,07/01/1962,15.5757,
Leasingham,AquiMod,08/01/1962,15.6648,
Leasingham,AquiMod,09/01/1962,15.7509,
Leasingham,AquiMod,10/01/1962,15.8452,
Leasingham,AquiMod,11/01/1962,15.9409,
Leasingham,AquiMod,12/01/1962,16.0282,
Leasingham,AquiMod,13/01/1962,16.1078,
Leasingham,AquiMod,14/01/1962,16.18,
Leasingham,AquiMod,15/01/1962,16.2476,
Leasingham,AquiMod,16/01/1962,16.3078,
Leasingham,AquiMod,17/01/1962,16.3617,
Leasingham,AquiMod,18/01/1962,16.4176,
Leasingham,AquiMod,19/01/1962,16.4676,
Leasingham,AquiMod,20/01/1962,16.5221,
Leasingham,AquiMod,21/01/1962,16.607,
Leasingham,AquiMod,22/01/1962,16.6841,
Leasingham,AquiMod,23/01/1962,16.7604,
Leasingham,AquiMod,24/01/1962,16.8293,
Leasingham,AquiMod,25/01/1962,16.8913,
Leasingham,AquiMod,26/01/1962,16.9468,
Leasingham,AquiMod,27/01/1962,16.9961,
Leasingham,AquiMod,28/01/1962,17.0396,
Leasingham,AquiMod,29/01/1962,17.0778,
Leasingham,AquiMod,30/01/1962,17.1381,
Leasingham,AquiMod,31/01/1962,17.1953,
Leasingham,AquiMod,01/02/1962,17.2462,
Leasingham,AquiMod,02/02/1962,17.2911,
Leasingham,AquiMod,03/02/1962,17.3305,
Leasingham,AquiMod,04/02/1962,17.3663,
Leasingham,AquiMod,05/02/1962,17.3972,
Leasingham,AquiMod,06/02/1962,17.4227,
Leasingham,AquiMod,07/02/1962,17.5767,
Leasingham,AquiMod,08/02/1962,17.7108,
Leasingham,AquiMod,09/02/1962,17.8183,
Leasingham,AquiMod,10/02/1962,17.8999,
Leasingham,AquiMod,11/02/1962,17.9572,
Leasingham,AquiMod,12/02/1962,17.9925,
Leasingham,AquiMod,13/02/1962,18.0075,
Leasingham,AquiMod,14/02/1962,18.0058,
Leasingham,AquiMod,15/02/1962,17.9892,
Leasingham,AquiMod,16/02/1962,17.9606,
Leasingham,AquiMod,17/02/1962,17.9224,
Leasingham,AquiMod,18/02/1962,17.8761,
Leasingham,AquiMod,19/02/1962,17.8233,
Leasingham,AquiMod,20/02/1962,17.7646,
Leasingham,AquiMod,21/02/1962,17.7005,
Leasingham,AquiMod,22/02/1962,17.6316,
Leasingham,AquiMod,23/02/1962,17.5577,
Leasingham,AquiMod,24/02/1962,17.479,
Leasingham,AquiMod,25/02/1962,17.4177,
Leasingham,AquiMod,26/02/1962,17.3969,
Leasingham,AquiMod,27/02/1962,17.3747,
Leasingham,AquiMod,28/02/1962,17.3512,
Leasingham,AquiMod,01/03/1962,17.3265,
Leasingham,AquiMod,02/03/1962,17.3006,
Leasingham,AquiMod,03/03/1962,17.2738,
Leasingham,AquiMod,04/03/1962,17.246,
Leasingham,AquiMod,05/03/1962,17.2173,
Leasingham,AquiMod,06/03/1962,17.1878,
Leasingham,AquiMod,07/03/1962,17.1575,
Leasingham,AquiMod,08/03/1962,17.1266,
Leasingham,AquiMod,09/03/1962,17.095,
Leasingham,AquiMod,10/03/1962,17.0628,
Leasingham,AquiMod,11/03/1962,17.0301,
Leasingham,AquiMod,12/03/1962,16.9962,
Leasingham,AquiMod,13/03/1962,16.9608,
Leasingham,AquiMod,14/03/1962,16.9248,
Leasingham,AquiMod,15/03/1962,16.8887,
Leasingham,AquiMod,16/03/1962,16.8522,
Leasingham,AquiMod,17/03/1962,16.8154,
Leasingham,AquiMod,18/03/1962,16.7783,
Leasingham,AquiMod,19/03/1962,16.7408,
Leasingham,AquiMod,20/03/1962,16.7033,
Leasingham,AquiMod,21/03/1962,16.6657,
Leasingham,AquiMod,22/03/1962,16.628,
Leasingham,AquiMod,23/03/1962,16.5903,
Leasingham,AquiMod,24/03/1962,16.5526,
Leasingham,AquiMod,25/03/1962,16.5148,
Leasingham,AquiMod,26/03/1962,16.477,
Leasingham,AquiMod,27/03/1962,16.4391,
Leasingham,AquiMod,28/03/1962,16.4011,
Leasingham,AquiMod,29/03/1962,16.3626,
Leasingham,AquiMod,30/03/1962,16.3242,
Leasingham,AquiMod,31/03/1962,16.2858,
Leasingham,AquiMod,01/04/1962,16.2475,
Leasingham,AquiMod,02/04/1962,16.2094,
Leasingham,AquiMod,03/04/1962,16.1714,
Leasingham,AquiMod,04/04/1962,16.1335,
Leasingham,AquiMod,05/04/1962,16.0967,
Leasingham,AquiMod,06/04/1962,16.0599,
Leasingham,AquiMod,07/04/1962,16.0244,
Leasingham,AquiMod,08/04/1962,15.9889,
Leasingham,AquiMod,09/04/1962,15.9534,
Leasingham,AquiMod,10/04/1962,15.9179,
Leasingham,AquiMod,11/04/1962,15.8825,
Leasingham,AquiMod,12/04/1962,15.8471,
Leasingham,AquiMod,13/04/1962,15.8118,
Leasingham,AquiMod,14/04/1962,15.7766,
Leasingham,AquiMod,15/04/1962,15.7411,
Leasingham,AquiMod,16/04/1962,15.7109,
Leasingham,AquiMod,17/04/1962,15.6892,
Leasingham,AquiMod,18/04/1962,15.6691,
Leasingham,AquiMod,19/04/1962,15.6481,
Leasingham,AquiMod,20/04/1962,15.6264,
Leasingham,AquiMod,21/04/1962,15.638,
Leasingham,AquiMod,22/04/1962,15.6468,
Leasingham,AquiMod,23/04/1962,15.653,
Leasingham,AquiMod,24/04/1962,15.6567,
Leasingham,AquiMod,25/04/1962,15.6581,
Leasingham,AquiMod,26/04/1962,15.6572,
Leasingham,AquiMod,27/04/1962,15.6543,
Leasingham,AquiMod,28/04/1962,15.6494,
Leasingham,AquiMod,29/04/1962,15.6427,
Leasingham,AquiMod,30/04/1962,15.6343,
Leasingham,AquiMod,01/05/1962,15.6243,
Leasingham,AquiMod,02/05/1962,15.6128,
Leasingham,AquiMod,03/05/1962,15.5999,
Leasingham,AquiMod,04/05/1962,15.5857,
Leasingham,AquiMod,05/05/1962,15.5703,
Leasingham,AquiMod,06/05/1962,15.5538,
Leasingham,AquiMod,07/05/1962,15.5362,
Leasingham,AquiMod,08/05/1962,15.5176,
Leasingham,AquiMod,09/05/1962,15.498,
Leasingham,AquiMod,10/05/1962,15.4777,
Leasingham,AquiMod,11/05/1962,15.4565,
Leasingham,AquiMod,12/05/1962,15.4346,
Leasingham,AquiMod,13/05/1962,15.412,
Leasingham,AquiMod,14/05/1962,15.3888,
Leasingham,AquiMod,15/05/1962,15.365,
Leasingham,AquiMod,16/05/1962,15.3407,
Leasingham,AquiMod,17/05/1962,15.3158,
Leasingham,AquiMod,18/05/1962,15.2905,
Leasingham,AquiMod,19/05/1962,15.2648,
Leasingham,AquiMod,20/05/1962,15.2387,
Leasingham,AquiMod,21/05/1962,15.2122,
Leasingham,AquiMod,22/05/1962,15.1854,
Leasingham,AquiMod,23/05/1962,15.1583,
Leasingham,AquiMod,24/05/1962,15.1309,
Leasingham,AquiMod,25/05/1962,15.1033,
Leasingham,AquiMod,26/05/1962,15.0755,
Leasingham,AquiMod,27/05/1962,15.0474,
Leasingham,AquiMod,28/05/1962,15.0192,
Leasingham,AquiMod,29/05/1962,14.9908,
Leasingham,AquiMod,30/05/1962,14.9623,
Leasingham,AquiMod,31/05/1962,14.9336,
Leasingham,AquiMod,01/06/1962,14.9048,
Leasingham,AquiMod,02/06/1962,14.876,
Leasingham,AquiMod,03/06/1962,14.847,
Leasingham,AquiMod,04/06/1962,14.818,
Leasingham,AquiMod,05/06/1962,14.789,
Leasingham,AquiMod,06/06/1962,14.7599,
Leasingham,AquiMod,07/06/1962,14.7307,
Leasingham,AquiMod,08/06/1962,14.7015,
Leasingham,AquiMod,09/06/1962,14.6723,
Leasingham,AquiMod,10/06/1962,14.6432,
Leasingham,AquiMod,11/06/1962,14.6139,
Leasingham,AquiMod,12/06/1962,14.5848,
Leasingham,AquiMod,13/06/1962,14.5555,
Leasingham,AquiMod,14/06/1962,14.5264,
Leasingham,AquiMod,15/06/1962,14.4972,
Leasingham,AquiMod,16/06/1962,14.4681,
Leasingham,AquiMod,17/06/1962,14.439,
Leasingham,AquiMod,18/06/1962,14.41,
Leasingham,AquiMod,19/06/1962,14.381,
Leasingham,AquiMod,20/06/1962,14.3521,
Leasingham,AquiMod,21/06/1962,14.3233,
Leasingham,AquiMod,22/06/1962,14.2944,
Leasingham,AquiMod,23/06/1962,14.2654,
Leasingham,AquiMod,24/06/1962,14.2365,
Leasingham,AquiMod,25/06/1962,14.2077,
Leasingham,AquiMod,26/06/1962,14.179,
Leasingham,AquiMod,27/06/1962,14.1498,
Leasingham,AquiMod,28/06/1962,14.1207,
Leasingham,AquiMod,29/06/1962,14.0918,
Leasingham,AquiMod,30/06/1962,14.0629,
