Borehole,Model,Date,Sim,Obs
Lilley Bottom,AquiMod,01/01/1962,95.1101,
Lilley Bottom,AquiMod,02/01/1962,95.1097,
Lilley Bottom,AquiMod,03/01/1962,95.1093,
Lilley Bottom,AquiMod,04/01/1962,95.1094,
Lilley Bottom,AquiMod,05/01/1962,95.1103,
Lilley Bottom,AquiMod,06/01/1962,95.1113,
Lilley Bottom,AquiMod,07/01/1962,95.1123,
Lilley Bottom,AquiMod,08/01/1962,95.1136,
Lilley Bottom,AquiMod,09/01/1962,95.1153,
Lilley Bottom,AquiMod,10/01/1962,95.1178,
Lilley Bottom,AquiMod,11/01/1962,95.1211,
Lilley Bottom,AquiMod,12/01/1962,95.1247,
Lilley Bottom,AquiMod,13/01/1962,95.1285,
Lilley Bottom,AquiMod,14/01/1962,95.1324,
Lilley Bottom,AquiMod,15/01/1962,95.137,
Lilley Bottom,AquiMod,16/01/1962,95.142,
Lilley Bottom,AquiMod,17/01/1962,95.1477,
Lilley Bottom,AquiMod,18/01/1962,95.1538,
Lilley Bottom,AquiMod,19/01/1962,95.1602,
Lilley Bottom,AquiMod,20/01/1962,95.1671,
Lilley Bottom,AquiMod,21/01/1962,95.1754,
Lilley Bottom,AquiMod,22/01/1962,95.1842,
Lilley Bottom,AquiMod,23/01/1962,95.1935,
Lilley Bottom,AquiMod,24/01/1962,95.2032,
Lilley Bottom,AquiMod,25/01/1962,95.2132,
Lilley Bottom,AquiMod,26/01/1962,95.2233,
Lilley Bottom,AquiMod,27/01/1962,95.2334,
Lilley Bottom,AquiMod,28/01/1962,95.2436,
Lilley Bottom,AquiMod,29/01/1962,95.2538,
Lilley Bottom,AquiMod,30/01/1962,95.2639,
Lilley Bottom,AquiMod,31/01/1962,95.2745,
Lilley Bottom,AquiMod,01/02/1962,95.2852,
Lilley Bottom,AquiMod,02/02/1962,95.2961,
Lilley Bottom,AquiMod,03/02/1962,95.3069,
Lilley Bottom,AquiMod,04/02/1962,95.3178,
Lilley Bottom,AquiMod,05/02/1962,95.3287,
Lilley Bottom,AquiMod,06/02/1962,95.3397,
Lilley Bottom,AquiMod,07/02/1962,95.3509,
Lilley Bottom,AquiMod,08/02/1962,95.3621,
Lilley Bottom,AquiMod,09/02/1962,95.3732,
Lilley Bottom,AquiMod,10/02/1962,95.3842,
Lilley Bottom,AquiMod,11/02/1962,95.395,
Lilley Bottom,AquiMod,12/02/1962,95.406,
Lilley Bottom,AquiMod,13/02/1962,95.4169,
Lilley Bottom,AquiMod,14/02/1962,95.4276,
Lilley Bottom,AquiMod,15/02/1962,95.4382,
Lilley Bottom,AquiMod,16/02/1962,95.4487,
Lilley Bottom,AquiMod,17/02/1962,95.458,
Lilley Bottom,AquiMod,18/02/1962,95.4672,
Lilley Bottom,AquiMod,19/02/1962,95.4761,
Lilley Bottom,AquiMod,20/02/1962,95.4848,
Lilley Bottom,AquiMod,21/02/1962,95.4932,
Lilley Bottom,AquiMod,22/02/1962,95.5014,
Lilley Bottom,AquiMod,23/02/1962,95.5093,
Lilley Bottom,AquiMod,24/02/1962,95.517,
Lilley Bottom,AquiMod,25/02/1962,95.5244,
Lilley Bottom,AquiMod,26/02/1962,95.5315,
Lilley Bottom,AquiMod,27/02/1962,95.5383,
Lilley Bottom,AquiMod,28/02/1962,95.5448,
Lilley Bottom,AquiMod,01/03/1962,95.5512,
Lilley Bottom,AquiMod,02/03/1962,95.5573,
Lilley Bottom,AquiMod,03/03/1962,95.563,
Lilley Bottom,AquiMod,04/03/1962,95.5684,
Lilley Bottom,AquiMod,05/03/1962,95.5735,
Lilley Bottom,AquiMod,06/03/1962,95.5783,
Lilley Bottom,AquiMod,07/03/1962,95.583,
Lilley Bottom,AquiMod,08/03/1962,95.5876,
Lilley Bottom,AquiMod,09/03/1962,95.5921,
Lilley Bottom,AquiMod,10/03/1962,95.597,
Lilley Bottom,AquiMod,11/03/1962,95.6017,
Lilley Bottom,AquiMod,12/03/1962,95.6063,
Lilley Bottom,AquiMod,13/03/1962,95.6107,
Lilley Bottom,AquiMod,14/03/1962,95.6148,
Lilley Bottom,AquiMod,15/03/1962,95.6186,
Lilley Bottom,AquiMod,16/03/1962,95.6221,
Lilley Bottom,AquiMod,17/03/1962,95.6254,
Lilley Bottom,AquiMod,18/03/1962,95.6282,
Lilley Bottom,AquiMod,19/03/1962,95.6303,
Lilley Bottom,AquiMod,20/03/1962,95.632,
Lilley Bottom,AquiMod,21/03/1962,95.6334,
Lilley Bottom,AquiMod,22/03/1962,95.6342,
Lilley Bottom,AquiMod,23/03/1962,95.6347,
Lilley Bottom,AquiMod,24/03/1962,95.635,
Lilley Bottom,AquiMod,25/03/1962,95.6351,
Lilley Bottom,AquiMod,26/03/1962,95.635,
