Borehole,Model,Date,Sim,Obs
Nuttalls Farm,AquiMod,01/01/1962,129.965,
Nuttalls Farm,AquiMod,02/01/1962,129.959,
Nuttalls Farm,AquiMod,03/01/1962,129.953,
Nuttalls Farm,AquiMod,04/01/1962,129.947,
Nuttalls Farm,AquiMod,05/01/1962,129.941,
Nuttalls Farm,AquiMod,06/01/1962,129.935,
Nuttalls Farm,AquiMod,07/01/1962,129.93,
Nuttalls Farm,AquiMod,08/01/1962,129.924,
Nuttalls Farm,AquiMod,09/01/1962,129.919,
Nuttalls Farm,AquiMod,10/01/1962,129.914,
Nuttalls Farm,AquiMod,11/01/1962,129.909,
Nuttalls Farm,AquiMod,12/01/1962,129.904,
Nuttalls Farm,AquiMod,13/01/1962,129.899,
Nuttalls Farm,AquiMod,14/01/1962,129.894,
Nuttalls Farm,AquiMod,15/01/1962,129.889,
Nuttalls Farm,AquiMod,16/01/1962,129.884,
Nuttalls Farm,AquiMod,17/01/1962,129.879,
Nuttalls Farm,AquiMod,18/01/1962,129.874,
Nuttalls Farm,AquiMod,19/01/1962,129.87,
Nuttalls Farm,AquiMod,20/01/1962,129.865,
Nuttalls Farm,AquiMod,21/01/1962,129.861,
Nuttalls Farm,AquiMod,22/01/1962,129.857,
Nuttalls Farm,AquiMod,23/01/1962,129.853,
Nuttalls Farm,AquiMod,24/01/1962,129.849,
Nuttalls Farm,AquiMod,25/01/1962,129.845,
Nuttalls Farm,AquiMod,26/01/1962,129.841,
Nuttalls Farm,AquiMod,27/01/1962,129.837,
Nuttalls Farm,AquiMod,28/01/1962,129.834,
Nuttalls Farm,AquiMod,29/01/1962,129.83,
Nuttalls Farm,AquiMod,30/01/1962,129.826,
Nuttalls Farm,AquiMod,31/01/1962,129.823,
Nuttalls Farm,AquiMod,01/02/1962,129.82,
Nuttalls Farm,AquiMod,02/02/1962,129.816,
Nuttalls Farm,AquiMod,03/02/1962,129.813,
Nuttalls Farm,AquiMod,04/02/1962,129.81,
Nuttalls Farm,AquiMod,05/02/1962,129.807,
Nuttalls Farm,AquiMod,06/02/1962,129.803,
Nuttalls Farm,AquiMod,07/02/1962,129.8,
Nuttalls Farm,AquiMod,08/02/1962,129.797,
Nuttalls Farm,AquiMod,09/02/1962,129.794,
Nuttalls Farm,AquiMod,10/02/1962,129.791,
Nuttalls Farm,AquiMod,11/02/1962,129.788,
Nuttalls Farm,AquiMod,12/02/1962,129.785,
Nuttalls Farm,AquiMod,13/02/1962,129.783,
Nuttalls Farm,AquiMod,14/02/1962,129.78,
Nuttalls Farm,AquiMod,15/02/1962,129.777,
Nuttalls Farm,AquiMod,16/02/1962,129.775,
Nuttalls Farm,AquiMod,17/02/1962,129.772,
Nuttalls Farm,AquiMod,18/02/1962,129.77,
Nuttalls Farm,AquiMod,19/02/1962,129.767,
Nuttalls Farm,AquiMod,20/02/1962,129.765,
Nuttalls Farm,AquiMod,21/02/1962,129.762,
Nuttalls Farm,AquiMod,22/02/1962,129.76,
Nuttalls Farm,AquiMod,23/02/1962,129.758,
Nuttalls Farm,AquiMod,24/02/1962,129.755,
Nuttalls Farm,AquiMod,25/02/1962,129.753,
Nuttalls Farm,AquiMod,26/02/1962,129.751,
Nuttalls Farm,AquiMod,27/02/1962,129.748,
Nuttalls Farm,AquiMod,28/02/1962,129.746,
Nuttalls Farm,AquiMod,01/03/1962,129.744,
Nuttalls Farm,AquiMod,02/03/1962,129.742,
Nuttalls Farm,AquiMod,03/03/1962,129.739,
Nuttalls Farm,AquiMod,04/03/1962,129.737,
Nuttalls Farm,AquiMod,05/03/1962,129.735,
Nuttalls Farm,AquiMod,06/03/1962,129.732,
Nuttalls Farm,AquiMod,07/03/1962,129.73,
Nuttalls Farm,AquiMod,08/03/1962,129.728,
Nuttalls Farm,AquiMod,09/03/1962,129.726,
Nuttalls Farm,AquiMod,10/03/1962,129.724,
Nuttalls Farm,AquiMod,11/03/1962,129.721,
Nuttalls Farm,AquiMod,12/03/1962,129.719,
Nuttalls Farm,AquiMod,13/03/1962,129.717,
Nuttalls Farm,AquiMod,14/03/1962,129.715,
Nuttalls Farm,AquiMod,15/03/1962,129.712,
Nuttalls Farm,AquiMod,16/03/1962,129.71,
Nuttalls Farm,AquiMod,17/03/1962,129.708,
Nuttalls Farm,AquiMod,18/03/1962,129.706,
Nuttalls Farm,AquiMod,19/03/1962,129.704,
Nuttalls Farm,AquiMod,20/03/1962,129.701,
Nuttalls Farm,AquiMod,21/03/1962,129.699,
Nuttalls Farm,AquiMod,22/03/1962,129.697,
Nuttalls Farm,AquiMod,23/03/1962,129.695,
Nuttalls Farm,AquiMod,24/03/1962,129.692,
Nuttalls Farm,AquiMod,25/03/1962,129.69,
Nuttalls Farm,AquiMod,26/03/1962,129.688,
Nuttalls Farm,AquiMod,27/03/1962,129.686,
Nuttalls Farm,AquiMod,28/03/1962,129.683,
Nuttalls Farm,AquiMod,29/03/1962,129.681,
Nuttalls Farm,AquiMod,30/03/1962,129.679,
Nuttalls Farm,AquiMod,31/03/1962,129.676,
Nuttalls Farm,AquiMod,01/04/1962,129.674,
Nuttalls Farm,AquiMod,02/04/1962,129.671,
Nuttalls Farm,AquiMod,03/04/1962,129.669,
Nuttalls Farm,AquiMod,04/04/1962,129.666,
Nuttalls Farm,AquiMod,05/04/1962,129.663,
Nuttalls Farm,AquiMod,06/04/1962,129.66,
Nuttalls Farm,AquiMod,07/04/1962,129.658,
Nuttalls Farm,AquiMod,08/04/1962,129.655,
Nuttalls Farm,AquiMod,09/04/1962,129.652,
Nuttalls Farm,AquiMod,10/04/1962,129.649,
Nuttalls Farm,AquiMod,11/04/1962,129.647,
Nuttalls Farm,AquiMod,12/04/1962,129.644,
Nuttalls Farm,AquiMod,13/04/1962,129.641,
Nuttalls Farm,AquiMod,14/04/1962,129.638,
Nuttalls Farm,AquiMod,15/04/1962,129.635,
Nuttalls Farm,AquiMod,16/04/1962,129.633,
Nuttalls Farm,AquiMod,17/04/1962,129.63,
Nuttalls Farm,AquiMod,18/04/1962,129.627,
