Borehole,Model,Date,Sim,Obs
Pant Y Lladron,AquiMod,01/01/1962,65.5654,
Pant Y Lladron,AquiMod,02/01/1962,65.1779,
Pant Y Lladron,AquiMod,03/01/1962,64.8035,
Pant Y Lladron,AquiMod,04/01/1962,64.441,
Pant Y Lladron,AquiMod,05/01/1962,64.0898,
Pant Y Lladron,AquiMod,06/01/1962,63.8368,
Pant Y Lladron,AquiMod,07/01/1962,63.8323,
Pant Y Lladron,AquiMod,08/01/1962,64.1434,
Pant Y Lladron,AquiMod,09/01/1962,65.1754,
Pant Y Lladron,AquiMod,10/01/1962,67.6266,
Pant Y Lladron,AquiMod,11/01/1962,71.0212,
Pant Y Lladron,AquiMod,12/01/1962,73.6879,
Pant Y Lladron,AquiMod,13/01/1962,74.7501,
Pant Y Lladron,AquiMod,14/01/1962,74.6214,
Pant Y Lladron,AquiMod,15/01/1962,74.1281,
Pant Y Lladron,AquiMod,16/01/1962,73.8908,
Pant Y Lladron,AquiMod,17/01/1962,73.825,
Pant Y Lladron,AquiMod,18/01/1962,73.7867,
Pant Y Lladron,AquiMod,19/01/1962,74.2502,
Pant Y Lladron,AquiMod,20/01/1962,75.2933,
Pant Y Lladron,AquiMod,21/01/1962,76.4196,
Pant Y Lladron,AquiMod,22/01/1962,77.306,
Pant Y Lladron,AquiMod,23/01/1962,77.8561,
Pant Y Lladron,AquiMod,24/01/1962,78.3795,
Pant Y Lladron,AquiMod,25/01/1962,78.9077,
Pant Y Lladron,AquiMod,26/01/1962,78.993,
Pant Y Lladron,AquiMod,27/01/1962,78.8724,
Pant Y Lladron,AquiMod,28/01/1962,78.9044,
Pant Y Lladron,AquiMod,29/01/1962,78.7055,
Pant Y Lladron,AquiMod,30/01/1962,78.0342,
Pant Y Lladron,AquiMod,31/01/1962,77.2907,
Pant Y Lladron,AquiMod,01/02/1962,76.7759,
Pant Y Lladron,AquiMod,02/02/1962,76.3289,
Pant Y Lladron,AquiMod,03/02/1962,75.8695,
Pant Y Lladron,AquiMod,04/02/1962,75.7873,
Pant Y Lladron,AquiMod,05/02/1962,76.3821,
Pant Y Lladron,AquiMod,06/02/1962,77.175,
Pant Y Lladron,AquiMod,07/02/1962,77.4991,
Pant Y Lladron,AquiMod,08/02/1962,77.3423,
Pant Y Lladron,AquiMod,09/02/1962,76.8789,
Pant Y Lladron,AquiMod,10/02/1962,76.1264,
Pant Y Lladron,AquiMod,11/02/1962,75.3039,
Pant Y Lladron,AquiMod,12/02/1962,74.7383,
Pant Y Lladron,AquiMod,13/02/1962,74.4474,
Pant Y Lladron,AquiMod,14/02/1962,74.1051,
Pant Y Lladron,AquiMod,15/02/1962,73.5117,
Pant Y Lladron,AquiMod,16/02/1962,72.7826,
Pant Y Lladron,AquiMod,17/02/1962,72.0578,
Pant Y Lladron,AquiMod,18/02/1962,71.3724,
Pant Y Lladron,AquiMod,19/02/1962,70.7257,
Pant Y Lladron,AquiMod,20/02/1962,70.1138,
Pant Y Lladron,AquiMod,21/02/1962,69.5336,
Pant Y Lladron,AquiMod,22/02/1962,68.9821,
Pant Y Lladron,AquiMod,23/02/1962,68.4568,
Pant Y Lladron,AquiMod,24/02/1962,67.9554,
Pant Y Lladron,AquiMod,25/02/1962,67.4759,
Pant Y Lladron,AquiMod,26/02/1962,67.0166,
Pant Y Lladron,AquiMod,27/02/1962,66.5757,
Pant Y Lladron,AquiMod,28/02/1962,66.1519,
Pant Y Lladron,AquiMod,01/03/1962,65.7438,
Pant Y Lladron,AquiMod,02/03/1962,65.3502,
Pant Y Lladron,AquiMod,03/03/1962,64.97,
Pant Y Lladron,AquiMod,04/03/1962,64.6023,
Pant Y Lladron,AquiMod,05/03/1962,64.2461,
Pant Y Lladron,AquiMod,06/03/1962,63.9006,
Pant Y Lladron,AquiMod,07/03/1962,63.5651,
Pant Y Lladron,AquiMod,08/03/1962,63.2541,
Pant Y Lladron,AquiMod,09/03/1962,63.0201,
Pant Y Lladron,AquiMod,10/03/1962,62.8951,
Pant Y Lladron,AquiMod,11/03/1962,62.801,
Pant Y Lladron,AquiMod,12/03/1962,62.6286,
Pant Y Lladron,AquiMod,13/03/1962,62.3705,
Pant Y Lladron,AquiMod,14/03/1962,62.0811,
Pant Y Lladron,AquiMod,15/03/1962,61.8306,
Pant Y Lladron,AquiMod,16/03/1962,61.6816,
Pant Y Lladron,AquiMod,17/03/1962,61.5785,
Pant Y Lladron,AquiMod,18/03/1962,61.4029,
Pant Y Lladron,AquiMod,19/03/1962,61.151,
Pant Y Lladron,AquiMod,20/03/1962,60.8814,
Pant Y Lladron,AquiMod,21/03/1962,60.6146,
Pant Y Lladron,AquiMod,22/03/1962,60.3523,
Pant Y Lladron,AquiMod,23/03/1962,60.0942,
Pant Y Lladron,AquiMod,24/03/1962,59.84,
Pant Y Lladron,AquiMod,25/03/1962,59.5893,
Pant Y Lladron,AquiMod,26/03/1962,59.3419,
Pant Y Lladron,AquiMod,27/03/1962,59.0975,
Pant Y Lladron,AquiMod,28/03/1962,59.4825,
Pant Y Lladron,AquiMod,29/03/1962,61.4048,
Pant Y Lladron,AquiMod,30/03/1962,64.0107,
Pant Y Lladron,AquiMod,31/03/1962,65.4906,
Pant Y Lladron,AquiMod,01/04/1962,65.8427,
Pant Y Lladron,AquiMod,02/04/1962,66.0308,
Pant Y Lladron,AquiMod,03/04/1962,66.4501,
Pant Y Lladron,AquiMod,04/04/1962,67.1913,
Pant Y Lladron,AquiMod,05/04/1962,68.1613,
Pant Y Lladron,AquiMod,06/04/1962,68.9366,
Pant Y Lladron,AquiMod,07/04/1962,69.2966,
Pant Y Lladron,AquiMod,08/04/1962,69.7378,
Pant Y Lladron,AquiMod,09/04/1962,70.3249,
Pant Y Lladron,AquiMod,10/04/1962,70.4667,
Pant Y Lladron,AquiMod,11/04/1962,70.1533,
Pant Y Lladron,AquiMod,12/04/1962,69.715,
Pant Y Lladron,AquiMod,13/04/1962,69.2263,
Pant Y Lladron,AquiMod,14/04/1962,68.7061,
Pant Y Lladron,AquiMod,15/04/1962,68.1948,
Pant Y Lladron,AquiMod,16/04/1962,67.705,
Pant Y Lladron,AquiMod,17/04/1962,67.2361,
Pant Y Lladron,AquiMod,18/04/1962,66.7865,
Pant Y Lladron,AquiMod,19/04/1962,66.3546,
Pant Y Lladron,AquiMod,20/04/1962,66.0352,
Pant Y Lladron,AquiMod,21/04/1962,66.0334,
Pant Y Lladron,AquiMod,22/04/1962,66.3078,
Pant Y Lladron,AquiMod,23/04/1962,66.4657,
Pant Y Lladron,AquiMod,24/04/1962,66.2903,
Pant Y Lladron,AquiMod,25/04/1962,65.9251,
Pant Y Lladron,AquiMod,26/04/1962,65.5286,
Pant Y Lladron,AquiMod,27/04/1962,65.1424,
Pant Y Lladron,AquiMod,28/04/1962,64.7691,
Pant Y Lladron,AquiMod,29/04/1962,64.4077,
Pant Y Lladron,AquiMod,30/04/1962,64.0574,
Pant Y Lladron,AquiMod,01/05/1962,63.7175,
Pant Y Lladron,AquiMod,02/05/1962,63.3871,
Pant Y Lladron,AquiMod,03/05/1962,63.0656,
Pant Y Lladron,AquiMod,04/05/1962,62.7523,
Pant Y Lladron,AquiMod,05/05/1962,62.4468,
Pant Y Lladron,AquiMod,06/05/1962,62.1485,
Pant Y Lladron,AquiMod,07/05/1962,61.8569,
Pant Y Lladron,AquiMod,08/05/1962,61.5715,
Pant Y Lladron,AquiMod,09/05/1962,61.2919,
Pant Y Lladron,AquiMod,10/05/1962,61.0177,
Pant Y Lladron,AquiMod,11/05/1962,60.7485,
Pant Y Lladron,AquiMod,12/05/1962,60.484,
Pant Y Lladron,AquiMod,13/05/1962,60.2238,
Pant Y Lladron,AquiMod,14/05/1962,59.9677,
Pant Y Lladron,AquiMod,15/05/1962,59.7152,
Pant Y Lladron,AquiMod,16/05/1962,59.4662,
Pant Y Lladron,AquiMod,17/05/1962,59.2203,
Pant Y Lladron,AquiMod,18/05/1962,58.9774,
Pant Y Lladron,AquiMod,19/05/1962,58.7371,
Pant Y Lladron,AquiMod,20/05/1962,58.4992,
Pant Y Lladron,AquiMod,21/05/1962,58.2634,
Pant Y Lladron,AquiMod,22/05/1962,58.0297,
Pant Y Lladron,AquiMod,23/05/1962,57.7977,
Pant Y Lladron,AquiMod,24/05/1962,57.5672,
Pant Y Lladron,AquiMod,25/05/1962,57.3381,
Pant Y Lladron,AquiMod,26/05/1962,57.2186,
Pant Y Lladron,AquiMod,27/05/1962,57.1164,
Pant Y Lladron,AquiMod,28/05/1962,57.0144,
Pant Y Lladron,AquiMod,29/05/1962,56.9127,
Pant Y Lladron,AquiMod,30/05/1962,56.8112,
Pant Y Lladron,AquiMod,31/05/1962,56.7099,
Pant Y Lladron,AquiMod,01/06/1962,56.6088,
Pant Y Lladron,AquiMod,02/06/1962,56.508,
Pant Y Lladron,AquiMod,03/06/1962,56.4074,
Pant Y Lladron,AquiMod,04/06/1962,56.307,
Pant Y Lladron,AquiMod,05/06/1962,56.2068,
Pant Y Lladron,AquiMod,06/06/1962,56.1069,
Pant Y Lladron,AquiMod,07/06/1962,56.0072,
Pant Y Lladron,AquiMod,08/06/1962,55.9077,
Pant Y Lladron,AquiMod,09/06/1962,55.8084,
Pant Y Lladron,AquiMod,10/06/1962,55.7094,
Pant Y Lladron,AquiMod,11/06/1962,55.6105,
Pant Y Lladron,AquiMod,12/06/1962,55.5119,
Pant Y Lladron,AquiMod,13/06/1962,55.4135,
Pant Y Lladron,AquiMod,14/06/1962,55.3153,
Pant Y Lladron,AquiMod,15/06/1962,55.2173,
Pant Y Lladron,AquiMod,16/06/1962,55.1196,
Pant Y Lladron,AquiMod,17/06/1962,55.022,
Pant Y Lladron,AquiMod,18/06/1962,54.9247,
Pant Y Lladron,AquiMod,19/06/1962,54.8275,
Pant Y Lladron,AquiMod,20/06/1962,54.7679,
Pant Y Lladron,AquiMod,21/06/1962,54.8005,
Pant Y Lladron,AquiMod,22/06/1962,54.8738,
Pant Y Lladron,AquiMod,23/06/1962,54.876,
Pant Y Lladron,AquiMod,24/06/1962,54.8022,
Pant Y Lladron,AquiMod,25/06/1962,54.7071,
Pant Y Lladron,AquiMod,26/06/1962,54.6105,
Pant Y Lladron,AquiMod,27/06/1962,54.514,
Pant Y Lladron,AquiMod,28/06/1962,54.4177,
Pant Y Lladron,AquiMod,29/06/1962,54.3216,
Pant Y Lladron,AquiMod,30/06/1962,54.2258,
Pant Y Lladron,AquiMod,01/07/1962,54.1301,
Pant Y Lladron,AquiMod,02/07/1962,54.0346,
Pant Y Lladron,AquiMod,03/07/1962,53.9394,
Pant Y Lladron,AquiMod,04/07/1962,53.8443,
Pant Y Lladron,AquiMod,05/07/1962,53.7494,
Pant Y Lladron,AquiMod,06/07/1962,53.6548,
Pant Y Lladron,AquiMod,07/07/1962,53.5603,
Pant Y Lladron,AquiMod,08/07/1962,53.466,
Pant Y Lladron,AquiMod,09/07/1962,53.3719,
Pant Y Lladron,AquiMod,10/07/1962,53.278,
Pant Y Lladron,AquiMod,11/07/1962,53.1842,
Pant Y Lladron,AquiMod,12/07/1962,53.0907,
Pant Y Lladron,AquiMod,13/07/1962,52.9974,
Pant Y Lladron,AquiMod,14/07/1962,52.9042,
Pant Y Lladron,AquiMod,15/07/1962,52.8112,
Pant Y Lladron,AquiMod,16/07/1962,52.7185,
Pant Y Lladron,AquiMod,17/07/1962,52.6259,
Pant Y Lladron,AquiMod,18/07/1962,52.5334,
Pant Y Lladron,AquiMod,19/07/1962,52.4412,
Pant Y Lladron,AquiMod,20/07/1962,52.3491,
Pant Y Lladron,AquiMod,21/07/1962,52.2573,
Pant Y Lladron,AquiMod,22/07/1962,52.1656,
Pant Y Lladron,AquiMod,23/07/1962,52.0741,
Pant Y Lladron,AquiMod,24/07/1962,51.9827,
Pant Y Lladron,AquiMod,25/07/1962,51.8916,
Pant Y Lladron,AquiMod,26/07/1962,51.8006,
Pant Y Lladron,AquiMod,27/07/1962,51.7098,
Pant Y Lladron,AquiMod,28/07/1962,51.6191,
Pant Y Lladron,AquiMod,29/07/1962,51.5287,
Pant Y Lladron,AquiMod,30/07/1962,51.4384,
Pant Y Lladron,AquiMod,31/07/1962,51.3482,
Pant Y Lladron,AquiMod,01/08/1962,51.2583,
Pant Y Lladron,AquiMod,02/08/1962,51.1685,
Pant Y Lladron,AquiMod,03/08/1962,51.1039,
Pant Y Lladron,AquiMod,04/08/1962,51.1008,
Pant Y Lladron,AquiMod,05/08/1962,51.1251,
Pant Y Lladron,AquiMod,06/08/1962,51.2483,
Pant Y Lladron,AquiMod,07/08/1962,51.6809,
Pant Y Lladron,AquiMod,08/08/1962,52.2587,
Pant Y Lladron,AquiMod,09/08/1962,52.5597,
Pant Y Lladron,AquiMod,10/08/1962,52.5722,
