Borehole,Model,Date,Sim,Obs
Prebendal Farm,AquiMod,01/01/1962,141.089,
Prebendal Farm,AquiMod,02/01/1962,141.017,
Prebendal Farm,AquiMod,03/01/1962,140.945,
Prebendal Farm,AquiMod,04/01/1962,140.874,
Prebendal Farm,AquiMod,05/01/1962,140.804,
Prebendal Farm,AquiMod,06/01/1962,140.736,
Prebendal Farm,AquiMod,07/01/1962,140.673,
Prebendal Farm,AquiMod,08/01/1962,140.648,
Prebendal Farm,AquiMod,09/01/1962,140.766,
Prebendal Farm,AquiMod,10/01/1962,141.287,
Prebendal Farm,AquiMod,11/01/1962,142.238,
Prebendal Farm,AquiMod,12/01/1962,143.606,
Prebendal Farm,AquiMod,13/01/1962,145.102,
Prebendal Farm,AquiMod,14/01/1962,146.133,
Prebendal Farm,AquiMod,15/01/1962,146.899,
Prebendal Farm,AquiMod,16/01/1962,147.752,
Prebendal Farm,AquiMod,17/01/1962,148.53,
Prebendal Farm,AquiMod,18/01/1962,148.964,
Prebendal Farm,AquiMod,19/01/1962,149.042,
Prebendal Farm,AquiMod,20/01/1962,149.032,
Prebendal Farm,AquiMod,21/01/1962,149.143,
Prebendal Farm,AquiMod,22/01/1962,149.352,
Prebendal Farm,AquiMod,23/01/1962,149.518,
Prebendal Farm,AquiMod,24/01/1962,149.653,
Prebendal Farm,AquiMod,25/01/1962,149.886,
Prebendal Farm,AquiMod,26/01/1962,150.285,
Prebendal Farm,AquiMod,27/01/1962,150.89,
Prebendal Farm,AquiMod,28/01/1962,151.496,
Prebendal Farm,AquiMod,29/01/1962,151.776,
Prebendal Farm,AquiMod,30/01/1962,151.816,
Prebendal Farm,AquiMod,31/01/1962,151.773,
Prebendal Farm,AquiMod,01/02/1962,151.661,
Prebendal Farm,AquiMod,02/02/1962,151.533,
Prebendal Farm,AquiMod,03/02/1962,151.39,
Prebendal Farm,AquiMod,04/02/1962,151.231,
Prebendal Farm,AquiMod,05/02/1962,151.129,
Prebendal Farm,AquiMod,06/02/1962,151.144,
Prebendal Farm,AquiMod,07/02/1962,151.198,
Prebendal Farm,AquiMod,08/02/1962,151.114,
Prebendal Farm,AquiMod,09/02/1962,150.916,
Prebendal Farm,AquiMod,10/02/1962,150.721,
Prebendal Farm,AquiMod,11/02/1962,150.548,
Prebendal Farm,AquiMod,12/02/1962,150.392,
Prebendal Farm,AquiMod,13/02/1962,150.241,
Prebendal Farm,AquiMod,14/02/1962,150.072,
Prebendal Farm,AquiMod,15/02/1962,149.887,
Prebendal Farm,AquiMod,16/02/1962,149.709,
Prebendal Farm,AquiMod,17/02/1962,149.556,
Prebendal Farm,AquiMod,18/02/1962,149.436,
Prebendal Farm,AquiMod,19/02/1962,149.33,
Prebendal Farm,AquiMod,20/02/1962,149.19,
Prebendal Farm,AquiMod,21/02/1962,149.025,
Prebendal Farm,AquiMod,22/02/1962,148.859,
Prebendal Farm,AquiMod,23/02/1962,148.699,
Prebendal Farm,AquiMod,24/02/1962,148.542,
Prebendal Farm,AquiMod,25/02/1962,148.39,
Prebendal Farm,AquiMod,26/02/1962,148.242,
Prebendal Farm,AquiMod,27/02/1962,148.097,
Prebendal Farm,AquiMod,28/02/1962,147.956,
Prebendal Farm,AquiMod,01/03/1962,147.819,
Prebendal Farm,AquiMod,02/03/1962,147.685,
Prebendal Farm,AquiMod,03/03/1962,147.554,
Prebendal Farm,AquiMod,04/03/1962,147.426,
Prebendal Farm,AquiMod,05/03/1962,147.301,
Prebendal Farm,AquiMod,06/03/1962,147.179,
Prebendal Farm,AquiMod,07/03/1962,147.06,
Prebendal Farm,AquiMod,08/03/1962,146.943,
Prebendal Farm,AquiMod,09/03/1962,146.828,
Prebendal Farm,AquiMod,10/03/1962,146.716,
Prebendal Farm,AquiMod,11/03/1962,146.607,
Prebendal Farm,AquiMod,12/03/1962,146.499,
Prebendal Farm,AquiMod,13/03/1962,146.394,
Prebendal Farm,AquiMod,14/03/1962,146.291,
Prebendal Farm,AquiMod,15/03/1962,146.19,
Prebendal Farm,AquiMod,16/03/1962,146.09,
Prebendal Farm,AquiMod,17/03/1962,145.993,
Prebendal Farm,AquiMod,18/03/1962,145.897,
Prebendal Farm,AquiMod,19/03/1962,145.803,
Prebendal Farm,AquiMod,20/03/1962,145.711,
Prebendal Farm,AquiMod,21/03/1962,145.62,
Prebendal Farm,AquiMod,22/03/1962,145.531,
Prebendal Farm,AquiMod,23/03/1962,145.443,
Prebendal Farm,AquiMod,24/03/1962,145.356,
Prebendal Farm,AquiMod,25/03/1962,145.272,
Prebendal Farm,AquiMod,26/03/1962,145.188,
Prebendal Farm,AquiMod,27/03/1962,145.106,
Prebendal Farm,AquiMod,28/03/1962,145.025,
Prebendal Farm,AquiMod,29/03/1962,144.945,
Prebendal Farm,AquiMod,30/03/1962,144.866,
Prebendal Farm,AquiMod,31/03/1962,144.789,
Prebendal Farm,AquiMod,01/04/1962,144.712,
Prebendal Farm,AquiMod,02/04/1962,144.637,
Prebendal Farm,AquiMod,03/04/1962,144.563,
Prebendal Farm,AquiMod,04/04/1962,144.49,
Prebendal Farm,AquiMod,05/04/1962,144.417,
Prebendal Farm,AquiMod,06/04/1962,144.347,
Prebendal Farm,AquiMod,07/04/1962,144.283,
Prebendal Farm,AquiMod,08/04/1962,144.236,
Prebendal Farm,AquiMod,09/04/1962,144.232,
Prebendal Farm,AquiMod,10/04/1962,144.293,
Prebendal Farm,AquiMod,11/04/1962,144.402,
Prebendal Farm,AquiMod,12/04/1962,144.501,
Prebendal Farm,AquiMod,13/04/1962,144.632,
Prebendal Farm,AquiMod,14/04/1962,144.84,
Prebendal Farm,AquiMod,15/04/1962,145.023,
Prebendal Farm,AquiMod,16/04/1962,145.054,
Prebendal Farm,AquiMod,17/04/1962,144.986,
Prebendal Farm,AquiMod,18/04/1962,144.907,
