Borehole,Model,Date,Sim,Obs
Racks Moss,AquiMod,01/01/1962,10.6591,
Racks Moss,AquiMod,02/01/1962,10.6554,
Racks Moss,AquiMod,03/01/1962,10.6516,
Racks Moss,AquiMod,04/01/1962,10.6479,
Racks Moss,AquiMod,05/01/1962,10.6508,
Racks Moss,AquiMod,06/01/1962,10.6684,
Racks Moss,AquiMod,07/01/1962,10.6669,
Racks Moss,AquiMod,08/01/1962,10.6909,
Racks Moss,AquiMod,09/01/1962,10.6924,
Racks Moss,AquiMod,10/01/1962,10.7126,
Racks Moss,AquiMod,11/01/1962,10.736,
Racks Moss,AquiMod,12/01/1962,10.7501,
Racks Moss,AquiMod,13/01/1962,10.7554,
Racks Moss,AquiMod,14/01/1962,10.7532,
Racks Moss,AquiMod,15/01/1962,10.8086,
Racks Moss,AquiMod,16/01/1962,10.8193,
Racks Moss,AquiMod,17/01/1962,10.8154,
Racks Moss,AquiMod,18/01/1962,10.8242,
Racks Moss,AquiMod,19/01/1962,10.821,
Racks Moss,AquiMod,20/01/1962,10.8217,
Racks Moss,AquiMod,21/01/1962,10.8198,
Racks Moss,AquiMod,22/01/1962,10.8354,
Racks Moss,AquiMod,23/01/1962,10.8503,
Racks Moss,AquiMod,24/01/1962,10.861,
Racks Moss,AquiMod,25/01/1962,10.8597,
Racks Moss,AquiMod,26/01/1962,10.8549,
Racks Moss,AquiMod,27/01/1962,10.8499,
Racks Moss,AquiMod,28/01/1962,10.8449,
Racks Moss,AquiMod,29/01/1962,10.84,
Racks Moss,AquiMod,30/01/1962,10.8568,
Racks Moss,AquiMod,31/01/1962,10.8616,
Racks Moss,AquiMod,01/02/1962,10.8574,
Racks Moss,AquiMod,02/02/1962,10.8524,
Racks Moss,AquiMod,03/02/1962,10.8501,
Racks Moss,AquiMod,04/02/1962,10.8602,
Racks Moss,AquiMod,05/02/1962,10.862,
Racks Moss,AquiMod,06/02/1962,10.8678,
Racks Moss,AquiMod,07/02/1962,10.8644,
Racks Moss,AquiMod,08/02/1962,10.8596,
Racks Moss,AquiMod,09/02/1962,10.8546,
Racks Moss,AquiMod,10/02/1962,10.8496,
Racks Moss,AquiMod,11/02/1962,10.8795,
Racks Moss,AquiMod,12/02/1962,10.8802,
Racks Moss,AquiMod,13/02/1962,10.8753,
Racks Moss,AquiMod,14/02/1962,10.8701,
Racks Moss,AquiMod,15/02/1962,10.8686,
Racks Moss,AquiMod,16/02/1962,10.8638,
Racks Moss,AquiMod,17/02/1962,10.8588,
Racks Moss,AquiMod,18/02/1962,10.8537,
Racks Moss,AquiMod,19/02/1962,10.8487,
Racks Moss,AquiMod,20/02/1962,10.8437,
Racks Moss,AquiMod,21/02/1962,10.8388,
Racks Moss,AquiMod,22/02/1962,10.8339,
Racks Moss,AquiMod,23/02/1962,10.829,
Racks Moss,AquiMod,24/02/1962,10.8242,
Racks Moss,AquiMod,25/02/1962,10.8193,
Racks Moss,AquiMod,26/02/1962,10.8146,
Racks Moss,AquiMod,27/02/1962,10.8098,
Racks Moss,AquiMod,28/02/1962,10.8051,
Racks Moss,AquiMod,01/03/1962,10.8004,
Racks Moss,AquiMod,02/03/1962,10.7958,
Racks Moss,AquiMod,03/03/1962,10.7912,
Racks Moss,AquiMod,04/03/1962,10.7866,
Racks Moss,AquiMod,05/03/1962,10.782,
Racks Moss,AquiMod,06/03/1962,10.7775,
Racks Moss,AquiMod,07/03/1962,10.773,
Racks Moss,AquiMod,08/03/1962,10.7685,
Racks Moss,AquiMod,09/03/1962,10.7641,
Racks Moss,AquiMod,10/03/1962,10.7597,
Racks Moss,AquiMod,11/03/1962,10.7553,
Racks Moss,AquiMod,12/03/1962,10.7509,
Racks Moss,AquiMod,13/03/1962,10.7466,
Racks Moss,AquiMod,14/03/1962,10.7423,
Racks Moss,AquiMod,15/03/1962,10.738,
Racks Moss,AquiMod,16/03/1962,10.7338,
Racks Moss,AquiMod,17/03/1962,10.7296,
Racks Moss,AquiMod,18/03/1962,10.7254,
Racks Moss,AquiMod,19/03/1962,10.7212,
Racks Moss,AquiMod,20/03/1962,10.7171,
Racks Moss,AquiMod,21/03/1962,10.713,
Racks Moss,AquiMod,22/03/1962,10.7089,
Racks Moss,AquiMod,23/03/1962,10.7048,
Racks Moss,AquiMod,24/03/1962,10.7008,
Racks Moss,AquiMod,25/03/1962,10.6968,
Racks Moss,AquiMod,26/03/1962,10.6928,
Racks Moss,AquiMod,27/03/1962,10.6888,
Racks Moss,AquiMod,28/03/1962,10.6849,
Racks Moss,AquiMod,29/03/1962,10.6858,
Racks Moss,AquiMod,30/03/1962,10.6825,
Racks Moss,AquiMod,31/03/1962,10.685,
Racks Moss,AquiMod,01/04/1962,10.6883,
Racks Moss,AquiMod,02/04/1962,10.713,
Racks Moss,AquiMod,03/04/1962,10.7161,
Racks Moss,AquiMod,04/04/1962,10.7203,
Racks Moss,AquiMod,05/04/1962,10.717,
Racks Moss,AquiMod,06/04/1962,10.7314,
Racks Moss,AquiMod,07/04/1962,10.7293,
Racks Moss,AquiMod,08/04/1962,10.7292,
Racks Moss,AquiMod,09/04/1962,10.7257,
Racks Moss,AquiMod,10/04/1962,10.7216,
Racks Moss,AquiMod,11/04/1962,10.7175,
Racks Moss,AquiMod,12/04/1962,10.7133,
Racks Moss,AquiMod,13/04/1962,10.7093,
Racks Moss,AquiMod,14/04/1962,10.7052,
Racks Moss,AquiMod,15/04/1962,10.7012,
Racks Moss,AquiMod,16/04/1962,10.6971,
Racks Moss,AquiMod,17/04/1962,10.6932,
Racks Moss,AquiMod,18/04/1962,10.6892,
Racks Moss,AquiMod,19/04/1962,10.6852,
Racks Moss,AquiMod,20/04/1962,10.6813,
Racks Moss,AquiMod,21/04/1962,10.6774,
Racks Moss,AquiMod,22/04/1962,10.6736,
Racks Moss,AquiMod,23/04/1962,10.6697,
Racks Moss,AquiMod,24/04/1962,10.6659,
Racks Moss,AquiMod,25/04/1962,10.6621,
Racks Moss,AquiMod,26/04/1962,10.6583,
Racks Moss,AquiMod,27/04/1962,10.6546,
Racks Moss,AquiMod,28/04/1962,10.6508,
Racks Moss,AquiMod,29/04/1962,10.6471,
Racks Moss,AquiMod,30/04/1962,10.6435,
Racks Moss,AquiMod,01/05/1962,10.6398,
Racks Moss,AquiMod,02/05/1962,10.6361,
Racks Moss,AquiMod,03/05/1962,10.6325,
Racks Moss,AquiMod,04/05/1962,10.6289,
Racks Moss,AquiMod,05/05/1962,10.6253,
Racks Moss,AquiMod,06/05/1962,10.6218,
Racks Moss,AquiMod,07/05/1962,10.6182,
Racks Moss,AquiMod,08/05/1962,10.6147,
Racks Moss,AquiMod,09/05/1962,10.6112,
Racks Moss,AquiMod,10/05/1962,10.6078,
Racks Moss,AquiMod,11/05/1962,10.6043,
Racks Moss,AquiMod,12/05/1962,10.6009,
Racks Moss,AquiMod,13/05/1962,10.5974,
Racks Moss,AquiMod,14/05/1962,10.594,
Racks Moss,AquiMod,15/05/1962,10.5907,
Racks Moss,AquiMod,16/05/1962,10.5873,
Racks Moss,AquiMod,17/05/1962,10.584,
Racks Moss,AquiMod,18/05/1962,10.5806,
Racks Moss,AquiMod,19/05/1962,10.5773,
Racks Moss,AquiMod,20/05/1962,10.5741,
Racks Moss,AquiMod,21/05/1962,10.5708,
Racks Moss,AquiMod,22/05/1962,10.5675,
Racks Moss,AquiMod,23/05/1962,10.5643,
Racks Moss,AquiMod,24/05/1962,10.5611,
Racks Moss,AquiMod,25/05/1962,10.5579,
Racks Moss,AquiMod,26/05/1962,10.5547,
Racks Moss,AquiMod,27/05/1962,10.5516,
Racks Moss,AquiMod,28/05/1962,10.5484,
Racks Moss,AquiMod,29/05/1962,10.5453,
Racks Moss,AquiMod,30/05/1962,10.5422,
Racks Moss,AquiMod,31/05/1962,10.5391,
Racks Moss,AquiMod,01/06/1962,10.536,
Racks Moss,AquiMod,02/06/1962,10.533,
Racks Moss,AquiMod,03/06/1962,10.5299,
Racks Moss,AquiMod,04/06/1962,10.5269,
Racks Moss,AquiMod,05/06/1962,10.5239,
Racks Moss,AquiMod,06/06/1962,10.5209,
Racks Moss,AquiMod,07/06/1962,10.5179,
Racks Moss,AquiMod,08/06/1962,10.515,
Racks Moss,AquiMod,09/06/1962,10.512,
Racks Moss,AquiMod,10/06/1962,10.5091,
Racks Moss,AquiMod,11/06/1962,10.5062,
Racks Moss,AquiMod,12/06/1962,10.5033,
