Borehole,Model,Date,Sim,Obs
Redford,AquiMod,01/01/1962,58.129,
Redford,AquiMod,02/01/1962,58.1236,
Redford,AquiMod,03/01/1962,58.117,
Redford,AquiMod,04/01/1962,58.1094,
Redford,AquiMod,05/01/1962,58.1369,
Redford,AquiMod,06/01/1962,58.2032,
Redford,AquiMod,07/01/1962,58.2628,
Redford,AquiMod,08/01/1962,58.3591,
Redford,AquiMod,09/01/1962,58.4428,
Redford,AquiMod,10/01/1962,58.5597,
Redford,AquiMod,11/01/1962,58.7141,
Redford,AquiMod,12/01/1962,58.8602,
Redford,AquiMod,13/01/1962,58.975,
Redford,AquiMod,14/01/1962,59.0613,
Redford,AquiMod,15/01/1962,59.1714,
Redford,AquiMod,16/01/1962,59.2623,
Redford,AquiMod,17/01/1962,59.3563,
Redford,AquiMod,18/01/1962,59.4185,
Redford,AquiMod,19/01/1962,59.4594,
Redford,AquiMod,20/01/1962,59.4854,
Redford,AquiMod,21/01/1962,59.493,
Redford,AquiMod,22/01/1962,59.4848,
Redford,AquiMod,23/01/1962,59.4687,
Redford,AquiMod,24/01/1962,59.4618,
Redford,AquiMod,25/01/1962,59.4502,
Redford,AquiMod,26/01/1962,59.4285,
Redford,AquiMod,27/01/1962,59.3996,
Redford,AquiMod,28/01/1962,59.3658,
Redford,AquiMod,29/01/1962,59.3288,
Redford,AquiMod,30/01/1962,59.2898,
Redford,AquiMod,31/01/1962,59.2498,
Redford,AquiMod,01/02/1962,59.2095,
Redford,AquiMod,02/02/1962,59.1694,
Redford,AquiMod,03/02/1962,59.1298,
Redford,AquiMod,04/02/1962,59.0909,
Redford,AquiMod,05/02/1962,59.0531,
Redford,AquiMod,06/02/1962,59.0205,
Redford,AquiMod,07/02/1962,58.9881,
Redford,AquiMod,08/02/1962,58.9562,
Redford,AquiMod,09/02/1962,58.9248,
Redford,AquiMod,10/02/1962,58.8941,
Redford,AquiMod,11/02/1962,58.8904,
Redford,AquiMod,12/02/1962,58.8819,
Redford,AquiMod,13/02/1962,58.8699,
Redford,AquiMod,14/02/1962,58.8548,
Redford,AquiMod,15/02/1962,58.8377,
Redford,AquiMod,16/02/1962,58.8187,
Redford,AquiMod,17/02/1962,58.7982,
Redford,AquiMod,18/02/1962,58.777,
Redford,AquiMod,19/02/1962,58.7554,
Redford,AquiMod,20/02/1962,58.7337,
Redford,AquiMod,21/02/1962,58.7115,
Redford,AquiMod,22/02/1962,58.6894,
Redford,AquiMod,23/02/1962,58.6673,
Redford,AquiMod,24/02/1962,58.6455,
Redford,AquiMod,25/02/1962,58.624,
Redford,AquiMod,26/02/1962,58.6028,
Redford,AquiMod,27/02/1962,58.5821,
Redford,AquiMod,28/02/1962,58.5617,
Redford,AquiMod,01/03/1962,58.5417,
Redford,AquiMod,02/03/1962,58.5219,
Redford,AquiMod,03/03/1962,58.5025,
Redford,AquiMod,04/03/1962,58.4834,
Redford,AquiMod,05/03/1962,58.4646,
Redford,AquiMod,06/03/1962,58.4462,
Redford,AquiMod,07/03/1962,58.4281,
Redford,AquiMod,08/03/1962,58.4102,
Redford,AquiMod,09/03/1962,58.3926,
Redford,AquiMod,10/03/1962,58.3752,
Redford,AquiMod,11/03/1962,58.3579,
Redford,AquiMod,12/03/1962,58.3408,
Redford,AquiMod,13/03/1962,58.3239,
Redford,AquiMod,14/03/1962,58.307,
Redford,AquiMod,15/03/1962,58.2902,
Redford,AquiMod,16/03/1962,58.2734,
Redford,AquiMod,17/03/1962,58.2567,
Redford,AquiMod,18/03/1962,58.2401,
Redford,AquiMod,19/03/1962,58.2236,
Redford,AquiMod,20/03/1962,58.207,
Redford,AquiMod,21/03/1962,58.1906,
Redford,AquiMod,22/03/1962,58.1743,
Redford,AquiMod,23/03/1962,58.1582,
Redford,AquiMod,24/03/1962,58.1421,
Redford,AquiMod,25/03/1962,58.1263,
Redford,AquiMod,26/03/1962,58.1105,
Redford,AquiMod,27/03/1962,58.0949,
Redford,AquiMod,28/03/1962,58.0794,
Redford,AquiMod,29/03/1962,58.064,
Redford,AquiMod,30/03/1962,58.0488,
Redford,AquiMod,31/03/1962,58.0336,
Redford,AquiMod,01/04/1962,58.0186,
Redford,AquiMod,02/04/1962,58.0037,
Redford,AquiMod,03/04/1962,57.989,
Redford,AquiMod,04/04/1962,57.9824,
Redford,AquiMod,05/04/1962,57.975,
Redford,AquiMod,06/04/1962,57.9876,
Redford,AquiMod,07/04/1962,57.9993,
Redford,AquiMod,08/04/1962,58.0078,
Redford,AquiMod,09/04/1962,58.0133,
Redford,AquiMod,10/04/1962,58.0163,
Redford,AquiMod,11/04/1962,58.0171,
Redford,AquiMod,12/04/1962,58.016,
Redford,AquiMod,13/04/1962,58.0132,
Redford,AquiMod,14/04/1962,58.009,
Redford,AquiMod,15/04/1962,58.0035,
Redford,AquiMod,16/04/1962,57.9969,
Redford,AquiMod,17/04/1962,57.9894,
Redford,AquiMod,18/04/1962,57.9811,
Redford,AquiMod,19/04/1962,57.972,
Redford,AquiMod,20/04/1962,57.9624,
Redford,AquiMod,21/04/1962,57.9522,
Redford,AquiMod,22/04/1962,57.9416,
Redford,AquiMod,23/04/1962,57.9306,
Redford,AquiMod,24/04/1962,57.9193,
Redford,AquiMod,25/04/1962,57.9077,
Redford,AquiMod,26/04/1962,57.8959,
Redford,AquiMod,27/04/1962,57.8839,
Redford,AquiMod,28/04/1962,57.8717,
Redford,AquiMod,29/04/1962,57.8595,
Redford,AquiMod,30/04/1962,57.8471,
Redford,AquiMod,01/05/1962,57.8347,
Redford,AquiMod,02/05/1962,57.8222,
Redford,AquiMod,03/05/1962,57.8096,
Redford,AquiMod,04/05/1962,57.7971,
Redford,AquiMod,05/05/1962,57.7845,
Redford,AquiMod,06/05/1962,57.772,
Redford,AquiMod,07/05/1962,57.7594,
Redford,AquiMod,08/05/1962,57.7469,
Redford,AquiMod,09/05/1962,57.7344,
Redford,AquiMod,10/05/1962,57.7219,
Redford,AquiMod,11/05/1962,57.7094,
Redford,AquiMod,12/05/1962,57.697,
Redford,AquiMod,13/05/1962,57.6844,
Redford,AquiMod,14/05/1962,57.6719,
Redford,AquiMod,15/05/1962,57.6595,
Redford,AquiMod,16/05/1962,57.6471,
Redford,AquiMod,17/05/1962,57.6349,
Redford,AquiMod,18/05/1962,57.6227,
Redford,AquiMod,19/05/1962,57.6106,
Redford,AquiMod,20/05/1962,57.5985,
Redford,AquiMod,21/05/1962,57.5865,
Redford,AquiMod,22/05/1962,57.5747,
Redford,AquiMod,23/05/1962,57.5628,
Redford,AquiMod,24/05/1962,57.5511,
Redford,AquiMod,25/05/1962,57.5394,
Redford,AquiMod,26/05/1962,57.5278,
