Borehole,Model,Date,Sim,Obs
Rockley,AquiMod,01/01/1962,134.591,137.47
Rockley,AquiMod,02/01/1962,134.66,
Rockley,AquiMod,03/01/1962,134.725,
Rockley,AquiMod,04/01/1962,134.803,
Rockley,AquiMod,05/01/1962,134.928,
Rockley,AquiMod,06/01/1962,135.062,139.9
Rockley,AquiMod,07/01/1962,135.195,
Rockley,AquiMod,08/01/1962,135.338,
Rockley,AquiMod,09/01/1962,135.507,
Rockley,AquiMod,10/01/1962,135.72,
Rockley,AquiMod,11/01/1962,135.969,
Rockley,AquiMod,12/01/1962,136.218,
Rockley,AquiMod,13/01/1962,136.46,141.12
Rockley,AquiMod,14/01/1962,136.693,
Rockley,AquiMod,15/01/1962,136.936,
Rockley,AquiMod,16/01/1962,137.18,
Rockley,AquiMod,17/01/1962,137.412,
Rockley,AquiMod,18/01/1962,137.656,
Rockley,AquiMod,19/01/1962,137.892,
Rockley,AquiMod,20/01/1962,138.132,141.12
Rockley,AquiMod,21/01/1962,138.416,
Rockley,AquiMod,22/01/1962,138.693,
Rockley,AquiMod,23/01/1962,138.971,
Rockley,AquiMod,24/01/1962,139.246,
Rockley,AquiMod,25/01/1962,139.504,
Rockley,AquiMod,26/01/1962,139.751,
Rockley,AquiMod,27/01/1962,139.992,141.43
Rockley,AquiMod,28/01/1962,140.218,
Rockley,AquiMod,29/01/1962,140.425,
Rockley,AquiMod,30/01/1962,140.613,
Rockley,AquiMod,31/01/1962,140.808,
Rockley,AquiMod,01/02/1962,140.988,
Rockley,AquiMod,02/02/1962,141.151,
Rockley,AquiMod,03/02/1962,141.295,140.82
Rockley,AquiMod,04/02/1962,141.423,
Rockley,AquiMod,05/02/1962,141.533,
Rockley,AquiMod,06/02/1962,141.637,
Rockley,AquiMod,07/02/1962,141.727,
Rockley,AquiMod,08/02/1962,141.801,
Rockley,AquiMod,09/02/1962,141.861,
Rockley,AquiMod,10/02/1962,141.906,140.21
Rockley,AquiMod,11/02/1962,141.937,
Rockley,AquiMod,12/02/1962,141.965,
Rockley,AquiMod,13/02/1962,141.981,
Rockley,AquiMod,14/02/1962,141.985,
Rockley,AquiMod,15/02/1962,141.979,
Rockley,AquiMod,16/02/1962,141.963,
Rockley,AquiMod,17/02/1962,141.936,139.6
Rockley,AquiMod,18/02/1962,141.901,
Rockley,AquiMod,19/02/1962,141.857,
Rockley,AquiMod,20/02/1962,141.805,
Rockley,AquiMod,21/02/1962,141.745,
Rockley,AquiMod,22/02/1962,141.679,
Rockley,AquiMod,23/02/1962,141.606,
Rockley,AquiMod,24/02/1962,141.528,138.68
Rockley,AquiMod,25/02/1962,141.444,
Rockley,AquiMod,26/02/1962,141.356,
Rockley,AquiMod,27/02/1962,141.264,
Rockley,AquiMod,28/02/1962,141.166,
Rockley,AquiMod,01/03/1962,141.065,
Rockley,AquiMod,02/03/1962,140.961,
Rockley,AquiMod,03/03/1962,140.855,138.19
Rockley,AquiMod,04/03/1962,140.747,
Rockley,AquiMod,05/03/1962,140.637,
Rockley,AquiMod,06/03/1962,140.525,
Rockley,AquiMod,07/03/1962,140.411,
Rockley,AquiMod,08/03/1962,140.295,
Rockley,AquiMod,09/03/1962,140.179,
Rockley,AquiMod,10/03/1962,140.062,137.89
Rockley,AquiMod,11/03/1962,139.944,
Rockley,AquiMod,12/03/1962,139.825,
Rockley,AquiMod,13/03/1962,139.706,
Rockley,AquiMod,14/03/1962,139.587,
Rockley,AquiMod,15/03/1962,139.468,
Rockley,AquiMod,16/03/1962,139.351,
Rockley,AquiMod,17/03/1962,139.233,137.16
Rockley,AquiMod,18/03/1962,139.117,
Rockley,AquiMod,19/03/1962,139.001,
Rockley,AquiMod,20/03/1962,138.885,
Rockley,AquiMod,21/03/1962,138.771,
Rockley,AquiMod,22/03/1962,138.658,
Rockley,AquiMod,23/03/1962,138.544,
Rockley,AquiMod,24/03/1962,138.432,136.67
Rockley,AquiMod,25/03/1962,138.32,
Rockley,AquiMod,26/03/1962,138.21,
Rockley,AquiMod,27/03/1962,138.102,
Rockley,AquiMod,28/03/1962,137.995,
Rockley,AquiMod,29/03/1962,137.889,
Rockley,AquiMod,30/03/1962,137.784,
Rockley,AquiMod,31/03/1962,137.681,136.25
Rockley,AquiMod,01/04/1962,137.58,
Rockley,AquiMod,02/04/1962,137.479,
Rockley,AquiMod,03/04/1962,137.38,
Rockley,AquiMod,04/04/1962,137.292,
Rockley,AquiMod,05/04/1962,137.207,
Rockley,AquiMod,06/04/1962,137.123,
Rockley,AquiMod,07/04/1962,137.05,135.94
Rockley,AquiMod,08/04/1962,137.001,
Rockley,AquiMod,09/04/1962,136.957,
Rockley,AquiMod,10/04/1962,136.915,
Rockley,AquiMod,11/04/1962,136.874,
Rockley,AquiMod,12/04/1962,136.834,
Rockley,AquiMod,13/04/1962,136.794,
Rockley,AquiMod,14/04/1962,136.753,135.68
Rockley,AquiMod,15/04/1962,136.711,
Rockley,AquiMod,16/04/1962,136.668,
Rockley,AquiMod,17/04/1962,136.625,
Rockley,AquiMod,18/04/1962,136.58,
Rockley,AquiMod,19/04/1962,136.534,
Rockley,AquiMod,20/04/1962,136.487,
Rockley,AquiMod,21/04/1962,136.439,135.42
Rockley,AquiMod,22/04/1962,136.39,
Rockley,AquiMod,23/04/1962,136.34,
Rockley,AquiMod,24/04/1962,136.289,
Rockley,AquiMod,25/04/1962,136.237,
Rockley,AquiMod,26/04/1962,136.184,
