Borehole,Model,Date,Sim,Obs
Skirwith,AquiMod,01/01/1962,130.688,
Skirwith,AquiMod,02/01/1962,130.687,
Skirwith,AquiMod,03/01/1962,130.686,
Skirwith,AquiMod,04/01/1962,130.684,
Skirwith,AquiMod,05/01/1962,130.684,
Skirwith,AquiMod,06/01/1962,130.684,
Skirwith,AquiMod,07/01/1962,130.683,
Skirwith,AquiMod,08/01/1962,130.687,
Skirwith,AquiMod,09/01/1962,130.691,
Skirwith,AquiMod,10/01/1962,130.702,
Skirwith,AquiMod,11/01/1962,130.713,
Skirwith,AquiMod,12/01/1962,130.726,
Skirwith,AquiMod,13/01/1962,130.739,
Skirwith,AquiMod,14/01/1962,130.751,
Skirwith,AquiMod,15/01/1962,130.77,
Skirwith,AquiMod,16/01/1962,130.796,
Skirwith,AquiMod,17/01/1962,130.822,
Skirwith,AquiMod,18/01/1962,130.847,
Skirwith,AquiMod,19/01/1962,130.869,
Skirwith,AquiMod,20/01/1962,130.891,
Skirwith,AquiMod,21/01/1962,130.914,
Skirwith,AquiMod,22/01/1962,130.936,
Skirwith,AquiMod,23/01/1962,130.959,
Skirwith,AquiMod,24/01/1962,130.982,
Skirwith,AquiMod,25/01/1962,131.002,
Skirwith,AquiMod,26/01/1962,131.021,
Skirwith,AquiMod,27/01/1962,131.037,
Skirwith,AquiMod,28/01/1962,131.052,
Skirwith,AquiMod,29/01/1962,131.065,
Skirwith,AquiMod,30/01/1962,131.077,
Skirwith,AquiMod,31/01/1962,131.089,
Skirwith,AquiMod,01/02/1962,131.1,
Skirwith,AquiMod,02/02/1962,131.11,
Skirwith,AquiMod,03/02/1962,131.119,
Skirwith,AquiMod,04/02/1962,131.128,
Skirwith,AquiMod,05/02/1962,131.135,
Skirwith,AquiMod,06/02/1962,131.144,
Skirwith,AquiMod,07/02/1962,131.152,
Skirwith,AquiMod,08/02/1962,131.159,
Skirwith,AquiMod,09/02/1962,131.164,
Skirwith,AquiMod,10/02/1962,131.169,
Skirwith,AquiMod,11/02/1962,131.18,
Skirwith,AquiMod,12/02/1962,131.19,
Skirwith,AquiMod,13/02/1962,131.199,
Skirwith,AquiMod,14/02/1962,131.206,
Skirwith,AquiMod,15/02/1962,131.213,
Skirwith,AquiMod,16/02/1962,131.218,
Skirwith,AquiMod,17/02/1962,131.223,
Skirwith,AquiMod,18/02/1962,131.226,
Skirwith,AquiMod,19/02/1962,131.228,
Skirwith,AquiMod,20/02/1962,131.23,
Skirwith,AquiMod,21/02/1962,131.231,
Skirwith,AquiMod,22/02/1962,131.231,
Skirwith,AquiMod,23/02/1962,131.23,
Skirwith,AquiMod,24/02/1962,131.229,
Skirwith,AquiMod,25/02/1962,131.227,
Skirwith,AquiMod,26/02/1962,131.224,
Skirwith,AquiMod,27/02/1962,131.221,
Skirwith,AquiMod,28/02/1962,131.218,
Skirwith,AquiMod,01/03/1962,131.214,
Skirwith,AquiMod,02/03/1962,131.21,
Skirwith,AquiMod,03/03/1962,131.205,
Skirwith,AquiMod,04/03/1962,131.2,
Skirwith,AquiMod,05/03/1962,131.194,
Skirwith,AquiMod,06/03/1962,131.189,
Skirwith,AquiMod,07/03/1962,131.183,
Skirwith,AquiMod,08/03/1962,131.177,
Skirwith,AquiMod,09/03/1962,131.172,
