Borehole,Model,Date,Sim,Obs
Stonor Park,AquiMod,01/01/1962,74.8316,
Stonor Park,AquiMod,02/01/1962,74.8256,
Stonor Park,AquiMod,03/01/1962,74.8197,
Stonor Park,AquiMod,04/01/1962,74.8224,
Stonor Park,AquiMod,05/01/1962,74.8267,
Stonor Park,AquiMod,06/01/1962,74.8323,
Stonor Park,AquiMod,07/01/1962,74.8382,
Stonor Park,AquiMod,08/01/1962,74.8483,
Stonor Park,AquiMod,09/01/1962,74.8678,
Stonor Park,AquiMod,10/01/1962,74.9007,
Stonor Park,AquiMod,11/01/1962,74.9489,
Stonor Park,AquiMod,12/01/1962,74.9985,
Stonor Park,AquiMod,13/01/1962,75.0483,
Stonor Park,AquiMod,14/01/1962,75.098,
Stonor Park,AquiMod,15/01/1962,75.1542,
Stonor Park,AquiMod,16/01/1962,75.2175,
Stonor Park,AquiMod,17/01/1962,75.2848,
Stonor Park,AquiMod,18/01/1962,75.3571,77.03
Stonor Park,AquiMod,19/01/1962,75.4321,
Stonor Park,AquiMod,20/01/1962,75.5136,
Stonor Park,AquiMod,21/01/1962,75.6229,
Stonor Park,AquiMod,22/01/1962,75.7334,
Stonor Park,AquiMod,23/01/1962,75.8516,
Stonor Park,AquiMod,24/01/1962,75.9714,
Stonor Park,AquiMod,25/01/1962,76.0902,
Stonor Park,AquiMod,26/01/1962,76.2088,
Stonor Park,AquiMod,27/01/1962,76.3256,
Stonor Park,AquiMod,28/01/1962,76.4402,
Stonor Park,AquiMod,29/01/1962,76.5525,
Stonor Park,AquiMod,30/01/1962,76.6623,
Stonor Park,AquiMod,31/01/1962,76.7839,
Stonor Park,AquiMod,01/02/1962,76.9047,
Stonor Park,AquiMod,02/02/1962,77.0242,
Stonor Park,AquiMod,03/02/1962,77.1413,
Stonor Park,AquiMod,04/02/1962,77.2558,
Stonor Park,AquiMod,05/02/1962,77.3674,
Stonor Park,AquiMod,06/02/1962,77.4774,
Stonor Park,AquiMod,07/02/1962,77.5862,
Stonor Park,AquiMod,08/02/1962,77.692,
Stonor Park,AquiMod,09/02/1962,77.7947,
Stonor Park,AquiMod,10/02/1962,77.8944,
Stonor Park,AquiMod,11/02/1962,77.991,
Stonor Park,AquiMod,12/02/1962,78.0857,
Stonor Park,AquiMod,13/02/1962,78.1773,
Stonor Park,AquiMod,14/02/1962,78.2658,
Stonor Park,AquiMod,15/02/1962,78.3512,81.59
Stonor Park,AquiMod,16/02/1962,78.4335,
Stonor Park,AquiMod,17/02/1962,78.5128,
Stonor Park,AquiMod,18/02/1962,78.589,
Stonor Park,AquiMod,19/02/1962,78.6622,
Stonor Park,AquiMod,20/02/1962,78.7324,
Stonor Park,AquiMod,21/02/1962,78.7997,
Stonor Park,AquiMod,22/02/1962,78.8641,
Stonor Park,AquiMod,23/02/1962,78.9257,
Stonor Park,AquiMod,24/02/1962,78.9844,
Stonor Park,AquiMod,25/02/1962,79.0404,
Stonor Park,AquiMod,26/02/1962,79.0936,
Stonor Park,AquiMod,27/02/1962,79.1442,
Stonor Park,AquiMod,28/02/1962,79.1922,
Stonor Park,AquiMod,01/03/1962,79.2376,
Stonor Park,AquiMod,02/03/1962,79.2805,
Stonor Park,AquiMod,03/03/1962,79.3209,
Stonor Park,AquiMod,04/03/1962,79.3589,
Stonor Park,AquiMod,05/03/1962,79.3946,
Stonor Park,AquiMod,06/03/1962,79.4279,
Stonor Park,AquiMod,07/03/1962,79.459,
Stonor Park,AquiMod,08/03/1962,79.4879,
Stonor Park,AquiMod,09/03/1962,79.5146,
Stonor Park,AquiMod,10/03/1962,79.5392,
Stonor Park,AquiMod,11/03/1962,79.5618,
Stonor Park,AquiMod,12/03/1962,79.5824,
Stonor Park,AquiMod,13/03/1962,79.601,
Stonor Park,AquiMod,14/03/1962,79.6177,
Stonor Park,AquiMod,15/03/1962,79.6326,81.88
Stonor Park,AquiMod,16/03/1962,79.6456,
Stonor Park,AquiMod,17/03/1962,79.6569,
Stonor Park,AquiMod,18/03/1962,79.6665,
Stonor Park,AquiMod,19/03/1962,79.6744,
Stonor Park,AquiMod,20/03/1962,79.6806,
Stonor Park,AquiMod,21/03/1962,79.6853,
Stonor Park,AquiMod,22/03/1962,79.6885,
Stonor Park,AquiMod,23/03/1962,79.6902,
Stonor Park,AquiMod,24/03/1962,79.6904,
Stonor Park,AquiMod,25/03/1962,79.6892,
Stonor Park,AquiMod,26/03/1962,79.6866,
Stonor Park,AquiMod,27/03/1962,79.6827,
Stonor Park,AquiMod,28/03/1962,79.6775,
Stonor Park,AquiMod,29/03/1962,79.6711,
Stonor Park,AquiMod,30/03/1962,79.6635,
Stonor Park,AquiMod,31/03/1962,79.6546,
Stonor Park,AquiMod,01/04/1962,79.6447,
Stonor Park,AquiMod,02/04/1962,79.6352,
Stonor Park,AquiMod,03/04/1962,79.6275,
Stonor Park,AquiMod,04/04/1962,79.6299,
Stonor Park,AquiMod,05/04/1962,79.6322,
Stonor Park,AquiMod,06/04/1962,79.6339,
Stonor Park,AquiMod,07/04/1962,79.6348,
Stonor Park,AquiMod,08/04/1962,79.6396,
Stonor Park,AquiMod,09/04/1962,79.6438,
Stonor Park,AquiMod,10/04/1962,79.6472,
Stonor Park,AquiMod,11/04/1962,79.6496,
Stonor Park,AquiMod,12/04/1962,79.6511,81.06
Stonor Park,AquiMod,13/04/1962,79.6515,
Stonor Park,AquiMod,14/04/1962,79.6509,
Stonor Park,AquiMod,15/04/1962,79.6493,
Stonor Park,AquiMod,16/04/1962,79.6466,
Stonor Park,AquiMod,17/04/1962,79.6428,
Stonor Park,AquiMod,18/04/1962,79.638,
Stonor Park,AquiMod,19/04/1962,79.6322,
Stonor Park,AquiMod,20/04/1962,79.6254,
Stonor Park,AquiMod,21/04/1962,79.6175,
Stonor Park,AquiMod,22/04/1962,79.6087,
Stonor Park,AquiMod,23/04/1962,79.5989,
Stonor Park,AquiMod,24/04/1962,79.5882,
Stonor Park,AquiMod,25/04/1962,79.5765,
Stonor Park,AquiMod,26/04/1962,79.5639,
Stonor Park,AquiMod,27/04/1962,79.5504,
Stonor Park,AquiMod,28/04/1962,79.536,
Stonor Park,AquiMod,29/04/1962,79.5208,
Stonor Park,AquiMod,30/04/1962,79.5041,
Stonor Park,AquiMod,01/05/1962,79.4858,
