Borehole,Model,Date,Sim,Obs
Swan House,AquiMod,01/01/1962,83.7754,
Swan House,AquiMod,02/01/1962,83.785,
Swan House,AquiMod,03/01/1962,83.7933,
Swan House,AquiMod,04/01/1962,83.8011,
Swan House,AquiMod,05/01/1962,83.8152,
Swan House,AquiMod,06/01/1962,83.8307,
Swan House,AquiMod,07/01/1962,83.8465,
Swan House,AquiMod,08/01/1962,83.8643,
Swan House,AquiMod,09/01/1962,83.8823,
Swan House,AquiMod,10/01/1962,83.9042,
Swan House,AquiMod,11/01/1962,83.9281,
Swan House,AquiMod,12/01/1962,83.9529,
Swan House,AquiMod,13/01/1962,83.9774,
Swan House,AquiMod,14/01/1962,84.0015,
Swan House,AquiMod,15/01/1962,84.0268,
Swan House,AquiMod,16/01/1962,84.0527,
Swan House,AquiMod,17/01/1962,84.0789,
Swan House,AquiMod,18/01/1962,84.1047,
Swan House,AquiMod,19/01/1962,84.1297,
Swan House,AquiMod,20/01/1962,84.155,
Swan House,AquiMod,21/01/1962,84.1799,
Swan House,AquiMod,22/01/1962,84.2046,
Swan House,AquiMod,23/01/1962,84.2298,
Swan House,AquiMod,24/01/1962,84.2546,
Swan House,AquiMod,25/01/1962,84.2785,
Swan House,AquiMod,26/01/1962,84.3013,
Swan House,AquiMod,27/01/1962,84.323,
Swan House,AquiMod,28/01/1962,84.3434,
Swan House,AquiMod,29/01/1962,84.3625,
Swan House,AquiMod,30/01/1962,84.3813,
Swan House,AquiMod,31/01/1962,84.3989,
Swan House,AquiMod,01/02/1962,84.4153,
Swan House,AquiMod,02/02/1962,84.4303,
Swan House,AquiMod,03/02/1962,84.444,
Swan House,AquiMod,04/02/1962,84.4563,
Swan House,AquiMod,05/02/1962,84.4672,
Swan House,AquiMod,06/02/1962,84.4766,
Swan House,AquiMod,07/02/1962,84.4847,
Swan House,AquiMod,08/02/1962,84.4913,
Swan House,AquiMod,09/02/1962,84.4966,
Swan House,AquiMod,10/02/1962,84.5012,
Swan House,AquiMod,11/02/1962,84.5063,
Swan House,AquiMod,12/02/1962,84.5105,
Swan House,AquiMod,13/02/1962,84.5137,
Swan House,AquiMod,14/02/1962,84.5159,
Swan House,AquiMod,15/02/1962,84.517,
Swan House,AquiMod,16/02/1962,84.5171,
Swan House,AquiMod,17/02/1962,84.516,
Swan House,AquiMod,18/02/1962,84.5138,
Swan House,AquiMod,19/02/1962,84.5106,
Swan House,AquiMod,20/02/1962,84.5063,
Swan House,AquiMod,21/02/1962,84.501,
Swan House,AquiMod,22/02/1962,84.4946,
Swan House,AquiMod,23/02/1962,84.4871,
Swan House,AquiMod,24/02/1962,84.4786,
Swan House,AquiMod,25/02/1962,84.4692,
Swan House,AquiMod,26/02/1962,84.4589,
Swan House,AquiMod,27/02/1962,84.4477,
Swan House,AquiMod,28/02/1962,84.4351,
Swan House,AquiMod,01/03/1962,84.4216,
Swan House,AquiMod,02/03/1962,84.4073,
Swan House,AquiMod,03/03/1962,84.3923,
Swan House,AquiMod,04/03/1962,84.3765,
Swan House,AquiMod,05/03/1962,84.3597,
Swan House,AquiMod,06/03/1962,84.3419,
Swan House,AquiMod,07/03/1962,84.3235,
Swan House,AquiMod,08/03/1962,84.3042,
Swan House,AquiMod,09/03/1962,84.2841,
Swan House,AquiMod,10/03/1962,84.2636,
Swan House,AquiMod,11/03/1962,84.2426,
Swan House,AquiMod,12/03/1962,84.2211,
Swan House,AquiMod,13/03/1962,84.1992,
