Borehole,Model,Date,Sim,Obs
Sweeps Lane,AquiMod,01/01/1962,43.9742,
Sweeps Lane,AquiMod,02/01/1962,43.9833,
Sweeps Lane,AquiMod,03/01/1962,43.9916,
Sweeps Lane,AquiMod,04/01/1962,44.0032,
Sweeps Lane,AquiMod,05/01/1962,44.0176,
Sweeps Lane,AquiMod,06/01/1962,44.0313,
Sweeps Lane,AquiMod,07/01/1962,44.0438,
Sweeps Lane,AquiMod,08/01/1962,44.0554,
Sweeps Lane,AquiMod,09/01/1962,44.0701,
Sweeps Lane,AquiMod,10/01/1962,44.0899,
Sweeps Lane,AquiMod,11/01/1962,44.1131,
Sweeps Lane,AquiMod,12/01/1962,44.1346,
Sweeps Lane,AquiMod,13/01/1962,44.1543,
Sweeps Lane,AquiMod,14/01/1962,44.1726,
Sweeps Lane,AquiMod,15/01/1962,44.192,
Sweeps Lane,AquiMod,16/01/1962,44.2106,
Sweeps Lane,AquiMod,17/01/1962,44.228,
Sweeps Lane,AquiMod,18/01/1962,44.2448,
Sweeps Lane,AquiMod,19/01/1962,44.2607,
Sweeps Lane,AquiMod,20/01/1962,44.2776,
Sweeps Lane,AquiMod,21/01/1962,44.3005,
Sweeps Lane,AquiMod,22/01/1962,44.3215,
Sweeps Lane,AquiMod,23/01/1962,44.3421,
Sweeps Lane,AquiMod,24/01/1962,44.3615,
Sweeps Lane,AquiMod,25/01/1962,44.3793,
Sweeps Lane,AquiMod,26/01/1962,44.3956,
Sweeps Lane,AquiMod,27/01/1962,44.4106,
Sweeps Lane,AquiMod,28/01/1962,44.4243,
Sweeps Lane,AquiMod,29/01/1962,44.4367,
Sweeps Lane,AquiMod,30/01/1962,44.4479,
Sweeps Lane,AquiMod,31/01/1962,44.4587,
Sweeps Lane,AquiMod,01/02/1962,44.4684,
Sweeps Lane,AquiMod,02/02/1962,44.4771,
Sweeps Lane,AquiMod,03/02/1962,44.4848,
Sweeps Lane,AquiMod,04/02/1962,44.4917,
Sweeps Lane,AquiMod,05/02/1962,44.4977,
Sweeps Lane,AquiMod,06/02/1962,44.503,
Sweeps Lane,AquiMod,07/02/1962,44.5075,
Sweeps Lane,AquiMod,08/02/1962,44.5113,
Sweeps Lane,AquiMod,09/02/1962,44.5145,
Sweeps Lane,AquiMod,10/02/1962,44.5172,
Sweeps Lane,AquiMod,11/02/1962,44.5193,
Sweeps Lane,AquiMod,12/02/1962,44.5221,
Sweeps Lane,AquiMod,13/02/1962,44.5244,
Sweeps Lane,AquiMod,14/02/1962,44.5262,
Sweeps Lane,AquiMod,15/02/1962,44.5275,
Sweeps Lane,AquiMod,16/02/1962,44.5283,
Sweeps Lane,AquiMod,17/02/1962,44.5287,
Sweeps Lane,AquiMod,18/02/1962,44.5287,
Sweeps Lane,AquiMod,19/02/1962,44.5283,
Sweeps Lane,AquiMod,20/02/1962,44.5276,
Sweeps Lane,AquiMod,21/02/1962,44.5266,
Sweeps Lane,AquiMod,22/02/1962,44.5254,
