Borehole,Model,Date,Sim,Obs
Therfield Rectory,AquiMod,01/01/1962,79.6174,78.93
Therfield Rectory,AquiMod,02/01/1962,79.6002,
Therfield Rectory,AquiMod,03/01/1962,79.5846,
Therfield Rectory,AquiMod,04/01/1962,79.5711,
Therfield Rectory,AquiMod,05/01/1962,79.5609,
Therfield Rectory,AquiMod,06/01/1962,79.5536,
Therfield Rectory,AquiMod,07/01/1962,79.5488,
Therfield Rectory,AquiMod,08/01/1962,79.5467,
Therfield Rectory,AquiMod,09/01/1962,79.5479,
Therfield Rectory,AquiMod,10/01/1962,79.5524,
Therfield Rectory,AquiMod,11/01/1962,79.5606,
Therfield Rectory,AquiMod,12/01/1962,79.5722,
Therfield Rectory,AquiMod,13/01/1962,79.5867,
Therfield Rectory,AquiMod,14/01/1962,79.604,
Therfield Rectory,AquiMod,15/01/1962,79.6244,
Therfield Rectory,AquiMod,16/01/1962,79.6476,
Therfield Rectory,AquiMod,17/01/1962,79.674,
Therfield Rectory,AquiMod,18/01/1962,79.7035,
Therfield Rectory,AquiMod,19/01/1962,79.7359,
Therfield Rectory,AquiMod,20/01/1962,79.7715,
Therfield Rectory,AquiMod,21/01/1962,79.8113,
Therfield Rectory,AquiMod,22/01/1962,79.8547,
Therfield Rectory,AquiMod,23/01/1962,79.9017,
Therfield Rectory,AquiMod,24/01/1962,79.952,
Therfield Rectory,AquiMod,25/01/1962,80.0055,
Therfield Rectory,AquiMod,26/01/1962,80.0619,
Therfield Rectory,AquiMod,27/01/1962,80.121,
Therfield Rectory,AquiMod,28/01/1962,80.1826,
Therfield Rectory,AquiMod,29/01/1962,80.2467,
Therfield Rectory,AquiMod,30/01/1962,80.313,
Therfield Rectory,AquiMod,31/01/1962,80.3817,
Therfield Rectory,AquiMod,01/02/1962,80.4524,78.62
Therfield Rectory,AquiMod,02/02/1962,80.5252,
Therfield Rectory,AquiMod,03/02/1962,80.5998,
Therfield Rectory,AquiMod,04/02/1962,80.6761,
Therfield Rectory,AquiMod,05/02/1962,80.7539,
Therfield Rectory,AquiMod,06/02/1962,80.8332,
Therfield Rectory,AquiMod,07/02/1962,80.9139,
Therfield Rectory,AquiMod,08/02/1962,80.9959,
Therfield Rectory,AquiMod,09/02/1962,81.079,
Therfield Rectory,AquiMod,10/02/1962,81.1631,
Therfield Rectory,AquiMod,11/02/1962,81.2481,
Therfield Rectory,AquiMod,12/02/1962,81.3343,
Therfield Rectory,AquiMod,13/02/1962,81.4214,
Therfield Rectory,AquiMod,14/02/1962,81.5093,
Therfield Rectory,AquiMod,15/02/1962,81.5979,
Therfield Rectory,AquiMod,16/02/1962,81.687,
Therfield Rectory,AquiMod,17/02/1962,81.7765,
Therfield Rectory,AquiMod,18/02/1962,81.8664,
Therfield Rectory,AquiMod,19/02/1962,81.9565,
Therfield Rectory,AquiMod,20/02/1962,82.0467,
Therfield Rectory,AquiMod,21/02/1962,82.1369,
Therfield Rectory,AquiMod,22/02/1962,82.2271,
Therfield Rectory,AquiMod,23/02/1962,82.3171,
Therfield Rectory,AquiMod,24/02/1962,82.4069,
Therfield Rectory,AquiMod,25/02/1962,82.4963,
Therfield Rectory,AquiMod,26/02/1962,82.5853,
Therfield Rectory,AquiMod,27/02/1962,82.6739,
Therfield Rectory,AquiMod,28/02/1962,82.7619,
Therfield Rectory,AquiMod,01/03/1962,82.8492,79.54
Therfield Rectory,AquiMod,02/03/1962,82.9358,
Therfield Rectory,AquiMod,03/03/1962,83.0216,
Therfield Rectory,AquiMod,04/03/1962,83.1066,
Therfield Rectory,AquiMod,05/03/1962,83.1907,
Therfield Rectory,AquiMod,06/03/1962,83.2738,
Therfield Rectory,AquiMod,07/03/1962,83.3559,
Therfield Rectory,AquiMod,08/03/1962,83.4369,
Therfield Rectory,AquiMod,09/03/1962,83.5167,
Therfield Rectory,AquiMod,10/03/1962,83.5954,
Therfield Rectory,AquiMod,11/03/1962,83.6728,
Therfield Rectory,AquiMod,12/03/1962,83.749,
Therfield Rectory,AquiMod,13/03/1962,83.8238,
Therfield Rectory,AquiMod,14/03/1962,83.8973,
Therfield Rectory,AquiMod,15/03/1962,83.9693,
Therfield Rectory,AquiMod,16/03/1962,84.0399,
Therfield Rectory,AquiMod,17/03/1962,84.1091,
Therfield Rectory,AquiMod,18/03/1962,84.1767,
Therfield Rectory,AquiMod,19/03/1962,84.2428,
Therfield Rectory,AquiMod,20/03/1962,84.3073,
Therfield Rectory,AquiMod,21/03/1962,84.3702,
Therfield Rectory,AquiMod,22/03/1962,84.4316,
Therfield Rectory,AquiMod,23/03/1962,84.4913,
Therfield Rectory,AquiMod,24/03/1962,84.5493,
Therfield Rectory,AquiMod,25/03/1962,84.6057,
Therfield Rectory,AquiMod,26/03/1962,84.6604,
Therfield Rectory,AquiMod,27/03/1962,84.7133,
Therfield Rectory,AquiMod,28/03/1962,84.7646,
Therfield Rectory,AquiMod,29/03/1962,84.8142,
Therfield Rectory,AquiMod,30/03/1962,84.862,
Therfield Rectory,AquiMod,31/03/1962,84.9082,
Therfield Rectory,AquiMod,01/04/1962,84.9525,80.91
Therfield Rectory,AquiMod,02/04/1962,84.9952,
Therfield Rectory,AquiMod,03/04/1962,85.0362,
Therfield Rectory,AquiMod,04/04/1962,85.076,
Therfield Rectory,AquiMod,05/04/1962,85.1143,
Therfield Rectory,AquiMod,06/04/1962,85.1511,
Therfield Rectory,AquiMod,07/04/1962,85.1865,
