Borehole,Model,Date,Sim,Obs
Washpit Farm,AquiMod,01/01/1962,44.2189,42.88
Washpit Farm,AquiMod,02/01/1962,44.2506,
Washpit Farm,AquiMod,03/01/1962,44.2884,
Washpit Farm,AquiMod,04/01/1962,44.3338,
Washpit Farm,AquiMod,05/01/1962,44.3785,
Washpit Farm,AquiMod,06/01/1962,44.4215,
Washpit Farm,AquiMod,07/01/1962,44.4628,
Washpit Farm,AquiMod,08/01/1962,44.5055,
Washpit Farm,AquiMod,09/01/1962,44.5519,
Washpit Farm,AquiMod,10/01/1962,44.6012,
Washpit Farm,AquiMod,11/01/1962,44.654,
Washpit Farm,AquiMod,12/01/1962,44.7049,
Washpit Farm,AquiMod,13/01/1962,44.7537,
Washpit Farm,AquiMod,14/01/1962,44.8007,
Washpit Farm,AquiMod,15/01/1962,44.8464,
Washpit Farm,AquiMod,16/01/1962,44.8904,
Washpit Farm,AquiMod,17/01/1962,44.9325,
Washpit Farm,AquiMod,18/01/1962,44.9763,
Washpit Farm,AquiMod,19/01/1962,45.0183,
Washpit Farm,AquiMod,20/01/1962,45.0616,
Washpit Farm,AquiMod,21/01/1962,45.1071,
Washpit Farm,AquiMod,22/01/1962,45.1507,
Washpit Farm,AquiMod,23/01/1962,45.1941,
Washpit Farm,AquiMod,24/01/1962,45.2356,
Washpit Farm,AquiMod,25/01/1962,45.2753,
Washpit Farm,AquiMod,26/01/1962,45.3132,
Washpit Farm,AquiMod,27/01/1962,45.3495,
Washpit Farm,AquiMod,28/01/1962,45.384,
Washpit Farm,AquiMod,29/01/1962,45.417,
Washpit Farm,AquiMod,30/01/1962,45.4483,
Washpit Farm,AquiMod,31/01/1962,45.4872,
Washpit Farm,AquiMod,01/02/1962,45.5244,43.79
Washpit Farm,AquiMod,02/02/1962,45.5618,
Washpit Farm,AquiMod,03/02/1962,45.5976,
Washpit Farm,AquiMod,04/02/1962,45.6333,
Washpit Farm,AquiMod,05/02/1962,45.6673,
Washpit Farm,AquiMod,06/02/1962,45.6996,
Washpit Farm,AquiMod,07/02/1962,45.733,
Washpit Farm,AquiMod,08/02/1962,45.7648,
Washpit Farm,AquiMod,09/02/1962,45.7949,
Washpit Farm,AquiMod,10/02/1962,45.8234,
Washpit Farm,AquiMod,11/02/1962,45.8504,
Washpit Farm,AquiMod,12/02/1962,45.8759,
Washpit Farm,AquiMod,13/02/1962,45.8999,
Washpit Farm,AquiMod,14/02/1962,45.9225,
Washpit Farm,AquiMod,15/02/1962,45.9507,
Washpit Farm,AquiMod,16/02/1962,45.9774,
Washpit Farm,AquiMod,17/02/1962,46.0025,
Washpit Farm,AquiMod,18/02/1962,46.0261,
Washpit Farm,AquiMod,19/02/1962,46.0484,
Washpit Farm,AquiMod,20/02/1962,46.0692,
Washpit Farm,AquiMod,21/02/1962,46.0886,
Washpit Farm,AquiMod,22/02/1962,46.1067,
Washpit Farm,AquiMod,23/02/1962,46.1236,
Washpit Farm,AquiMod,24/02/1962,46.1392,
Washpit Farm,AquiMod,25/02/1962,46.1535,
Washpit Farm,AquiMod,26/02/1962,46.1667,
Washpit Farm,AquiMod,27/02/1962,46.1788,
Washpit Farm,AquiMod,28/02/1962,46.1897,
Washpit Farm,AquiMod,01/03/1962,46.1996,44.6
Washpit Farm,AquiMod,02/03/1962,46.2084,
Washpit Farm,AquiMod,03/03/1962,46.2162,
Washpit Farm,AquiMod,04/03/1962,46.223,
Washpit Farm,AquiMod,05/03/1962,46.2289,
Washpit Farm,AquiMod,06/03/1962,46.2338,
Washpit Farm,AquiMod,07/03/1962,46.2379,
Washpit Farm,AquiMod,08/03/1962,46.2411,
Washpit Farm,AquiMod,09/03/1962,46.2434,
Washpit Farm,AquiMod,10/03/1962,46.2449,
Washpit Farm,AquiMod,11/03/1962,46.2457,
Washpit Farm,AquiMod,12/03/1962,46.2457,
Washpit Farm,AquiMod,13/03/1962,46.2449,
Washpit Farm,AquiMod,14/03/1962,46.2434,
Washpit Farm,AquiMod,15/03/1962,46.2412,
Washpit Farm,AquiMod,16/03/1962,46.2384,
Washpit Farm,AquiMod,17/03/1962,46.2349,
Washpit Farm,AquiMod,18/03/1962,46.2308,
Washpit Farm,AquiMod,19/03/1962,46.2261,
Washpit Farm,AquiMod,20/03/1962,46.2208,
Washpit Farm,AquiMod,21/03/1962,46.215,
Washpit Farm,AquiMod,22/03/1962,46.2086,
Washpit Farm,AquiMod,23/03/1962,46.2016,
Washpit Farm,AquiMod,24/03/1962,46.1941,
Washpit Farm,AquiMod,25/03/1962,46.1861,
Washpit Farm,AquiMod,26/03/1962,46.1777,
Washpit Farm,AquiMod,27/03/1962,46.1678,
