Borehole,Model,Date,Sim,Obs
West Woodyates Manor,AquiMod,01/01/1962,83.4787,74.35
West Woodyates Manor,AquiMod,02/01/1962,83.8754,
West Woodyates Manor,AquiMod,03/01/1962,84.2313,
West Woodyates Manor,AquiMod,04/01/1962,84.5476,
West Woodyates Manor,AquiMod,05/01/1962,84.8251,
West Woodyates Manor,AquiMod,06/01/1962,85.0654,
West Woodyates Manor,AquiMod,07/01/1962,85.2784,
West Woodyates Manor,AquiMod,08/01/1962,85.5105,75.87
West Woodyates Manor,AquiMod,09/01/1962,85.8652,
West Woodyates Manor,AquiMod,10/01/1962,86.4469,
West Woodyates Manor,AquiMod,11/01/1962,87.1922,
West Woodyates Manor,AquiMod,12/01/1962,87.9063,
West Woodyates Manor,AquiMod,13/01/1962,88.5497,
West Woodyates Manor,AquiMod,14/01/1962,89.1178,
West Woodyates Manor,AquiMod,15/01/1962,89.7554,85.93
West Woodyates Manor,AquiMod,16/01/1962,90.3925,
West Woodyates Manor,AquiMod,17/01/1962,91.0097,
West Woodyates Manor,AquiMod,18/01/1962,91.6315,
West Woodyates Manor,AquiMod,19/01/1962,92.1713,
West Woodyates Manor,AquiMod,20/01/1962,92.7634,
West Woodyates Manor,AquiMod,21/01/1962,93.6377,
West Woodyates Manor,AquiMod,22/01/1962,94.4136,90.5
West Woodyates Manor,AquiMod,23/01/1962,95.1849,
West Woodyates Manor,AquiMod,24/01/1962,95.8648,
West Woodyates Manor,AquiMod,25/01/1962,96.4169,
West Woodyates Manor,AquiMod,26/01/1962,96.8503,
West Woodyates Manor,AquiMod,27/01/1962,97.2485,
West Woodyates Manor,AquiMod,28/01/1962,97.5402,
West Woodyates Manor,AquiMod,29/01/1962,97.7342,98.43
West Woodyates Manor,AquiMod,30/01/1962,97.9021,
West Woodyates Manor,AquiMod,31/01/1962,98.0444,
West Woodyates Manor,AquiMod,01/02/1962,98.11,
West Woodyates Manor,AquiMod,02/02/1962,98.106,
West Woodyates Manor,AquiMod,03/02/1962,98.0405,
West Woodyates Manor,AquiMod,04/02/1962,97.9226,
West Woodyates Manor,AquiMod,05/02/1962,97.7593,99.34
West Woodyates Manor,AquiMod,06/02/1962,97.5737,
West Woodyates Manor,AquiMod,07/02/1962,97.3899,
West Woodyates Manor,AquiMod,08/02/1962,97.1761,
West Woodyates Manor,AquiMod,09/02/1962,96.9362,
West Woodyates Manor,AquiMod,10/02/1962,96.6743,97.21
West Woodyates Manor,AquiMod,11/02/1962,96.3945,
West Woodyates Manor,AquiMod,12/02/1962,96.1004,
West Woodyates Manor,AquiMod,13/02/1962,95.7954,
West Woodyates Manor,AquiMod,14/02/1962,95.4778,
West Woodyates Manor,AquiMod,15/02/1962,95.1539,
West Woodyates Manor,AquiMod,16/02/1962,94.8273,
West Woodyates Manor,AquiMod,17/02/1962,94.4998,
West Woodyates Manor,AquiMod,18/02/1962,94.1727,
West Woodyates Manor,AquiMod,19/02/1962,93.8474,94.77
West Woodyates Manor,AquiMod,20/02/1962,93.5249,
West Woodyates Manor,AquiMod,21/02/1962,93.2059,
West Woodyates Manor,AquiMod,22/02/1962,92.8912,
West Woodyates Manor,AquiMod,23/02/1962,92.5812,
West Woodyates Manor,AquiMod,24/02/1962,92.2758,
West Woodyates Manor,AquiMod,25/02/1962,91.9742,
West Woodyates Manor,AquiMod,26/02/1962,91.6754,
West Woodyates Manor,AquiMod,27/02/1962,91.3809,92.94
West Woodyates Manor,AquiMod,28/02/1962,91.0934,
West Woodyates Manor,AquiMod,01/03/1962,90.8132,
West Woodyates Manor,AquiMod,02/03/1962,90.5401,
West Woodyates Manor,AquiMod,03/03/1962,90.2722,
West Woodyates Manor,AquiMod,04/03/1962,90.0104,
West Woodyates Manor,AquiMod,05/03/1962,89.755,92.33
West Woodyates Manor,AquiMod,06/03/1962,89.5053,
West Woodyates Manor,AquiMod,07/03/1962,89.2624,
West Woodyates Manor,AquiMod,08/03/1962,89.0244,
West Woodyates Manor,AquiMod,09/03/1962,88.7882,
West Woodyates Manor,AquiMod,10/03/1962,88.5589,
West Woodyates Manor,AquiMod,11/03/1962,88.3349,
West Woodyates Manor,AquiMod,12/03/1962,88.1169,92.03
West Woodyates Manor,AquiMod,13/03/1962,87.9053,
West Woodyates Manor,AquiMod,14/03/1962,87.6997,
West Woodyates Manor,AquiMod,15/03/1962,87.4988,
West Woodyates Manor,AquiMod,16/03/1962,87.3034,
West Woodyates Manor,AquiMod,17/03/1962,87.1132,
West Woodyates Manor,AquiMod,18/03/1962,86.9272,
West Woodyates Manor,AquiMod,19/03/1962,86.7452,85.93
West Woodyates Manor,AquiMod,20/03/1962,86.568,
West Woodyates Manor,AquiMod,21/03/1962,86.3951,
West Woodyates Manor,AquiMod,22/03/1962,86.2264,
West Woodyates Manor,AquiMod,23/03/1962,86.0616,
West Woodyates Manor,AquiMod,24/03/1962,85.9006,
West Woodyates Manor,AquiMod,25/03/1962,85.7429,
West Woodyates Manor,AquiMod,26/03/1962,85.5882,85.93
West Woodyates Manor,AquiMod,27/03/1962,85.4367,
West Woodyates Manor,AquiMod,28/03/1962,85.2883,
West Woodyates Manor,AquiMod,29/03/1962,85.1429,
West Woodyates Manor,AquiMod,30/03/1962,85.0002,
West Woodyates Manor,AquiMod,31/03/1962,84.8602,
West Woodyates Manor,AquiMod,01/04/1962,84.7227,
West Woodyates Manor,AquiMod,02/04/1962,84.5876,85.32
West Woodyates Manor,AquiMod,03/04/1962,84.4547,
West Woodyates Manor,AquiMod,04/04/1962,84.324,
West Woodyates Manor,AquiMod,05/04/1962,84.1953,
West Woodyates Manor,AquiMod,06/04/1962,84.0685,
West Woodyates Manor,AquiMod,07/04/1962,83.9436,
West Woodyates Manor,AquiMod,08/04/1962,83.8203,
West Woodyates Manor,AquiMod,09/04/1962,83.6987,85.02
West Woodyates Manor,AquiMod,10/04/1962,83.5787,
West Woodyates Manor,AquiMod,11/04/1962,83.4601,
West Woodyates Manor,AquiMod,12/04/1962,83.3429,
West Woodyates Manor,AquiMod,13/04/1962,83.227,
West Woodyates Manor,AquiMod,14/04/1962,83.1123,
West Woodyates Manor,AquiMod,15/04/1962,82.9988,
West Woodyates Manor,AquiMod,16/04/1962,82.8864,83.8
West Woodyates Manor,AquiMod,17/04/1962,82.775,
West Woodyates Manor,AquiMod,18/04/1962,82.6646,
West Woodyates Manor,AquiMod,19/04/1962,82.555,
West Woodyates Manor,AquiMod,20/04/1962,82.332,
West Woodyates Manor,AquiMod,21/04/1962,82.0711,
West Woodyates Manor,AquiMod,22/04/1962,81.8194,
West Woodyates Manor,AquiMod,23/04/1962,81.5763,80.45
West Woodyates Manor,AquiMod,24/04/1962,81.3414,
West Woodyates Manor,AquiMod,25/04/1962,81.1143,
West Woodyates Manor,AquiMod,26/04/1962,80.8947,
West Woodyates Manor,AquiMod,27/04/1962,80.6821,
West Woodyates Manor,AquiMod,28/04/1962,80.4763,
West Woodyates Manor,AquiMod,29/04/1962,80.2769,
West Woodyates Manor,AquiMod,30/04/1962,80.0836,79.84
West Woodyates Manor,AquiMod,01/05/1962,79.8961,
West Woodyates Manor,AquiMod,02/05/1962,79.7142,
