Borehole,Model,Date,Sim,Obs
Wetwang,AquiMod,01/01/1962,22.141,
Wetwang,AquiMod,02/01/1962,22.141,
Wetwang,AquiMod,03/01/1962,22.1344,
Wetwang,AquiMod,04/01/1962,22.1705,
Wetwang,AquiMod,05/01/1962,22.2553,
Wetwang,AquiMod,06/01/1962,22.3644,
Wetwang,AquiMod,07/01/1962,22.4874,
Wetwang,AquiMod,08/01/1962,22.6264,
Wetwang,AquiMod,09/01/1962,22.7783,
Wetwang,AquiMod,10/01/1962,22.9584,
Wetwang,AquiMod,11/01/1962,23.1647,
Wetwang,AquiMod,12/01/1962,23.381,
Wetwang,AquiMod,13/01/1962,23.6124,
Wetwang,AquiMod,14/01/1962,23.8451,
Wetwang,AquiMod,15/01/1962,24.0802,
Wetwang,AquiMod,16/01/1962,24.3084,
Wetwang,AquiMod,17/01/1962,24.5246,
Wetwang,AquiMod,18/01/1962,24.7383,
Wetwang,AquiMod,19/01/1962,24.9395,
Wetwang,AquiMod,20/01/1962,25.1316,
Wetwang,AquiMod,21/01/1962,25.3346,
Wetwang,AquiMod,22/01/1962,25.5296,
Wetwang,AquiMod,23/01/1962,25.7201,
Wetwang,AquiMod,24/01/1962,25.8991,
Wetwang,AquiMod,25/01/1962,26.0629,
Wetwang,AquiMod,26/01/1962,26.2077,
Wetwang,AquiMod,27/01/1962,26.3333,
Wetwang,AquiMod,28/01/1962,26.4385,
Wetwang,AquiMod,29/01/1962,26.5229,
Wetwang,AquiMod,30/01/1962,26.6081,
Wetwang,AquiMod,31/01/1962,26.6893,
Wetwang,AquiMod,01/02/1962,26.7595,
Wetwang,AquiMod,02/02/1962,26.8163,
Wetwang,AquiMod,03/02/1962,26.8584,
Wetwang,AquiMod,04/02/1962,26.889,
Wetwang,AquiMod,05/02/1962,26.9055,
Wetwang,AquiMod,06/02/1962,26.9076,
Wetwang,AquiMod,07/02/1962,26.8953,
Wetwang,AquiMod,08/02/1962,26.8689,
Wetwang,AquiMod,09/02/1962,26.8289,
Wetwang,AquiMod,10/02/1962,26.7759,
Wetwang,AquiMod,11/02/1962,26.7108,
Wetwang,AquiMod,12/02/1962,26.6343,
Wetwang,AquiMod,13/02/1962,26.5474,
Wetwang,AquiMod,14/02/1962,26.4509,
Wetwang,AquiMod,15/02/1962,26.3458,
Wetwang,AquiMod,16/02/1962,26.2328,
Wetwang,AquiMod,17/02/1962,26.1111,
Wetwang,AquiMod,18/02/1962,25.9824,
Wetwang,AquiMod,19/02/1962,25.8492,
Wetwang,AquiMod,20/02/1962,25.7121,
Wetwang,AquiMod,21/02/1962,25.5716,
Wetwang,AquiMod,22/02/1962,25.4282,
Wetwang,AquiMod,23/02/1962,25.282,
Wetwang,AquiMod,24/02/1962,25.1339,
Wetwang,AquiMod,25/02/1962,24.985,
Wetwang,AquiMod,26/02/1962,24.8353,
Wetwang,AquiMod,27/02/1962,24.6856,
Wetwang,AquiMod,28/02/1962,24.536,
Wetwang,AquiMod,01/03/1962,24.3871,
Wetwang,AquiMod,02/03/1962,24.239,
Wetwang,AquiMod,03/03/1962,24.0915,
Wetwang,AquiMod,04/03/1962,23.9453,
Wetwang,AquiMod,05/03/1962,23.8001,
Wetwang,AquiMod,06/03/1962,23.6554,
Wetwang,AquiMod,07/03/1962,23.5125,
Wetwang,AquiMod,08/03/1962,23.3713,
Wetwang,AquiMod,09/03/1962,23.2322,
Wetwang,AquiMod,10/03/1962,23.0955,
Wetwang,AquiMod,11/03/1962,22.9611,
Wetwang,AquiMod,12/03/1962,22.8286,
Wetwang,AquiMod,13/03/1962,22.6981,
Wetwang,AquiMod,14/03/1962,22.5695,
Wetwang,AquiMod,15/03/1962,22.4417,
Wetwang,AquiMod,16/03/1962,22.3154,
Wetwang,AquiMod,17/03/1962,22.1909,
Wetwang,AquiMod,18/03/1962,22.0681,
Wetwang,AquiMod,19/03/1962,21.9468,
Wetwang,AquiMod,20/03/1962,21.8269,
Wetwang,AquiMod,21/03/1962,21.7083,
Wetwang,AquiMod,22/03/1962,21.5912,
Wetwang,AquiMod,23/03/1962,21.4753,
Wetwang,AquiMod,24/03/1962,21.415,
Wetwang,AquiMod,25/03/1962,21.3857,
Wetwang,AquiMod,26/03/1962,21.3565,
Wetwang,AquiMod,27/03/1962,21.3274,
Wetwang,AquiMod,28/03/1962,21.2985,
Wetwang,AquiMod,29/03/1962,21.2697,
Wetwang,AquiMod,30/03/1962,21.241,
Wetwang,AquiMod,31/03/1962,21.2124,
Wetwang,AquiMod,01/04/1962,21.184,
Wetwang,AquiMod,02/04/1962,21.1556,
Wetwang,AquiMod,03/04/1962,21.1274,
Wetwang,AquiMod,04/04/1962,21.0997,
Wetwang,AquiMod,05/04/1962,21.0721,
Wetwang,AquiMod,06/04/1962,21.0464,
Wetwang,AquiMod,07/04/1962,21.0255,
Wetwang,AquiMod,08/04/1962,21.0134,
Wetwang,AquiMod,09/04/1962,21.0058,
Wetwang,AquiMod,10/04/1962,21.0014,
Wetwang,AquiMod,11/04/1962,20.9992,
Wetwang,AquiMod,12/04/1962,20.9986,
Wetwang,AquiMod,13/04/1962,20.9988,
Wetwang,AquiMod,14/04/1962,20.9994,
Wetwang,AquiMod,15/04/1962,21.0,
Wetwang,AquiMod,16/04/1962,21.0002,
Wetwang,AquiMod,17/04/1962,20.9997,
Wetwang,AquiMod,18/04/1962,20.9983,
Wetwang,AquiMod,19/04/1962,20.9958,
Wetwang,AquiMod,20/04/1962,20.9921,
Wetwang,AquiMod,21/04/1962,20.9926,
Wetwang,AquiMod,22/04/1962,20.9942,
Wetwang,AquiMod,23/04/1962,20.996,
Wetwang,AquiMod,24/04/1962,20.9976,
Wetwang,AquiMod,25/04/1962,20.9987,
Wetwang,AquiMod,26/04/1962,20.9989,
Wetwang,AquiMod,27/04/1962,20.998,
Wetwang,AquiMod,28/04/1962,20.996,
Wetwang,AquiMod,29/04/1962,20.9927,
Wetwang,AquiMod,30/04/1962,20.9881,
Wetwang,AquiMod,01/05/1962,20.982,
Wetwang,AquiMod,02/05/1962,20.9745,
Wetwang,AquiMod,03/05/1962,20.9657,
Wetwang,AquiMod,04/05/1962,20.9554,
Wetwang,AquiMod,05/05/1962,20.9438,
Wetwang,AquiMod,06/05/1962,20.9309,
Wetwang,AquiMod,07/05/1962,20.9169,
Wetwang,AquiMod,08/05/1962,20.9016,
Wetwang,AquiMod,09/05/1962,20.8853,
Wetwang,AquiMod,10/05/1962,20.868,
Wetwang,AquiMod,11/05/1962,20.8498,
Wetwang,AquiMod,12/05/1962,20.8307,
Wetwang,AquiMod,13/05/1962,20.8109,
Wetwang,AquiMod,14/05/1962,20.7904,
Wetwang,AquiMod,15/05/1962,20.7693,
Wetwang,AquiMod,16/05/1962,20.7476,
Wetwang,AquiMod,17/05/1962,20.7255,
Wetwang,AquiMod,18/05/1962,20.7029,
Wetwang,AquiMod,19/05/1962,20.68,
Wetwang,AquiMod,20/05/1962,20.6589,
Wetwang,AquiMod,21/05/1962,20.6395,
Wetwang,AquiMod,22/05/1962,20.6208,
Wetwang,AquiMod,23/05/1962,20.6029,
Wetwang,AquiMod,24/05/1962,20.5855,
Wetwang,AquiMod,25/05/1962,20.5684,
Wetwang,AquiMod,26/05/1962,20.5514,
Wetwang,AquiMod,27/05/1962,20.5346,
Wetwang,AquiMod,28/05/1962,20.5176,
Wetwang,AquiMod,29/05/1962,20.5006,
Wetwang,AquiMod,30/05/1962,20.4833,
Wetwang,AquiMod,31/05/1962,20.4658,
Wetwang,AquiMod,01/06/1962,20.448,
Wetwang,AquiMod,02/06/1962,20.4299,
Wetwang,AquiMod,03/06/1962,20.4115,
Wetwang,AquiMod,04/06/1962,20.3925,
Wetwang,AquiMod,05/06/1962,20.3731,
Wetwang,AquiMod,06/06/1962,20.3535,
Wetwang,AquiMod,07/06/1962,20.3336,
Wetwang,AquiMod,08/06/1962,20.3133,
Wetwang,AquiMod,09/06/1962,20.2928,
Wetwang,AquiMod,10/06/1962,20.2721,
Wetwang,AquiMod,11/06/1962,20.251,
Wetwang,AquiMod,12/06/1962,20.2298,
Wetwang,AquiMod,13/06/1962,20.2083,
Wetwang,AquiMod,14/06/1962,20.1867,
Wetwang,AquiMod,15/06/1962,20.1649,
Wetwang,AquiMod,16/06/1962,20.1429,
Wetwang,AquiMod,17/06/1962,20.1208,
Wetwang,AquiMod,18/06/1962,20.0987,
Wetwang,AquiMod,19/06/1962,20.0764,
Wetwang,AquiMod,20/06/1962,20.0541,
Wetwang,AquiMod,21/06/1962,20.0317,
Wetwang,AquiMod,22/06/1962,20.0093,
Wetwang,AquiMod,23/06/1962,19.9869,
Wetwang,AquiMod,24/06/1962,19.9645,
Wetwang,AquiMod,25/06/1962,19.942,
Wetwang,AquiMod,26/06/1962,19.9196,
Wetwang,AquiMod,27/06/1962,19.8972,
Wetwang,AquiMod,28/06/1962,19.8749,
Wetwang,AquiMod,29/06/1962,19.8526,
Wetwang,AquiMod,30/06/1962,19.8303,
Wetwang,AquiMod,01/07/1962,19.8081,
Wetwang,AquiMod,02/07/1962,19.7859,
Wetwang,AquiMod,03/07/1962,19.7637,
Wetwang,AquiMod,04/07/1962,19.7415,
Wetwang,AquiMod,05/07/1962,19.7194,
Wetwang,AquiMod,06/07/1962,19.6974,
Wetwang,AquiMod,07/07/1962,19.6755,
Wetwang,AquiMod,08/07/1962,19.6537,
Wetwang,AquiMod,09/07/1962,19.6319,
Wetwang,AquiMod,10/07/1962,19.6125,
Wetwang,AquiMod,11/07/1962,19.5961,
Wetwang,AquiMod,12/07/1962,19.5814,
Wetwang,AquiMod,13/07/1962,19.5679,
Wetwang,AquiMod,14/07/1962,19.5552,
Wetwang,AquiMod,15/07/1962,19.5432,
Wetwang,AquiMod,16/07/1962,19.5315,
Wetwang,AquiMod,17/07/1962,19.52,
Wetwang,AquiMod,18/07/1962,19.5086,
Wetwang,AquiMod,19/07/1962,19.4971,
Wetwang,AquiMod,20/07/1962,19.4854,
Wetwang,AquiMod,21/07/1962,19.4734,
Wetwang,AquiMod,22/07/1962,19.4611,
Wetwang,AquiMod,23/07/1962,19.4485,
Wetwang,AquiMod,24/07/1962,19.4354,
Wetwang,AquiMod,25/07/1962,19.4219,
Wetwang,AquiMod,26/07/1962,19.4079,
Wetwang,AquiMod,27/07/1962,19.3935,
Wetwang,AquiMod,28/07/1962,19.3786,
Wetwang,AquiMod,29/07/1962,19.3633,
Wetwang,AquiMod,30/07/1962,19.3476,
Wetwang,AquiMod,31/07/1962,19.3314,
Wetwang,AquiMod,01/08/1962,19.3149,
Wetwang,AquiMod,02/08/1962,19.2981,
Wetwang,AquiMod,03/08/1962,19.2809,
Wetwang,AquiMod,04/08/1962,19.2634,
Wetwang,AquiMod,05/08/1962,19.2457,
Wetwang,AquiMod,06/08/1962,19.2285,
Wetwang,AquiMod,07/08/1962,19.2133,
Wetwang,AquiMod,08/08/1962,19.1989,
Wetwang,AquiMod,09/08/1962,19.185,
Wetwang,AquiMod,10/08/1962,19.1715,
Wetwang,AquiMod,11/08/1962,19.1582,
Wetwang,AquiMod,12/08/1962,19.145,
Wetwang,AquiMod,13/08/1962,19.1318,
Wetwang,AquiMod,14/08/1962,19.1224,
Wetwang,AquiMod,15/08/1962,19.1146,
Wetwang,AquiMod,16/08/1962,19.1078,
Wetwang,AquiMod,17/08/1962,19.1016,
Wetwang,AquiMod,18/08/1962,19.0957,
Wetwang,AquiMod,19/08/1962,19.0899,
Wetwang,AquiMod,20/08/1962,19.0841,
Wetwang,AquiMod,21/08/1962,19.0779,
Wetwang,AquiMod,22/08/1962,19.0715,
Wetwang,AquiMod,23/08/1962,19.0644,
Wetwang,AquiMod,24/08/1962,19.0567,
Wetwang,AquiMod,25/08/1962,19.0485,
Wetwang,AquiMod,26/08/1962,19.0396,
Wetwang,AquiMod,27/08/1962,19.0301,
Wetwang,AquiMod,28/08/1962,19.0199,
Wetwang,AquiMod,29/08/1962,19.0091,
Wetwang,AquiMod,30/08/1962,18.9976,
Wetwang,AquiMod,31/08/1962,18.9855,
Wetwang,AquiMod,01/09/1962,18.9728,
