Borehole,Model,Date,precipwsnow,PET
Ampney Crucis,AquiMod,01/01/1961,7.645896553993225,0.4709677419354838
Ampney Crucis,AquiMod,02/01/1961,9.279221415519714,0.4709677419354838
Ampney Crucis,AquiMod,03/01/1961,3.667338103055954,0.4709677419354838
Ampney Crucis,AquiMod,04/01/1961,0.0044843601062893,0.4709677419354838
Ampney Crucis,AquiMod,05/01/1961,7.460878789424896,0.4709677419354838
Ampney Crucis,AquiMod,06/01/1961,0.016575398738496,0.4709677419354838
Ampney Crucis,AquiMod,07/01/1961,3.627979218959808,0.4709677419354838
Ampney Crucis,AquiMod,08/01/1961,0.0445193306077271,0.4709677419354838
Ampney Crucis,AquiMod,09/01/1961,12.246527671813965,0.4709677419354838
Ampney Crucis,AquiMod,10/01/1961,1.7114255279302597,0.4709677419354838
Ampney Crucis,AquiMod,11/01/1961,0.0053950030996929,0.4709677419354838
Ampney Crucis,AquiMod,12/01/1961,0.1343377828598022,0.4709677419354838
Ampney Crucis,AquiMod,13/01/1961,1.778714969754219,0.4709677419354838
Ampney Crucis,AquiMod,14/01/1961,0.0415586410090327,0.4709677419354838
Ampney Crucis,AquiMod,15/01/1961,0.0023735255090286,0.4709677419354838
Ampney Crucis,AquiMod,16/01/1961,0.0003117647102044,0.4709677419354838
Ampney Crucis,AquiMod,17/01/1961,0.0134370736195705,0.4709677419354838
Ampney Crucis,AquiMod,18/01/1961,0.1562066879123449,0.4709677419354838
Ampney Crucis,AquiMod,19/01/1961,4.713186174631119,0.4709677419354838
Ampney Crucis,AquiMod,20/01/1961,5.410829961299896,0.4709677419354838
Ampney Crucis,AquiMod,21/01/1961,0.2529171332716942,0.4709677419354838
Ampney Crucis,AquiMod,22/01/1961,0.1000260771252214,0.4709677419354838
Ampney Crucis,AquiMod,23/01/1961,0.00188784878992,0.4709677419354838
Ampney Crucis,AquiMod,24/01/1961,0.0005648622645821,0.4709677419354838
Ampney Crucis,AquiMod,25/01/1961,0.0,0.4709677419354838
Ampney Crucis,AquiMod,26/01/1961,1.1288962066173551,0.4709677419354838
Ampney Crucis,AquiMod,27/01/1961,9.478492438793182,0.4709677419354838
Ampney Crucis,AquiMod,28/01/1961,11.16896140575409,0.4709677419354838
Ampney Crucis,AquiMod,29/01/1961,10.952784895896912,0.4709677419354838
Ampney Crucis,AquiMod,30/01/1961,0.4676565043628216,0.4709677419354838
Ampney Crucis,AquiMod,31/01/1961,5.866830945014954,0.4709677419354838
Ampney Crucis,AquiMod,01/02/1961,6.090617954730988,0.7321428571428571
Ampney Crucis,AquiMod,02/02/1961,4.70316481590271,0.7321428571428571
Ampney Crucis,AquiMod,03/02/1961,3.063443750143051,0.7321428571428571
Ampney Crucis,AquiMod,04/02/1961,0.7652270272374153,0.7321428571428571
Ampney Crucis,AquiMod,05/02/1961,2.600429654121399,0.7321428571428571
Ampney Crucis,AquiMod,06/02/1961,3.96640008687973,0.7321428571428571
Ampney Crucis,AquiMod,07/02/1961,3.0537185966968536,0.7321428571428571
Ampney Crucis,AquiMod,08/02/1961,4.08572718501091,0.7321428571428571
Ampney Crucis,AquiMod,09/02/1961,0.0071149343857541,0.7321428571428571
Ampney Crucis,AquiMod,10/02/1961,0.5632029250264168,0.7321428571428571
Ampney Crucis,AquiMod,11/02/1961,0.426247701048851,0.7321428571428571
Ampney Crucis,AquiMod,12/02/1961,0.001391117926687,0.7321428571428571
Ampney Crucis,AquiMod,13/02/1961,8.052028488236829e-05,0.7321428571428571
Ampney Crucis,AquiMod,14/02/1961,0.0002460526884533,0.7321428571428571
Ampney Crucis,AquiMod,15/02/1961,0.0006474996480392,0.7321428571428571
Ampney Crucis,AquiMod,16/02/1961,0.099160548299551,0.7321428571428571
Ampney Crucis,AquiMod,17/02/1961,0.0979620022699236,0.7321428571428571
Ampney Crucis,AquiMod,18/02/1961,5.939283983025234e-05,0.7321428571428571
Ampney Crucis,AquiMod,19/02/1961,0.0,0.7321428571428571
Ampney Crucis,AquiMod,20/02/1961,0.0381269175559282,0.7321428571428571
Ampney Crucis,AquiMod,21/02/1961,0.0004224388922011,0.7321428571428571
Ampney Crucis,AquiMod,22/02/1961,0.002464055258315,0.7321428571428571
Ampney Crucis,AquiMod,23/02/1961,4.362062245607376,0.7321428571428571
Ampney Crucis,AquiMod,24/02/1961,15.44357931613922,0.7321428571428571
Ampney Crucis,AquiMod,25/02/1961,6.856615900993347,0.7321428571428571
Ampney Crucis,AquiMod,26/02/1961,5.263328552246094,0.7321428571428571
Ampney Crucis,AquiMod,27/02/1961,8.665882170200348,0.7321428571428571
Ampney Crucis,AquiMod,28/02/1961,0.0420924483332783,0.7321428571428571
Ampney Crucis,AquiMod,01/03/1961,0.0394093673676252,1.2935483870967743
Ampney Crucis,AquiMod,02/03/1961,0.0032598770048934,1.2935483870967743
Ampney Crucis,AquiMod,03/03/1961,8.319258404299035e-05,1.2935483870967743
Ampney Crucis,AquiMod,04/03/1961,2.3149619664764032e-05,1.2935483870967743
Ampney Crucis,AquiMod,05/03/1961,0.0,1.2935483870967743
Ampney Crucis,AquiMod,06/03/1961,0.0002659888214111,1.2935483870967743
Ampney Crucis,AquiMod,07/03/1961,8.319258404299035e-05,1.2935483870967743
Ampney Crucis,AquiMod,08/03/1961,8.319258404299035e-05,1.2935483870967743
Ampney Crucis,AquiMod,09/03/1961,0.0,1.2935483870967743
Ampney Crucis,AquiMod,10/03/1961,2.1375264168455036e-05,1.2935483870967743
Ampney Crucis,AquiMod,11/03/1961,0.0,1.2935483870967743
Ampney Crucis,AquiMod,12/03/1961,0.0011962352800765,1.2935483870967743
Ampney Crucis,AquiMod,13/03/1961,0.0,1.2935483870967743
Ampney Crucis,AquiMod,14/03/1961,0.0001327717372987,1.2935483870967743
Ampney Crucis,AquiMod,15/03/1961,0.0,1.2935483870967743
Ampney Crucis,AquiMod,16/03/1961,0.0,1.2935483870967743
Ampney Crucis,AquiMod,17/03/1961,0.0008958674516179,1.2935483870967743
Ampney Crucis,AquiMod,18/03/1961,0.5454626195132732,1.2935483870967743
Ampney Crucis,AquiMod,19/03/1961,0.0260860949056223,1.2935483870967743
Ampney Crucis,AquiMod,20/03/1961,0.1332427076995372,1.2935483870967743
Ampney Crucis,AquiMod,21/03/1961,0.2516034599393606,1.2935483870967743
Ampney Crucis,AquiMod,22/03/1961,0.0095271971076726,1.2935483870967743
Ampney Crucis,AquiMod,23/03/1961,0.0005477579907164,1.2935483870967743
Ampney Crucis,AquiMod,24/03/1961,0.0002260576347907,1.2935483870967743
Ampney Crucis,AquiMod,25/03/1961,0.0,1.2935483870967743
Ampney Crucis,AquiMod,26/03/1961,0.0221397499553859,1.2935483870967743
Ampney Crucis,AquiMod,27/03/1961,0.0004728696349047,1.2935483870967743
Ampney Crucis,AquiMod,28/03/1961,0.0039213782583829,1.2935483870967743
Ampney Crucis,AquiMod,29/03/1961,1.4254946857690811,1.2935483870967743
Ampney Crucis,AquiMod,30/03/1961,0.1274168323725462,1.2935483870967743
Ampney Crucis,AquiMod,31/03/1961,0.9187393337488174,1.2935483870967743
Ampney Crucis,AquiMod,01/04/1961,0.3791643194854259,1.5833333333333333
Ampney Crucis,AquiMod,02/04/1961,4.979892522096634,1.5833333333333333
Ampney Crucis,AquiMod,03/04/1961,8.009617626667023,1.5833333333333333
Ampney Crucis,AquiMod,04/04/1961,7.279980361461639,1.5833333333333333
Ampney Crucis,AquiMod,05/04/1961,14.000314474105837,1.5833333333333333
Ampney Crucis,AquiMod,06/04/1961,1.6702012866735458,1.5833333333333333
Ampney Crucis,AquiMod,07/04/1961,2.995576053857804,1.5833333333333333
Ampney Crucis,AquiMod,08/04/1961,0.1345306448638439,1.5833333333333333
Ampney Crucis,AquiMod,09/04/1961,0.4821819067001343,1.5833333333333333
Ampney Crucis,AquiMod,10/04/1961,16.59976363182068,1.5833333333333333
Ampney Crucis,AquiMod,11/04/1961,0.9550946429371834,1.5833333333333333
Ampney Crucis,AquiMod,12/04/1961,1.090257853269577,1.5833333333333333
Ampney Crucis,AquiMod,13/04/1961,6.612199306488037,1.5833333333333333
Ampney Crucis,AquiMod,14/04/1961,1.7393966168165207,1.5833333333333333
Ampney Crucis,AquiMod,15/04/1961,0.040030654054135,1.5833333333333333
Ampney Crucis,AquiMod,16/04/1961,0.0186225507641211,1.5833333333333333
Ampney Crucis,AquiMod,17/04/1961,0.0022009267413523,1.5833333333333333
Ampney Crucis,AquiMod,18/04/1961,0.0,1.5833333333333333
Ampney Crucis,AquiMod,19/04/1961,11.7804354429245,1.5833333333333333
Ampney Crucis,AquiMod,20/04/1961,6.369914829730988,1.5833333333333333
Ampney Crucis,AquiMod,21/04/1961,2.13942514359951,1.5833333333333333
Ampney Crucis,AquiMod,22/04/1961,16.053478240966797,1.5833333333333333
Ampney Crucis,AquiMod,23/04/1961,1.4059014469385147,1.5833333333333333
Ampney Crucis,AquiMod,24/04/1961,0.4805707447230816,1.5833333333333333
Ampney Crucis,AquiMod,25/04/1961,16.122551321983337,1.5833333333333333
Ampney Crucis,AquiMod,26/04/1961,2.367941826581955,1.5833333333333333
Ampney Crucis,AquiMod,27/04/1961,0.0033001235569827,1.5833333333333333
Ampney Crucis,AquiMod,28/04/1961,0.0882003842853009,1.5833333333333333
Ampney Crucis,AquiMod,29/04/1961,0.0017547232855577,1.5833333333333333
Ampney Crucis,AquiMod,30/04/1961,1.477362960577011,1.5833333333333333
Ampney Crucis,AquiMod,01/05/1961,3.708437532186508,2.835483870967742
Ampney Crucis,AquiMod,02/05/1961,3.907920837402344,2.835483870967742
Ampney Crucis,AquiMod,03/05/1961,7.278072834014893,2.835483870967742
Ampney Crucis,AquiMod,04/05/1961,8.148780763149261,2.835483870967742
Ampney Crucis,AquiMod,05/05/1961,0.066020734142512,2.835483870967742
Ampney Crucis,AquiMod,06/05/1961,1.8541777580976488,2.835483870967742
Ampney Crucis,AquiMod,07/05/1961,0.0090242439182475,2.835483870967742
Ampney Crucis,AquiMod,08/05/1961,0.0,2.835483870967742
Ampney Crucis,AquiMod,09/05/1961,0.0,2.835483870967742
Ampney Crucis,AquiMod,10/05/1961,0.0,2.835483870967742
Ampney Crucis,AquiMod,11/05/1961,0.0,2.835483870967742
Ampney Crucis,AquiMod,12/05/1961,0.0,2.835483870967742
Ampney Crucis,AquiMod,13/05/1961,0.0013973940076539,2.835483870967742
Ampney Crucis,AquiMod,14/05/1961,3.444562077522278,2.835483870967742
Ampney Crucis,AquiMod,15/05/1961,0.0,2.835483870967742
Ampney Crucis,AquiMod,16/05/1961,0.0,2.835483870967742
Ampney Crucis,AquiMod,17/05/1961,0.0002103789875036,2.835483870967742
Ampney Crucis,AquiMod,18/05/1961,0.0,2.835483870967742
Ampney Crucis,AquiMod,19/05/1961,0.0,2.835483870967742
Ampney Crucis,AquiMod,20/05/1961,0.0,2.835483870967742
Ampney Crucis,AquiMod,21/05/1961,0.0,2.835483870967742
Ampney Crucis,AquiMod,22/05/1961,0.0,2.835483870967742
Ampney Crucis,AquiMod,23/05/1961,0.0,2.835483870967742
Ampney Crucis,AquiMod,24/05/1961,0.0,2.835483870967742
Ampney Crucis,AquiMod,25/05/1961,0.0,2.835483870967742
Ampney Crucis,AquiMod,26/05/1961,0.0041890645225066,2.835483870967742
Ampney Crucis,AquiMod,27/05/1961,0.1387234097346663,2.835483870967742
Ampney Crucis,AquiMod,28/05/1961,0.0116527792415581,2.835483870967742
Ampney Crucis,AquiMod,29/05/1961,2.201638057827949,2.835483870967742
Ampney Crucis,AquiMod,30/05/1961,0.0055228884448297,2.835483870967742
Ampney Crucis,AquiMod,31/05/1961,0.002512144841603,2.835483870967742
Ampney Crucis,AquiMod,01/06/1961,0.0283789632376283,3.26
Ampney Crucis,AquiMod,02/06/1961,0.0,3.26
Ampney Crucis,AquiMod,03/06/1961,0.0016344092873623,3.26
Ampney Crucis,AquiMod,04/06/1961,0.0005634068620565,3.26
Ampney Crucis,AquiMod,05/06/1961,0.0,3.26
Ampney Crucis,AquiMod,06/06/1961,0.0492715155705809,3.26
Ampney Crucis,AquiMod,07/06/1961,0.4599495455622673,3.26
Ampney Crucis,AquiMod,08/06/1961,0.355275347828865,3.26
Ampney Crucis,AquiMod,09/06/1961,0.0012332576006883,3.26
Ampney Crucis,AquiMod,10/06/1961,0.2965172119438648,3.26
Ampney Crucis,AquiMod,11/06/1961,0.001442050357582,3.26
Ampney Crucis,AquiMod,12/06/1961,27.849945783615112,3.26
Ampney Crucis,AquiMod,13/06/1961,0.0001172785723611,3.26
Ampney Crucis,AquiMod,14/06/1961,0.0024546929780626,3.26
Ampney Crucis,AquiMod,15/06/1961,0.4235979281365871,3.26
Ampney Crucis,AquiMod,16/06/1961,0.0,3.26
Ampney Crucis,AquiMod,17/06/1961,0.7688969448208809,3.26
Ampney Crucis,AquiMod,18/06/1961,0.0005400682384788,3.26
Ampney Crucis,AquiMod,19/06/1961,0.0033958837011596,3.26
Ampney Crucis,AquiMod,20/06/1961,0.0098336035734973,3.26
Ampney Crucis,AquiMod,21/06/1961,2.8228554725646973,3.26
Ampney Crucis,AquiMod,22/06/1961,0.0048862293187994,3.26
Ampney Crucis,AquiMod,23/06/1961,0.000386349252949,3.26
Ampney Crucis,AquiMod,24/06/1961,0.0,3.26
Ampney Crucis,AquiMod,25/06/1961,0.4900287427008152,3.26
Ampney Crucis,AquiMod,26/06/1961,1.5221130102872849,3.26
Ampney Crucis,AquiMod,27/06/1961,0.0006560186411661,3.26
Ampney Crucis,AquiMod,28/06/1961,0.0,3.26
Ampney Crucis,AquiMod,29/06/1961,0.0,3.26
Ampney Crucis,AquiMod,30/06/1961,0.0010848522506421,3.26
Ampney Crucis,AquiMod,01/07/1961,5.14858078956604,2.980645161290323
Ampney Crucis,AquiMod,02/07/1961,3.821675509214401,2.980645161290323
Ampney Crucis,AquiMod,03/07/1961,0.0001590611982464,2.980645161290323
Ampney Crucis,AquiMod,04/07/1961,0.0,2.980645161290323
Ampney Crucis,AquiMod,05/07/1961,0.0,2.980645161290323
Ampney Crucis,AquiMod,06/07/1961,0.0,2.980645161290323
Ampney Crucis,AquiMod,07/07/1961,0.7074086964130402,2.980645161290323
Ampney Crucis,AquiMod,08/07/1961,0.0006443385827878,2.980645161290323
Ampney Crucis,AquiMod,09/07/1961,0.0001925927781485,2.980645161290323
Ampney Crucis,AquiMod,10/07/1961,0.0042807832651305,2.980645161290323
Ampney Crucis,AquiMod,11/07/1961,3.214192509651184,2.980645161290323
Ampney Crucis,AquiMod,12/07/1961,13.774834036827087,2.980645161290323
Ampney Crucis,AquiMod,13/07/1961,1.0390648320317268,2.980645161290323
Ampney Crucis,AquiMod,14/07/1961,16.828831911087036,2.980645161290323
Ampney Crucis,AquiMod,15/07/1961,9.451200544834135,2.980645161290323
Ampney Crucis,AquiMod,16/07/1961,0.1856096964329481,2.980645161290323
Ampney Crucis,AquiMod,17/07/1961,0.002567442934378,2.980645161290323
Ampney Crucis,AquiMod,18/07/1961,0.1510069360956549,2.980645161290323
Ampney Crucis,AquiMod,19/07/1961,0.0008217137328756,2.980645161290323
Ampney Crucis,AquiMod,20/07/1961,0.0007623976416653,2.980645161290323
Ampney Crucis,AquiMod,21/07/1961,0.0,2.980645161290323
Ampney Crucis,AquiMod,22/07/1961,0.0,2.980645161290323
Ampney Crucis,AquiMod,23/07/1961,0.0004033303303003,2.980645161290323
Ampney Crucis,AquiMod,24/07/1961,0.001207882327435,2.980645161290323
Ampney Crucis,AquiMod,25/07/1961,0.0132596000330522,2.980645161290323
Ampney Crucis,AquiMod,26/07/1961,0.0011705116630764,2.980645161290323
Ampney Crucis,AquiMod,27/07/1961,3.595185160636902,2.980645161290323
Ampney Crucis,AquiMod,28/07/1961,0.0110851638019084,2.980645161290323
Ampney Crucis,AquiMod,29/07/1961,0.0,2.980645161290323
Ampney Crucis,AquiMod,30/07/1961,0.0,2.980645161290323
Ampney Crucis,AquiMod,31/07/1961,0.0,2.980645161290323
Ampney Crucis,AquiMod,01/08/1961,0.1247925590723753,2.696774193548387
Ampney Crucis,AquiMod,02/08/1961,0.1082508498802781,2.696774193548387
Ampney Crucis,AquiMod,03/08/1961,1.9773239195346832,2.696774193548387
Ampney Crucis,AquiMod,04/08/1961,8.74885493516922,2.696774193548387
Ampney Crucis,AquiMod,05/08/1961,3.624703347682953,2.696774193548387
Ampney Crucis,AquiMod,06/08/1961,2.0664984583854675,2.696774193548387
Ampney Crucis,AquiMod,07/08/1961,10.597379088401794,2.696774193548387
Ampney Crucis,AquiMod,08/08/1961,1.7341715544462204,2.696774193548387
Ampney Crucis,AquiMod,09/08/1961,0.4593607522547245,2.696774193548387
Ampney Crucis,AquiMod,10/08/1961,9.123736023902891,2.696774193548387
Ampney Crucis,AquiMod,11/08/1961,0.2628867104649544,2.696774193548387
Ampney Crucis,AquiMod,12/08/1961,0.4280603192746639,2.696774193548387
Ampney Crucis,AquiMod,13/08/1961,0.5199702568352222,2.696774193548387
Ampney Crucis,AquiMod,14/08/1961,0.4848899431526661,2.696774193548387
Ampney Crucis,AquiMod,15/08/1961,0.1240176204591989,2.696774193548387
Ampney Crucis,AquiMod,16/08/1961,0.05687220627442,2.696774193548387
Ampney Crucis,AquiMod,17/08/1961,0.1113016828894615,2.696774193548387
Ampney Crucis,AquiMod,18/08/1961,0.0439794701524078,2.696774193548387
Ampney Crucis,AquiMod,19/08/1961,0.0171990026719868,2.696774193548387
Ampney Crucis,AquiMod,20/08/1961,5.339899718761444,2.696774193548387
Ampney Crucis,AquiMod,21/08/1961,1.7942621260881424,2.696774193548387
Ampney Crucis,AquiMod,22/08/1961,0.0047321034362539,2.696774193548387
Ampney Crucis,AquiMod,23/08/1961,1.6383830457925797,2.696774193548387
Ampney Crucis,AquiMod,24/08/1961,4.052259206771851,2.696774193548387
Ampney Crucis,AquiMod,25/08/1961,1.4182194620370865,2.696774193548387
Ampney Crucis,AquiMod,26/08/1961,0.0062375487177632,2.696774193548387
Ampney Crucis,AquiMod,27/08/1961,0.0002225958533017,2.696774193548387
Ampney Crucis,AquiMod,28/08/1961,0.0,2.696774193548387
Ampney Crucis,AquiMod,29/08/1961,0.0,2.696774193548387
Ampney Crucis,AquiMod,30/08/1961,0.0,2.696774193548387
Ampney Crucis,AquiMod,31/08/1961,0.0,2.696774193548387
Ampney Crucis,AquiMod,01/09/1961,0.0038263269525486,1.8433333333333333
Ampney Crucis,AquiMod,02/09/1961,0.1460347063839435,1.8433333333333333
Ampney Crucis,AquiMod,03/09/1961,8.546442985534668,1.8433333333333333
Ampney Crucis,AquiMod,04/09/1961,0.3526793997734785,1.8433333333333333
Ampney Crucis,AquiMod,05/09/1961,1.204206295311451,1.8433333333333333
Ampney Crucis,AquiMod,06/09/1961,4.095286637544632,1.8433333333333333
Ampney Crucis,AquiMod,07/09/1961,0.0028770540084224,1.8433333333333333
Ampney Crucis,AquiMod,08/09/1961,0.0,1.8433333333333333
Ampney Crucis,AquiMod,09/09/1961,0.0029593866784125,1.8433333333333333
Ampney Crucis,AquiMod,10/09/1961,4.731500446796417,1.8433333333333333
Ampney Crucis,AquiMod,11/09/1961,0.2533923480659723,1.8433333333333333
Ampney Crucis,AquiMod,12/09/1961,7.648895621299744,1.8433333333333333
Ampney Crucis,AquiMod,13/09/1961,8.65538775920868,1.8433333333333333
Ampney Crucis,AquiMod,14/09/1961,0.403445016592741,1.8433333333333333
Ampney Crucis,AquiMod,15/09/1961,0.1757859382778406,1.8433333333333333
Ampney Crucis,AquiMod,16/09/1961,0.5025820471346378,1.8433333333333333
Ampney Crucis,AquiMod,17/09/1961,0.5883300490677357,1.8433333333333333
Ampney Crucis,AquiMod,18/09/1961,9.522488016955322e-05,1.8433333333333333
Ampney Crucis,AquiMod,19/09/1961,0.0030202512716641,1.8433333333333333
Ampney Crucis,AquiMod,20/09/1961,0.0036387961008585,1.8433333333333333
Ampney Crucis,AquiMod,21/09/1961,0.004786651028553,1.8433333333333333
Ampney Crucis,AquiMod,22/09/1961,0.0,1.8433333333333333
Ampney Crucis,AquiMod,23/09/1961,0.0,1.8433333333333333
Ampney Crucis,AquiMod,24/09/1961,0.0,1.8433333333333333
Ampney Crucis,AquiMod,25/09/1961,0.0,1.8433333333333333
Ampney Crucis,AquiMod,26/09/1961,8.532149732112885,1.8433333333333333
Ampney Crucis,AquiMod,27/09/1961,2.734395116567612,1.8433333333333333
Ampney Crucis,AquiMod,28/09/1961,0.1267319032922387,1.8433333333333333
Ampney Crucis,AquiMod,29/09/1961,7.776436269283295,1.8433333333333333
Ampney Crucis,AquiMod,30/09/1961,2.474387690424919,1.8433333333333333
Ampney Crucis,AquiMod,01/10/1961,0.2493048626929521,1.2580645161290325
Ampney Crucis,AquiMod,02/10/1961,1.148484893143177,1.2580645161290325
Ampney Crucis,AquiMod,03/10/1961,1.0297879353165629,1.2580645161290325
Ampney Crucis,AquiMod,04/10/1961,6.55943089723587,1.2580645161290325
Ampney Crucis,AquiMod,05/10/1961,0.5223884247243404,1.2580645161290325
Ampney Crucis,AquiMod,06/10/1961,2.3685979545116425,1.2580645161290325
Ampney Crucis,AquiMod,07/10/1961,0.8354013711214066,1.2580645161290325
Ampney Crucis,AquiMod,08/10/1961,2.173607960343361,1.2580645161290325
Ampney Crucis,AquiMod,09/10/1961,1.052785024046898,1.2580645161290325
Ampney Crucis,AquiMod,10/10/1961,6.012317717075348,1.2580645161290325
Ampney Crucis,AquiMod,11/10/1961,0.2185032647103071,1.2580645161290325
Ampney Crucis,AquiMod,12/10/1961,0.0002618510607135,1.2580645161290325
Ampney Crucis,AquiMod,13/10/1961,0.0024241300852736,1.2580645161290325
Ampney Crucis,AquiMod,14/10/1961,0.0063812232983764,1.2580645161290325
