Borehole,Model,Date,precipwsnow,PET
Baydon Hole,AquiMod,01/01/1961,10.82817243039608,0.4387096774193548
Baydon Hole,AquiMod,02/01/1961,2.075908455997705,0.4387096774193548
Baydon Hole,AquiMod,03/01/1961,2.3729827161878347,0.4387096774193548
Baydon Hole,AquiMod,04/01/1961,0.0185886791150551,0.4387096774193548
Baydon Hole,AquiMod,05/01/1961,7.678808629512787,0.4387096774193548
Baydon Hole,AquiMod,06/01/1961,0.0374001229647547,0.4387096774193548
Baydon Hole,AquiMod,07/01/1961,4.423816416412592,0.4387096774193548
Baydon Hole,AquiMod,08/01/1961,0.1231091498630121,0.4387096774193548
Baydon Hole,AquiMod,09/01/1961,13.521927177906036,0.4387096774193548
Baydon Hole,AquiMod,10/01/1961,2.00977436080575,0.4387096774193548
Baydon Hole,AquiMod,11/01/1961,0.0,0.4387096774193548
Baydon Hole,AquiMod,12/01/1961,0.3711352120153606,0.4387096774193548
Baydon Hole,AquiMod,13/01/1961,1.9383751768618824,0.4387096774193548
Baydon Hole,AquiMod,14/01/1961,0.0169212287437403,0.4387096774193548
Baydon Hole,AquiMod,15/01/1961,0.0037748577487946,0.4387096774193548
Baydon Hole,AquiMod,16/01/1961,6.690340654813554e-05,0.4387096774193548
Baydon Hole,AquiMod,17/01/1961,0.0193376004026504,0.4387096774193548
Baydon Hole,AquiMod,18/01/1961,0.0446701499749906,0.4387096774193548
Baydon Hole,AquiMod,19/01/1961,6.075407229363918,0.4387096774193548
Baydon Hole,AquiMod,20/01/1961,3.1301692686975,0.4387096774193548
Baydon Hole,AquiMod,21/01/1961,0.5325447469949722,0.4387096774193548
Baydon Hole,AquiMod,22/01/1961,0.4374934136867523,0.4387096774193548
Baydon Hole,AquiMod,23/01/1961,0.0022274735601968,0.4387096774193548
Baydon Hole,AquiMod,24/01/1961,0.0,0.4387096774193548
Baydon Hole,AquiMod,25/01/1961,0.0,0.4387096774193548
Baydon Hole,AquiMod,26/01/1961,0.6477869525551796,0.4387096774193548
Baydon Hole,AquiMod,27/01/1961,9.683935418725014,0.4387096774193548
Baydon Hole,AquiMod,28/01/1961,11.250814601778984,0.4387096774193548
Baydon Hole,AquiMod,29/01/1961,13.324383825063704,0.4387096774193548
Baydon Hole,AquiMod,30/01/1961,0.3287832255009562,0.4387096774193548
Baydon Hole,AquiMod,31/01/1961,5.166012182831764,0.4387096774193548
Baydon Hole,AquiMod,01/02/1961,5.942696377635002,0.6571428571428571
Baydon Hole,AquiMod,02/02/1961,3.592741142958402,0.6571428571428571
Baydon Hole,AquiMod,03/02/1961,3.380706373602152,0.6571428571428571
