Borehole,Model,Date,precipwsnow,PET
Castle Farm,AquiMod,01/01/1961,6.216827392578125,0.5419354838709678
Castle Farm,AquiMod,02/01/1961,5.056241989135742,0.5419354838709678
Castle Farm,AquiMod,03/01/1961,1.4209048748016355,0.5419354838709678
Castle Farm,AquiMod,04/01/1961,2.4942476749420166,0.5419354838709678
Castle Farm,AquiMod,05/01/1961,3.136230945587158,0.5419354838709678
Castle Farm,AquiMod,06/01/1961,3.887390613555908,0.5419354838709678
Castle Farm,AquiMod,07/01/1961,2.565061092376709,0.5419354838709678
Castle Farm,AquiMod,08/01/1961,0.0105821918696165,0.5419354838709678
Castle Farm,AquiMod,09/01/1961,6.84077787399292,0.5419354838709678
Castle Farm,AquiMod,10/01/1961,2.988125324249268,0.5419354838709678
Castle Farm,AquiMod,11/01/1961,0.0199934244155883,0.5419354838709678
Castle Farm,AquiMod,12/01/1961,0.0574756637215614,0.5419354838709678
Castle Farm,AquiMod,13/01/1961,2.738521814346313,0.5419354838709678
Castle Farm,AquiMod,14/01/1961,0.0089855175465345,0.5419354838709678
Castle Farm,AquiMod,15/01/1961,0.0067469738423824,0.5419354838709678
Castle Farm,AquiMod,16/01/1961,0.0075562130659818,0.5419354838709678
Castle Farm,AquiMod,17/01/1961,0.0028763532172888,0.5419354838709678
Castle Farm,AquiMod,18/01/1961,0.0,0.5419354838709678
Castle Farm,AquiMod,19/01/1961,4.675589561462402,0.5419354838709678
Castle Farm,AquiMod,20/01/1961,5.781076908111572,0.5419354838709678
Castle Farm,AquiMod,21/01/1961,0.7455530762672424,0.5419354838709678
Castle Farm,AquiMod,22/01/1961,0.3554275631904602,0.5419354838709678
Castle Farm,AquiMod,23/01/1961,0.018299801275134,0.5419354838709678
Castle Farm,AquiMod,24/01/1961,0.0,0.5419354838709678
Castle Farm,AquiMod,25/01/1961,0.0,0.5419354838709678
Castle Farm,AquiMod,26/01/1961,0.0,0.5419354838709678
Castle Farm,AquiMod,27/01/1961,3.19005823135376,0.5419354838709678
Castle Farm,AquiMod,28/01/1961,5.623223781585693,0.5419354838709678
Castle Farm,AquiMod,29/01/1961,4.525911808013916,0.5419354838709678
Castle Farm,AquiMod,30/01/1961,0.3858474791049957,0.5419354838709678
Castle Farm,AquiMod,31/01/1961,3.105478286743164,0.5419354838709678
Castle Farm,AquiMod,01/02/1961,2.472378253936768,0.7107142857142856
Castle Farm,AquiMod,02/02/1961,1.0157208442687988,0.7107142857142856
Castle Farm,AquiMod,03/02/1961,3.409745216369629,0.7107142857142856
Castle Farm,AquiMod,04/02/1961,2.5420875549316406,0.7107142857142856
Castle Farm,AquiMod,05/02/1961,1.0642825365066528,0.7107142857142856
Castle Farm,AquiMod,06/02/1961,0.0501124821603298,0.7107142857142856
Castle Farm,AquiMod,07/02/1961,0.8986616134643555,0.7107142857142856
Castle Farm,AquiMod,08/02/1961,3.329010486602783,0.7107142857142856
Castle Farm,AquiMod,09/02/1961,0.0031781326979398,0.7107142857142856
Castle Farm,AquiMod,10/02/1961,0.0373371392488479,0.7107142857142856
Castle Farm,AquiMod,11/02/1961,3.272104501724243,0.7107142857142856
Castle Farm,AquiMod,12/02/1961,0.1711731702089309,0.7107142857142856
Castle Farm,AquiMod,13/02/1961,0.0337011776864528,0.7107142857142856
Castle Farm,AquiMod,14/02/1961,0.000178054528078,0.7107142857142856
Castle Farm,AquiMod,15/02/1961,0.2117021679878235,0.7107142857142856
Castle Farm,AquiMod,16/02/1961,0.0092054158449172,0.7107142857142856
Castle Farm,AquiMod,17/02/1961,0.0141201391816139,0.7107142857142856
Castle Farm,AquiMod,18/02/1961,0.0038398010656237,0.7107142857142856
Castle Farm,AquiMod,19/02/1961,0.0041412627324461,0.7107142857142856
Castle Farm,AquiMod,20/02/1961,0.0001389221288263,0.7107142857142856
Castle Farm,AquiMod,21/02/1961,0.0097533166408538,0.7107142857142856
Castle Farm,AquiMod,22/02/1961,0.0144560150802135,0.7107142857142856
Castle Farm,AquiMod,23/02/1961,1.251888632774353,0.7107142857142856
Castle Farm,AquiMod,24/02/1961,2.169827461242676,0.7107142857142856
Castle Farm,AquiMod,25/02/1961,0.6767124533653259,0.7107142857142856
Castle Farm,AquiMod,26/02/1961,2.375047445297241,0.7107142857142856
Castle Farm,AquiMod,27/02/1961,11.795987129211426,0.7107142857142856
Castle Farm,AquiMod,28/02/1961,3.4943437576293945,0.7107142857142856
Castle Farm,AquiMod,01/03/1961,0.0071693118661642,1.3741935483870968
Castle Farm,AquiMod,02/03/1961,0.0092004304751753,1.3741935483870968
Castle Farm,AquiMod,03/03/1961,0.0,1.3741935483870968
Castle Farm,AquiMod,04/03/1961,0.0,1.3741935483870968
Castle Farm,AquiMod,05/03/1961,3.473480683169328e-05,1.3741935483870968
Castle Farm,AquiMod,06/03/1961,0.0,1.3741935483870968
Castle Farm,AquiMod,07/03/1961,0.0,1.3741935483870968
Castle Farm,AquiMod,08/03/1961,0.0010975500335916,1.3741935483870968
Castle Farm,AquiMod,09/03/1961,0.0074030454270541,1.3741935483870968
Castle Farm,AquiMod,10/03/1961,0.0,1.3741935483870968
Castle Farm,AquiMod,11/03/1961,0.0003412298392504,1.3741935483870968
Castle Farm,AquiMod,12/03/1961,0.0,1.3741935483870968
Castle Farm,AquiMod,13/03/1961,0.0028963685035705,1.3741935483870968
Castle Farm,AquiMod,14/03/1961,0.0,1.3741935483870968
Castle Farm,AquiMod,15/03/1961,0.0,1.3741935483870968
Castle Farm,AquiMod,16/03/1961,0.0,1.3741935483870968
Castle Farm,AquiMod,17/03/1961,0.0,1.3741935483870968
Castle Farm,AquiMod,18/03/1961,0.5389093160629272,1.3741935483870968
Castle Farm,AquiMod,19/03/1961,1.2891343832015991,1.3741935483870968
Castle Farm,AquiMod,20/03/1961,1.117722749710083,1.3741935483870968
Castle Farm,AquiMod,21/03/1961,0.0494859479367733,1.3741935483870968
Castle Farm,AquiMod,22/03/1961,0.0273400787264108,1.3741935483870968
Castle Farm,AquiMod,23/03/1961,0.0001469073322368,1.3741935483870968
Castle Farm,AquiMod,24/03/1961,0.0,1.3741935483870968
Castle Farm,AquiMod,25/03/1961,0.0,1.3741935483870968
Castle Farm,AquiMod,26/03/1961,0.0,1.3741935483870968
Castle Farm,AquiMod,27/03/1961,0.0,1.3741935483870968
Castle Farm,AquiMod,28/03/1961,0.0002588343340903,1.3741935483870968
Castle Farm,AquiMod,29/03/1961,2.190763235092163,1.3741935483870968
Castle Farm,AquiMod,30/03/1961,2.400789260864258,1.3741935483870968
