Borehole,Model,Date,precipwsnow,PET
Greenfield Garage,AquiMod,01/01/1961,12.748064279556274,0.6838709677419355
Greenfield Garage,AquiMod,02/01/1961,10.8517804145813,0.6838709677419355
Greenfield Garage,AquiMod,03/01/1961,5.558139204978943,0.6838709677419355
Greenfield Garage,AquiMod,04/01/1961,2.226555109024048,0.6838709677419355
Greenfield Garage,AquiMod,05/01/1961,7.464086771011352,0.6838709677419355
Greenfield Garage,AquiMod,06/01/1961,2.5715171694755554,0.6838709677419355
Greenfield Garage,AquiMod,07/01/1961,4.965679168701172,0.6838709677419355
Greenfield Garage,AquiMod,08/01/1961,1.2865450978279114,0.6838709677419355
Greenfield Garage,AquiMod,09/01/1961,12.126834392547607,0.6838709677419355
Greenfield Garage,AquiMod,10/01/1961,0.0312506631016731,0.6838709677419355
Greenfield Garage,AquiMod,11/01/1961,0.0722875613719224,0.6838709677419355
Greenfield Garage,AquiMod,12/01/1961,4.392340540885925,0.6838709677419355
Greenfield Garage,AquiMod,13/01/1961,3.0956457257270813,0.6838709677419355
Greenfield Garage,AquiMod,14/01/1961,0.0,0.6838709677419355
Greenfield Garage,AquiMod,15/01/1961,0.0400993414223194,0.6838709677419355
Greenfield Garage,AquiMod,16/01/1961,0.0832783933728933,0.6838709677419355
Greenfield Garage,AquiMod,17/01/1961,1.522308498620987,0.6838709677419355
Greenfield Garage,AquiMod,18/01/1961,5.45737087726593,0.6838709677419355
Greenfield Garage,AquiMod,19/01/1961,4.47779393196106,0.6838709677419355
Greenfield Garage,AquiMod,20/01/1961,3.3055535554885864,0.6838709677419355
Greenfield Garage,AquiMod,21/01/1961,0.802424818277359,0.6838709677419355
Greenfield Garage,AquiMod,22/01/1961,0.0696919225156307,0.6838709677419355
Greenfield Garage,AquiMod,23/01/1961,0.0,0.6838709677419355
Greenfield Garage,AquiMod,24/01/1961,3.9712435007095337,0.6838709677419355
Greenfield Garage,AquiMod,25/01/1961,0.733319416642189,0.6838709677419355
Greenfield Garage,AquiMod,26/01/1961,23.159748077392575,0.6838709677419355
Greenfield Garage,AquiMod,27/01/1961,8.556728601455688,0.6838709677419355
Greenfield Garage,AquiMod,28/01/1961,10.29336428642273,0.6838709677419355
Greenfield Garage,AquiMod,29/01/1961,4.386839151382446,0.6838709677419355
Greenfield Garage,AquiMod,30/01/1961,3.0809595584869385,0.6838709677419355
Greenfield Garage,AquiMod,31/01/1961,4.567599892616272,0.6838709677419355
Greenfield Garage,AquiMod,01/02/1961,2.189588963985443,0.7607142857142858
Greenfield Garage,AquiMod,02/02/1961,10.629208326339722,0.7607142857142858
Greenfield Garage,AquiMod,03/02/1961,10.927885055541992,0.7607142857142858
Greenfield Garage,AquiMod,04/02/1961,5.824050068855286,0.7607142857142858
Greenfield Garage,AquiMod,05/02/1961,10.573457956314089,0.7607142857142858
Greenfield Garage,AquiMod,06/02/1961,0.940063089132309,0.7607142857142858
Greenfield Garage,AquiMod,07/02/1961,13.168609380722046,0.7607142857142858
Greenfield Garage,AquiMod,08/02/1961,1.9556357860565183,0.7607142857142858
Greenfield Garage,AquiMod,09/02/1961,0.901952862739563,0.7607142857142858
Greenfield Garage,AquiMod,10/02/1961,2.971743047237396,0.7607142857142858
Greenfield Garage,AquiMod,11/02/1961,0.3777066990733146,0.7607142857142858
Greenfield Garage,AquiMod,12/02/1961,0.3287873268127441,0.7607142857142858
Greenfield Garage,AquiMod,13/02/1961,0.3217168003320694,0.7607142857142858
Greenfield Garage,AquiMod,14/02/1961,0.327980600297451,0.7607142857142858
Greenfield Garage,AquiMod,15/02/1961,1.0685860812664032,0.7607142857142858
Greenfield Garage,AquiMod,16/02/1961,0.2778529152274132,0.7607142857142858
Greenfield Garage,AquiMod,17/02/1961,0.4386026784777641,0.7607142857142858
Greenfield Garage,AquiMod,18/02/1961,0.0,0.7607142857142858
Greenfield Garage,AquiMod,19/02/1961,0.0213345969095826,0.7607142857142858
Greenfield Garage,AquiMod,20/02/1961,0.0,0.7607142857142858
Greenfield Garage,AquiMod,21/02/1961,0.0,0.7607142857142858
Greenfield Garage,AquiMod,22/02/1961,0.0,0.7607142857142858
Greenfield Garage,AquiMod,23/02/1961,5.699647068977356,0.7607142857142858
Greenfield Garage,AquiMod,24/02/1961,0.3647773042321205,0.7607142857142858
Greenfield Garage,AquiMod,25/02/1961,9.854789972305298,0.7607142857142858
Greenfield Garage,AquiMod,26/02/1961,4.718152165412903,0.7607142857142858
Greenfield Garage,AquiMod,27/02/1961,1.7647832036018372,0.7607142857142858
Greenfield Garage,AquiMod,28/02/1961,0.0172081971541047,0.7607142857142858
Greenfield Garage,AquiMod,01/03/1961,0.6223970502614975,1.2258064516129032
Greenfield Garage,AquiMod,02/03/1961,0.0246951337903738,1.2258064516129032
Greenfield Garage,AquiMod,03/03/1961,0.0031926758820191,1.2258064516129032
Greenfield Garage,AquiMod,04/03/1961,0.0,1.2258064516129032
Greenfield Garage,AquiMod,05/03/1961,0.0,1.2258064516129032
Greenfield Garage,AquiMod,06/03/1961,0.3163753449916839,1.2258064516129032
