Borehole,Model,Date,precipwsnow,PET
Lilley Bottom,AquiMod,01/01/1961,6.441161070019007,0.4548387096774193
Lilley Bottom,AquiMod,02/01/1961,3.199066713452339,0.4548387096774193
Lilley Bottom,AquiMod,03/01/1961,0.2726907253381796,0.4548387096774193
Lilley Bottom,AquiMod,04/01/1961,0.0023423240340889,0.4548387096774193
Lilley Bottom,AquiMod,05/01/1961,4.888474706560373,0.4548387096774193
Lilley Bottom,AquiMod,06/01/1961,0.0746084592865372,0.4548387096774193
Lilley Bottom,AquiMod,07/01/1961,4.017502103000879,0.4548387096774193
Lilley Bottom,AquiMod,08/01/1961,0.3657370243454352,0.4548387096774193
Lilley Bottom,AquiMod,09/01/1961,7.298997383564711,0.4548387096774193
Lilley Bottom,AquiMod,10/01/1961,0.5064594666473567,0.4548387096774193
Lilley Bottom,AquiMod,11/01/1961,0.0082557220043781,0.4548387096774193
Lilley Bottom,AquiMod,12/01/1961,0.1612397906719707,0.4548387096774193
Lilley Bottom,AquiMod,13/01/1961,2.7778014121577144,0.4548387096774193
Lilley Bottom,AquiMod,14/01/1961,0.0047845177496128,0.4548387096774193
Lilley Bottom,AquiMod,15/01/1961,2.3881768456135437e-06,0.4548387096774193
Lilley Bottom,AquiMod,16/01/1961,2.407027213546797e-05,0.4548387096774193
Lilley Bottom,AquiMod,17/01/1961,0.0104967624492928,0.4548387096774193
Lilley Bottom,AquiMod,18/01/1961,2.407027213546797e-05,0.4548387096774193
Lilley Bottom,AquiMod,19/01/1961,3.5053518265485764,0.4548387096774193
Lilley Bottom,AquiMod,20/01/1961,2.9754884149879217,0.4548387096774193
Lilley Bottom,AquiMod,21/01/1961,0.1959024489333387,0.4548387096774193
Lilley Bottom,AquiMod,22/01/1961,0.0047903017509725,0.4548387096774193
Lilley Bottom,AquiMod,23/01/1961,0.02359596990118,0.4548387096774193
Lilley Bottom,AquiMod,24/01/1961,0.0005620625048834,0.4548387096774193
Lilley Bottom,AquiMod,25/01/1961,1.3197280601673356e-08,0.4548387096774193
Lilley Bottom,AquiMod,26/01/1961,0.4591141733399126,0.4548387096774193
Lilley Bottom,AquiMod,27/01/1961,5.849726561456919,0.4548387096774193
Lilley Bottom,AquiMod,28/01/1961,9.259995587170124,0.4548387096774193
Lilley Bottom,AquiMod,29/01/1961,9.049385659396648,0.4548387096774193
Lilley Bottom,AquiMod,30/01/1961,0.1540932649659225,0.4548387096774193
Lilley Bottom,AquiMod,31/01/1961,5.930701361969113,0.4548387096774193
