Borehole,Model,Date,precipwsnow,PET
Little Bucket Farm,AquiMod,01/01/1961,9.428429566323755,0.5903225806451613
Little Bucket Farm,AquiMod,02/01/1961,12.264780968427658,0.5903225806451613
Little Bucket Farm,AquiMod,03/01/1961,15.504047945141792,0.5903225806451613
Little Bucket Farm,AquiMod,04/01/1961,0.0770151896140305,0.5903225806451613
Little Bucket Farm,AquiMod,05/01/1961,3.5666308254003525,0.5903225806451613
Little Bucket Farm,AquiMod,06/01/1961,0.0891499094432219,0.5903225806451613
Little Bucket Farm,AquiMod,07/01/1961,4.060036599636078,0.5903225806451613
Little Bucket Farm,AquiMod,08/01/1961,0.1078600939363241,0.5903225806451613
Little Bucket Farm,AquiMod,09/01/1961,5.670150563120842,0.5903225806451613
Little Bucket Farm,AquiMod,10/01/1961,1.5990010630339384,0.5903225806451613
Little Bucket Farm,AquiMod,11/01/1961,0.005268975501167,0.5903225806451613
Little Bucket Farm,AquiMod,12/01/1961,0.0247403300891164,0.5903225806451613
Little Bucket Farm,AquiMod,13/01/1961,1.3508618269115686,0.5903225806451613
Little Bucket Farm,AquiMod,14/01/1961,0.0310364758388459,0.5903225806451613
Little Bucket Farm,AquiMod,15/01/1961,0.0001008728672928,0.5903225806451613
Little Bucket Farm,AquiMod,16/01/1961,6.975814731902119e-05,0.5903225806451613
Little Bucket Farm,AquiMod,17/01/1961,0.0258170905144652,0.5903225806451613
Little Bucket Farm,AquiMod,18/01/1961,0.0112864820880531,0.5903225806451613
Little Bucket Farm,AquiMod,19/01/1961,2.872382298111916,0.5903225806451613
Little Bucket Farm,AquiMod,20/01/1961,1.2885310743004084,0.5903225806451613
Little Bucket Farm,AquiMod,21/01/1961,0.951345003210008,0.5903225806451613
Little Bucket Farm,AquiMod,22/01/1961,0.0127278378695336,0.5903225806451613
Little Bucket Farm,AquiMod,23/01/1961,0.1134295263327658,0.5903225806451613
Little Bucket Farm,AquiMod,24/01/1961,0.0,0.5903225806451613
Little Bucket Farm,AquiMod,25/01/1961,0.0,0.5903225806451613
Little Bucket Farm,AquiMod,26/01/1961,0.0,0.5903225806451613
Little Bucket Farm,AquiMod,27/01/1961,4.945602901279926,0.5903225806451613
Little Bucket Farm,AquiMod,28/01/1961,6.258338496088982,0.5903225806451613
Little Bucket Farm,AquiMod,29/01/1961,20.89822727441788,0.5903225806451613
Little Bucket Farm,AquiMod,30/01/1961,0.2991464235819876,0.5903225806451613
Little Bucket Farm,AquiMod,31/01/1961,1.7021825816482306,0.5903225806451613
Little Bucket Farm,AquiMod,01/02/1961,3.649761445820332,0.6928571428571428
Little Bucket Farm,AquiMod,02/02/1961,7.024468705058098,0.6928571428571428
Little Bucket Farm,AquiMod,03/02/1961,4.224165953695774,0.6928571428571428
Little Bucket Farm,AquiMod,04/02/1961,4.499467644840479,0.6928571428571428
Little Bucket Farm,AquiMod,05/02/1961,1.7267958726733923,0.6928571428571428
Little Bucket Farm,AquiMod,06/02/1961,0.3929912382736802,0.6928571428571428
Little Bucket Farm,AquiMod,07/02/1961,2.11408611945808,0.6928571428571428
Little Bucket Farm,AquiMod,08/02/1961,3.876390390098095,0.6928571428571428
Little Bucket Farm,AquiMod,09/02/1961,0.0003061541526108,0.6928571428571428
Little Bucket Farm,AquiMod,10/02/1961,0.066137675079517,0.6928571428571428
Little Bucket Farm,AquiMod,11/02/1961,2.6624815799295902,0.6928571428571428
Little Bucket Farm,AquiMod,12/02/1961,0.6226796265691519,0.6928571428571428
Little Bucket Farm,AquiMod,13/02/1961,0.0741384765715338,0.6928571428571428
Little Bucket Farm,AquiMod,14/02/1961,0.0128994349570348,0.6928571428571428
Little Bucket Farm,AquiMod,15/02/1961,0.0725044334540143,0.6928571428571428
Little Bucket Farm,AquiMod,16/02/1961,0.1701009544776752,0.6928571428571428
Little Bucket Farm,AquiMod,17/02/1961,0.0091634238706319,0.6928571428571428
Little Bucket Farm,AquiMod,18/02/1961,0.0011010984731001,0.6928571428571428
Little Bucket Farm,AquiMod,19/02/1961,0.0098135032403661,0.6928571428571428
Little Bucket Farm,AquiMod,20/02/1961,0.0001704576355905,0.6928571428571428
Little Bucket Farm,AquiMod,21/02/1961,0.0005861080242084,0.6928571428571428
Little Bucket Farm,AquiMod,22/02/1961,0.0103036968466767,0.6928571428571428
Little Bucket Farm,AquiMod,23/02/1961,7.528184272348881,0.6928571428571428
Little Bucket Farm,AquiMod,24/02/1961,3.42318220064044,0.6928571428571428
Little Bucket Farm,AquiMod,25/02/1961,4.877653002738953,0.6928571428571428
